B,Read Time (ns),Read Time / Number (ns)
1,8664,8664
2,8702,4351
3,8684,2894
4,8675,2168
5,8692,1738
6,8676,1446
7,8555,1222
8,8708,1088
9,8698,966
10,8560,856
11,8568,778
12,8557,713
13,8674,667
14,8576,612
15,8558,570
16,8556,534
17,8664,509
18,8740,485
19,8561,450
20,8701,435
21,8710,414
22,8533,387
23,8673,377
24,8684,361
25,8701,348
26,8690,334
27,8693,321
28,8693,310
29,8696,299
30,8710,290
31,8582,276
32,8566,267
33,8680,263
34,8712,256
35,8546,244
36,8691,241
37,8547,231
38,8664,228
39,8664,222
40,8568,214
41,8570,209
42,8694,207
43,8709,202
44,8547,194
45,8679,192
46,8670,188
47,8704,185
48,8695,181
49,8575,175
50,8693,173
51,8694,170
52,8686,167
53,8665,163
54,8670,160
55,8697,158
56,8686,155
57,8571,150
58,8684,149
59,8662,146
60,8687,144
61,8695,142
62,8678,139
63,8573,136
64,8672,135
65,8591,132
66,8710,131
67,8552,127
68,8671,127
69,8550,123
70,8680,124
71,8673,122
72,8574,119
73,8556,117
74,8581,115
75,8680,115
76,8729,114
77,8609,111
78,8566,109
79,8556,108
80,8582,107
81,8699,107
82,8704,106
83,8550,103
84,8677,103
85,8556,100
86,8570,99
87,8706,100
88,8555,97
89,8708,97
90,8667,96
91,8595,94
92,8539,92
93,8576,92
94,8584,91
95,8701,91
96,8702,90
97,9546,98
98,8696,88
99,8651,87
100,8704,87
101,8550,84
102,8577,84
103,8579,83
104,8681,83
105,8542,81
106,8570,80
107,8691,81
108,8548,79
109,8578,78
110,8677,78
111,8534,76
112,8678,77
113,8553,75
114,8563,75
115,8579,74
116,8702,75
117,8692,74
118,8562,72
119,8561,71
120,8688,72
121,8572,70
122,8692,71
123,8684,70
124,8714,70
125,8717,69
126,8562,67
127,8551,67
128,8556,66
129,8571,66
130,8675,66
131,9579,73
132,8563,64
133,8669,65
134,8710,65
135,8697,64
136,8573,63
137,8692,63
138,8691,62
139,8681,62
140,8676,61
141,8675,61
142,8545,60
143,8676,60
144,8558,59
145,8554,58
146,8577,58
147,8566,58
148,8694,58
149,8562,57
150,12046,80
151,8689,57
152,8708,57
153,8542,55
154,8556,55
155,8705,56
156,8725,55
157,8656,55
158,8696,55
159,8710,54
160,8583,53
161,8546,53
162,8563,52
163,8685,53
164,8573,52
165,8582,52
166,8553,51
167,8708,52
168,8712,51
169,8580,50
170,8567,50
171,8581,50
172,8573,49
173,8546,49
174,8686,49
175,8681,49
176,8584,48
177,8694,49
178,8712,48
179,8703,48
180,8679,48
181,8586,47
182,8560,47
183,8724,47
184,8567,46
185,8694,46
186,8562,46
187,8726,46
188,8692,46
189,8690,45
190,8666,45
191,8547,44
192,8696,45
193,8554,44
194,8679,44
195,8569,43
196,8705,44
197,8665,43
198,8545,43
199,8686,43
200,8573,42
201,8574,42
202,8560,42
203,8587,42
204,8564,41
205,8577,41
206,8563,41
207,8555,41
208,8580,41
209,8572,41
210,8601,40
211,8704,41
212,8556,40
213,8667,40
214,8679,40
215,8538,39
216,8691,40
217,8562,39
218,8547,39
219,8575,39
220,8726,39
221,8705,39
222,8546,38
223,8703,39
224,8676,38
225,8562,38
226,8693,38
227,8700,38
228,8539,37
229,8684,37
230,8675,37
231,8682,37
232,8562,36
233,8543,36
234,8694,37
235,8555,36
236,8552,36
237,8678,36
238,8703,36
239,8711,36
240,8547,35
241,8689,36
242,8549,35
243,8711,35
244,8700,35
245,8555,34
246,8712,35
247,8680,35
248,8564,34
249,8550,34
250,8716,34
251,8557,34
252,8670,34
253,8677,34
254,8681,34
255,8686,34
256,8548,33
257,8678,33
258,8560,33
259,8553,33
260,8726,33
261,8698,33
262,8554,32
263,8698,33
264,8781,33
265,9205,34
266,8567,32
267,8558,32
268,8564,31
269,8694,32
270,8554,31
271,8548,31
272,8567,31
273,8691,31
274,8677,31
275,8694,31
276,8711,31
277,8698,31
278,8701,31
279,8575,30
280,8573,30
281,8570,30
282,8707,30
283,8583,30
284,8716,30
285,8569,30
286,8550,29
287,8717,30
288,8700,30
289,8578,29
290,8686,29
291,8564,29
292,8671,29
293,8711,29
294,8568,29
295,8581,29
296,8559,28
297,8704,29
298,8706,29
299,8574,28
300,8572,28
301,8557,28
302,8567,28
303,8593,28
304,8691,28
305,8557,28
306,8714,28
307,8687,28
308,8731,28
309,8702,28
310,8705,28
311,8562,27
312,8557,27
313,8683,27
314,8543,27
315,8593,27
316,8665,27
317,9143,28
318,8709,27
319,8679,27
320,8686,27
321,8567,26
322,8683,26
323,8554,26
324,8562,26
325,8559,26
326,8583,26
327,8694,26
328,8570,26
329,8679,26
330,8556,25
331,8672,26
332,8576,25
333,8722,26
334,8696,26
335,8560,25
336,8585,25
337,8567,25
338,8572,25
339,8687,25
340,8712,25
341,8695,25
342,8540,24
343,8666,25
344,8570,24
345,8682,25
346,8695,25
347,8586,24
348,8720,25
349,8579,24
350,8702,24
351,8566,24
352,8579,24
353,8592,24
354,8680,24
355,14563,41
356,8547,24
357,8674,24
358,8564,23
359,8711,24
360,8697,24
361,8558,23
362,8658,23
363,8722,24
364,8553,23
365,8666,23
366,8710,23
367,8594,23
368,8720,23
369,8678,23
370,8718,23
371,8673,23
372,8706,23
373,8722,23
374,8693,23
375,8528,22
376,8566,22
377,8684,23
378,8553,22
379,8547,22
380,8697,22
381,8549,22
382,8677,22
383,8553,22
384,12062,31
385,8592,22
386,8579,22
387,8572,22
388,8571,22
389,8535,21
390,8697,22
391,8678,22
392,8709,22
393,12393,31
394,8688,22
395,8598,21
396,8557,21
397,8584,21
398,8678,21
399,8729,21
400,8671,21
401,8670,21
402,8574,21
403,8713,21
404,8568,21
405,8707,21
406,8556,21
407,8578,21
408,8704,21
409,8696,21
410,8711,21
411,8703,21
412,8672,21
413,8561,20
414,8698,21
415,8555,20
416,8578,20
417,8682,20
418,8555,20
419,8730,20
420,8703,20
421,8690,20
422,8688,20
423,8717,20
424,8711,20
425,8580,20
426,8703,20
427,8697,20
428,8579,20
429,8677,20
430,8563,19
431,8714,20
432,8693,20
433,8563,19
434,8688,20
435,8580,19
436,8562,19
437,8705,19
438,16995,38
439,9183,20
440,8568,19
441,8703,19
442,8707,19
443,8666,19
444,8704,19
445,8541,19
446,8552,19
447,8704,19
448,8556,19
449,8702,19
450,8705,19
451,8691,19
