KB,Read Time (ns),Read Time / Number (ns)
1,10796,10796
2,10648,5324
3,10523,3507
4,10537,2634
5,12422,2484
6,12379,2063
7,12425,1775
8,12147,1518
9,14524,1613
10,13625,1362
11,13781,1252
12,14293,1191
13,15446,1188
14,15167,1083
15,15374,1024
16,15166,947
17,17011,1000
18,16780,932
19,17031,896
20,16998,849
21,18948,902
22,18856,857
23,18513,804
24,23697,987
25,20361,814
26,20220,777
27,19859,735
28,20154,719
29,22418,773
30,21557,718
31,21866,705
32,22006,687
33,24391,739
34,30729,903
35,31943,912
36,23693,658
37,29408,794
38,24205,636
39,25157,645
40,24377,609
41,27464,669
42,26519,631
43,28150,654
44,27984,636
45,27956,621
46,28649,622
47,39254,835
48,39609,825
49,40646,829
50,30552,611
51,30105,590
52,29753,572
53,33219,626
54,32881,608
55,31252,568
56,30933,552
57,33230,582
58,42413,731
59,31850,539
60,31859,530
61,35001,573
62,57014,919
63,38362,608
64,34441,538
65,35769,550
66,36575,554
67,40686,607
68,37348,549
69,46559,674
70,47407,677
71,38046,535
72,39153,543
73,40941,560
74,39497,533
75,38703,516
76,39186,515
77,43900,570
78,40855,523
79,42977,544
80,50125,626
81,43474,536
82,43783,533
83,45464,547
84,53123,632
85,45403,534
86,44697,519
87,79032,908
88,46489,528
89,50822,571
90,47061,522
91,49339,542
92,49387,536
93,51313,551
94,49431,525
95,49611,522
96,46603,485
97,57314,590
98,52883,539
99,49030,495
100,79804,798
101,56605,560
102,51301,502
103,56085,544
104,50511,485
105,60798,579
106,53682,506
107,56108,524
108,53867,498
109,52105,478
110,53859,489
111,54392,490
112,56671,505
113,54762,484
114,55298,485
115,54413,473
116,55827,481
117,57077,487
118,56436,478
119,69549,584
120,55299,460
121,58360,482
122,65262,534
123,67955,552
124,63996,516
125,63456,507
126,68799,546
127,61364,483
128,70082,547
129,66727,517
130,63151,485
131,72269,551
132,64618,489
133,68040,511
134,69598,519
135,70921,525
136,69445,510
137,66555,485
138,73261,530
139,73799,530
140,72416,517
141,86339,612
142,70742,498
143,71212,497
144,82760,574
145,76519,527
146,79578,545
147,70678,480
148,80993,547
149,74776,501
150,76970,513
151,70946,469
152,78852,518
153,74735,488
154,72631,471
155,76345,492
156,70580,452
157,74833,476
158,82448,521
159,72348,455
160,76968,481
161,85100,528
162,74812,461
163,76362,468
164,74841,456
165,79049,479
166,77775,468
167,89407,535
168,79535,473
169,84252,498
170,84115,494
171,76138,445
172,87315,507
173,80385,464
174,86818,498
175,78899,450
176,89337,507
177,91664,517
178,80769,453
179,81373,454
180,90618,503
181,84272,465
182,105929,582
183,87632,478
184,88242,479
185,93310,504
186,100979,542
187,85336,456
188,93232,495
189,90101,476
190,84728,445
191,88659,464
192,93975,489
193,87281,452
194,91559,471
195,90406,463
196,93507,477
197,86304,438
198,91141,460
199,96287,483
200,97954,489
201,109855,546
202,103714,513
203,89292,439
204,102652,503
205,105981,516
206,102858,499
207,126830,612
208,105955,509
209,96973,463
210,97734,465
211,98077,464
212,103645,488
213,95320,447
214,103184,482
215,96417,448
216,109137,505
217,108113,498
218,105870,485
219,96166,439
220,100802,458
221,100123,453
222,97884,440
223,100479,450
224,106268,474
225,128968,573
226,111749,494
227,103739,457
228,125722,551
229,114897,501
230,112630,489
231,115184,498
232,111971,482
233,109665,470
234,119797,511
235,119282,507
236,110333,467
237,127199,536
238,113827,478
239,163101,682
240,111053,462
241,125363,520
242,121479,501
243,106675,438
244,107237,439
245,103822,423
246,117276,476
247,111619,451
248,123224,496
249,112942,453
250,125049,500
251,121639,484
252,126884,503
253,116251,459
254,111968,440
255,131303,514
256,129641,506
257,122280,475
258,132039,511
259,128498,496
260,129671,498
261,121863,466
262,127072,485
263,123856,470
264,121531,460
265,118694,447
266,124932,469
267,137051,513
268,126408,471
269,130922,486
270,124768,462
271,122713,452
272,130661,480
273,142926,523
274,118419,432
275,134233,488
276,129320,468
