KB,Read Time (ns),Read Time / Number (ns)
1,10522,10522
2,10702,5351
3,10711,3570
4,11262,2815
5,12424,2484
6,12222,2037
7,11899,1699
8,12464,1558
9,14379,1597
10,14155,1415
11,13782,1252
12,13974,1164
13,20611,1585
14,15955,1139
15,15199,1013
16,14826,926
17,16917,995
18,16579,921
19,17348,913
20,16646,832
21,18548,883
22,18755,852
23,18510,804
24,18448,768
25,20787,831
26,19198,738
27,20000,740
28,20234,722
29,21706,748
30,21527,717
31,21772,702
32,22203,693
33,23116,700
34,23641,695
35,22952,655
36,23996,666
37,25119,678
38,24623,647
39,24935,639
40,25085,627
41,36665,894
42,27747,660
43,32108,746
44,35809,813
45,28191,626
46,30032,652
47,29623,630
48,37288,776
49,33304,679
50,29944,598
51,30181,591
52,29538,568
53,33520,632
54,32029,593
55,30867,561
56,31761,567
57,33382,585
58,34237,590
59,33424,566
60,33267,554
61,51008,836
62,33240,536
63,35199,558
64,35455,553
65,46160,710
66,38098,577
67,36528,545
68,35966,528
69,37898,549
70,38372,548
71,79626,1121
72,37466,520
73,40722,557
74,48636,657
75,38685,515
76,40594,534
77,52283,679
78,40598,520
79,40366,510
80,52278,653
81,46288,571
82,41072,500
83,41325,497
84,42555,506
85,47832,562
86,44583,518
87,43960,505
88,44540,506
89,45363,509
90,46306,514
91,45780,503
92,53588,582
93,49820,535
94,46819,498
95,49313,519
96,55485,577
97,55543,572
98,52608,536
99,49868,503
100,53586,535
101,51363,508
102,49493,485
103,55483,538
104,51361,493
105,52415,499
106,56518,533
107,57933,541
108,51176,473
109,54352,498
110,57696,524
111,56912,512
112,64588,576
113,57544,509
114,61579,540
115,54070,470
116,55707,480
117,70421,601
118,68877,583
119,57197,480
120,60271,502
121,74541,616
122,58552,479
123,68022,553
124,62095,500
125,58184,465
126,61845,490
127,58612,461
128,62887,491
129,61030,473
130,73484,565
131,62827,479
132,65042,492
133,67278,505
134,78023,582
135,71900,532
136,65408,480
137,74660,544
138,110611,801
139,64328,462
140,75105,536
141,69400,492
142,75908,534
143,65565,458
144,94635,657
145,69418,478
146,70159,480
147,70130,477
148,70547,476
149,76194,511
150,69933,466
151,74940,496
152,71802,472
153,73443,480
154,73169,475
155,83270,537
156,77333,495
157,72702,463
158,79191,501
159,83820,527
160,84302,526
161,83111,516
162,97504,601
163,80810,495
164,84312,514
165,86012,521
166,89807,541
167,80433,481
168,89507,532
169,80595,476
170,90957,535
171,78499,459
