MB,Read Time (ns),Read Time / Number (ns)
1,490653,490653
2,927422,463711
3,1714723,571574
4,1832817,458204
5,3016810,603362
6,1829314,304885
7,1784771,254967
8,1974258,246782
9,1767406,196378
10,1734248,173424
11,1778569,161688
12,1679184,139932
13,1839295,141484
14,1870317,133594
15,1705257,113683
16,1880854,117553
17,1765841,103873
18,1878518,104362
19,1788308,94121
20,1772601,88630
21,1796855,85564
22,1788878,81312
23,1758447,76454
24,1820320,75846
25,1780546,71221
26,1738369,66860
27,1821460,67461
28,1853347,66190
29,1928699,66506
30,1922901,64096
31,1863551,60114
32,1735686,54240
33,1749079,53002
34,1821868,53584
35,1771338,50609
36,1815343,50426
37,1791836,48428
38,1738481,45749
39,1738165,44568
40,1729112,43227
41,1849258,45103
42,1860997,44309
43,1812598,42153
44,1864979,42385
45,1834208,40760
46,1823765,39647
47,1853565,39437
48,1827404,38070
49,1892345,38619
50,1836485,36729
51,1769259,34691
52,1758913,33825
53,1821143,34361
54,1834558,33973
55,1776971,32308
56,1771127,31627
57,1863000,32684
58,1819283,31366
59,1793609,30400
60,1857860,30964
61,1771831,29046
62,1858489,29975
63,1828293,29020
64,2646869,41357
65,1800515,27700
66,1776887,26922
67,1757976,26238
68,1785797,26261
69,1845709,26749
70,1960104,28001
71,1752166,24678
72,1836908,25512
73,1881057,25767
74,1864774,25199
75,1795296,23937
76,1815901,23893
77,1828835,23751
78,1803419,23120
79,1816569,22994
80,1925923,24074
81,1804116,22273
82,1850201,22563
83,1926554,23211
84,2006608,23888
85,1838517,21629
86,1933526,22482
87,1899804,21836
88,1884769,21417
89,1954394,21959
90,1910018,21222
91,2012831,22119
92,1884517,20483
93,1863679,20039
94,1831603,19485
95,1793020,18873
96,1897433,19764
97,1886116,19444
98,1815085,18521
99,1866401,18852
100,1900708,19007
101,1945781,19265
102,2002110,19628
103,1873907,18193
104,1832656,17621
105,1797520,17119
106,1820400,17173
107,1828217,17086
108,1812491,16782
109,1859273,17057
110,1881246,17102
111,1838557,16563
112,1974118,17626
113,1825309,16153
114,1845772,16190
115,2017462,17543
116,1858535,16021
117,1880924,16076
118,1827851,15490
119,1840532,15466
120,1823830,15198
121,1895882,15668
122,1981273,16239
123,1805930,14682
124,1871146,15089
125,1855507,14844
126,1828559,14512
127,1863495,14673
128,1877248,14666
129,1848981,14333
130,2000127,15385
131,1821424,13904
132,1776128,13455
133,1875446,14101
134,1852954,13828
135,1997342,14795
136,1869683,13747
137,2016145,14716
138,1849511,13402
139,1804562,12982
140,1962071,14014
141,1865391,13229
142,1828114,12874
143,1898215,13274
144,1832982,12729
145,1951566,13459
146,1920962,13157
147,1882743,12807
148,1902815,12856
149,1868148,12537
150,1902057,12680
151,1869055,12377
152,1887513,12417
153,1929350,12610
154,1847016,11993
155,1899445,12254
156,1889994,12115
157,1865564,11882
158,2052534,12990
159,1915020,12044
160,1852056,11575
161,1855144,11522
162,1893457,11688
163,2212920,13576
164,1932155,11781
165,1881173,11401
166,1894157,11410
167,1857883,11125
168,1895678,11283
169,1890495,11186
170,1834074,10788
171,1856121,10854
172,2202630,12805
173,1856357,10730
174,1859457,10686
175,1868820,10678
176,1892611,10753
177,1898263,10724
178,1887662,10604
179,1868225,10437
180,1912267,10623
181,1890319,10443
182,1850144,10165
183,2000582,10932
184,1886779,10254
185,1970096,10649
186,1861414,10007
187,1833740,9806
188,1939561,10316
189,1914025,10127
190,1838915,9678
191,1953405,10227
192,2049492,10674
193,1819737,9428
194,1945633,10029
195,1901889,9753
196,1906264,9725
197,1842624,9353
198,1873840,9463
199,1983283,9966
200,1857963,9289
201,1876222,9334
202,1887180,9342
203,1951146,9611
204,1952499,9571
205,1873550,9139
206,1976275,9593
207,1997674,9650
208,1920415,9232
209,1921867,9195
210,1903524,9064
211,1866838,8847
212,1887661,8904
213,1938482,9100
214,1978365,9244
215,1966275,9145
216,1890364,8751
217,1948098,8977
218,1907628,8750
219,1864800,8515
220,1982360,9010
221,1983003,8972
222,1905486,8583
223,1949419,8741
224,2013470,8988
225,1892660,8411
226,1960692,8675
227,1894182,8344
228,1918924,8416
229,1952030,8524
230,1920572,8350
231,1888042,8173
232,1895646,8170
233,1969931,8454
234,1933022,8260
235,1920490,8172
236,1940379,8221
237,1910818,8062
238,1873094,7870
239,1927629,8065
240,1913905,7974
241,1939394,8047
242,1894098,7826
243,1932651,7953
244,1892854,7757
245,1993185,8135
246,2007124,8159
247,1904945,7712
248,1879231,7577
249,1938011,7783
250,1869844,7479
251,1927767,7680
252,2056677,8161
253,1907274,7538
254,1914225,7536
255,1913233,7502
256,2040334,7970
257,1913960,7447
258,1911779,7409
259,2109121,8143
260,1957216,7527
261,2111123,8088
262,1917150,7317
263,1900822,7227
264,1975586,7483
265,1956769,7384
266,2008919,7552
267,1954232,7319
268,1990975,7429
269,1963283,7298
270,1979564,7331
271,1892830,6984
272,1933769,7109
273,1909472,6994
274,1934366,7059
275,1937361,7044
276,2051089,7431
277,1925545,6951
278,1915112,6888
279,1944497,6969
280,1991445,7112
281,1915388,6816
282,1924619,6824
283,1993430,7043
284,1896923,6679
285,1914377,6717
286,1975471,6907
287,1952540,6803
288,1971413,6845
289,1909192,6606
290,1910357,6587
291,1893069,6505
292,1935491,6628
293,1890645,6452
294,1910627,6498
295,1940854,6579
296,1895895,6405
297,1941086,6535
298,1923615,6455
299,1866032,6240
300,1940595,6468
301,1928918,6408
302,2026770,6711
303,1928518,6364
304,1947753,6407
305,1913481,6273
306,1944946,6356
307,1916169,6241
308,2000592,6495
309,1922977,6223
310,2046391,6601
311,1974508,6348
312,1934786,6201
313,1919805,6133
314,2045634,6514
315,1938397,6153
316,1925641,6093
317,1920207,6057
318,1907096,5997
319,1979261,6204
320,1936783,6052
321,2012633,6269
322,1921484,5967
323,1905786,5900
324,1949765,6017
325,1957196,6022
326,1888600,5793
327,2018329,6172
328,1957517,5968
329,1994978,6063
330,1990203,6030
331,1925555,5817
332,1937126,5834
333,1991309,5979
334,1926088,5766
335,1901529,5676
336,1907450,5676
337,1938187,5751
338,1941143,5743
339,1909088,5631
340,1902049,5594
341,1933559,5670
342,1898448,5551
343,1927911,5620
344,1901632,5528
345,1914083,5548
346,1916631,5539
347,1933184,5571
348,1924439,5529
349,1950044,5587
350,1991824,5690
351,1975914,5629
