B,Read Time (ns),Read Time / Number (ns)
1,8542,8542
2,8547,4273
3,8683,2894
4,8536,2134
5,8695,1739
6,8698,1449
7,8606,1229
8,10534,1316
9,8715,968
10,8561,856
11,8545,776
12,8688,724
13,8690,668
14,8689,620
15,8692,579
16,8695,543
17,8683,510
18,8671,481
19,8562,450
20,8673,433
21,8563,407
22,8574,389
23,8570,372
24,8719,363
25,8567,342
26,8700,334
27,8588,318
28,8729,311
29,8687,299
30,8548,284
31,8569,276
32,8567,267
33,8718,264
34,8683,255
35,8712,248
36,8700,241
37,8729,235
38,9856,259
39,8588,220
40,8685,217
41,8697,212
42,8699,207
43,8675,201
44,8700,197
45,8719,193
46,8701,189
47,8689,184
48,8666,180
49,8575,175
50,8678,173
51,8680,170
52,8685,167
53,8707,164
54,8684,160
55,8709,158
56,8712,155
57,8557,150
58,8535,147
59,8589,145
60,8549,142
61,8553,140
62,8655,139
63,8577,136
64,8587,134
65,8679,133
66,8705,131
67,8567,127
68,8688,127
69,8664,125
70,8704,124
71,8715,122
72,8700,120
73,8681,118
74,8708,117
75,8681,115
76,8702,114
77,8695,112
78,11644,149
79,8684,109
80,8558,106
81,8711,107
82,8547,104
83,8712,104
84,8679,103
85,8706,102
86,8545,99
87,8557,98
88,8700,98
89,8692,97
90,8705,96
91,8679,95
92,8719,94
93,8552,91
94,8590,91
95,8667,91
96,8549,89
97,8736,90
98,8560,87
99,8555,86
100,8703,87
101,8674,85
102,8676,85
103,8566,83
104,8664,83
105,8685,82
106,8553,80
107,8564,80
108,8558,79
109,8675,79
110,8555,77
111,8683,78
112,8708,77
113,8710,77
114,8582,75
115,8579,74
116,8689,74
117,8699,74
118,8687,73
119,8551,71
120,8574,71
121,8567,70
122,8708,71
123,8667,70
124,8687,70
125,8590,68
126,8567,67
127,8686,68
128,8678,67
129,8700,67
130,8682,66
131,8566,65
132,8725,66
133,8547,64
134,8676,64
135,8583,63
136,8550,62
137,8558,62
138,8572,62
139,8737,62
140,8686,62
141,8539,60
142,8542,60
143,8684,60
144,8574,59
145,8669,59
146,8688,59
147,8722,59
148,8571,57
149,8698,58
150,8572,57
151,8703,57
152,8554,56
153,8705,56
154,8562,55
155,8720,56
156,8673,55
157,8679,55
158,10269,64
159,8687,54
160,8671,54
161,8693,53
162,8562,52
163,8541,52
164,8684,52
165,8672,52
166,8566,51
167,8564,51
168,8698,51
169,8688,51
170,8695,51
171,8688,50
172,8573,49
173,8667,50
174,8687,49
175,8719,49
176,8670,49
177,8545,48
178,9218,51
179,8566,47
180,8691,48
181,8560,47
182,8561,47
183,8702,47
184,8574,46
185,8687,46
186,8588,46
187,8701,46
188,8692,46
189,8575,45
190,16333,85
191,8558,44
192,8713,45
193,8697,45
194,8711,44
195,8555,43
196,8555,43
197,8680,44
198,8570,43
199,8586,43
200,8577,42
201,8540,42
202,8661,42
203,8547,42
204,8683,42
205,8708,42
206,8561,41
207,8710,42
208,8676,41
209,10853,51
210,8551,40
211,8707,41
212,8535,40
213,8559,40
214,8708,40
215,8550,39
216,8685,40
217,8555,39
218,8562,39
219,8679,39
220,8558,38
221,8559,38
222,8546,38
223,8570,38
224,8546,38
225,8692,38
226,8547,37
227,8571,37
228,8699,38
229,8713,38
230,8665,37
231,8701,37
232,8696,37
233,8678,37
234,8692,37
235,8689,36
236,8569,36
237,8521,35
238,8682,36
239,8561,35
240,8736,36
241,8568,35
242,8536,35
243,8547,35
244,8570,35
245,8698,35
246,8682,35
247,8553,34
248,8718,35
249,8702,34
250,8557,34
251,8546,34
252,8701,34
253,8542,33
254,8720,34
255,8540,33
256,8693,33
257,8703,33
258,8571,33
259,8559,33
260,8705,33
261,8575,32
262,8720,33
263,8551,32
264,8589,32
265,8726,32
266,8665,32
267,8561,32
268,8553,31
269,12345,45
270,8694,32
271,8692,32
272,8581,31
273,8556,31
274,8699,31
275,8722,31
276,8722,31
277,8686,31
278,8570,30
279,8570,30
280,8562,30
281,8723,31
282,8547,30
283,8708,30
284,8540,30
285,11878,41
286,8705,30
287,8542,29
288,8717,30
289,8584,29
290,8567,29
291,8584,29
292,8702,29
293,8562,29
294,8695,29
295,8679,29
296,8573,28
297,8675,29
298,8738,29
299,8708,29
300,8588,28
301,8691,28
302,8546,28
303,8558,28
304,8696,28
305,8555,28
306,8558,27
307,8581,27
308,8704,28
309,8557,27
310,10516,33
311,8587,27
312,8698,27
313,8572,27
314,8692,27
315,8534,27
316,8732,27
317,8693,27
318,8706,27
319,8700,27
320,8557,26
321,8591,26
322,8598,26
323,8561,26
324,8558,26
325,8557,26
326,8542,26
327,8560,26
328,8571,26
329,8718,26
330,8575,25
331,8707,26
332,8711,26
333,8704,26
334,8720,26
335,8683,25
336,8705,25
337,8710,25
338,8713,25
339,8693,25
340,8734,25
341,8560,25
342,8679,25
343,8588,25
344,8562,24
345,8547,24
346,8706,25
347,8675,25
348,8713,25
349,8548,24
350,8548,24
351,8557,24
352,8686,24
353,8692,24
354,8684,24
355,8732,24
356,8708,24
357,8670,24
358,8575,23
359,8552,23
360,8572,23
361,8563,23
362,8549,23
363,8572,23
364,8577,23
365,8559,23
366,8727,23
367,8559,23
368,8578,23
369,8735,23
370,8553,23
371,8561,23
372,8541,22
373,8695,23
374,8556,22
375,8561,22
376,8698,23
377,8584,22
378,8686,22
379,8549,22
380,8573,22
381,8577,22
382,8690,22
383,8667,22
384,8706,22
385,8678,22
386,8575,22
387,8552,22
388,8558,22
389,8559,22
390,8557,21
391,8702,22
392,8676,22
393,8704,22
394,8560,21
395,8556,21
396,8544,21
397,8661,21
398,8571,21
399,8716,21
400,8547,21
401,8703,21
402,8577,21
403,8679,21
404,8559,21
405,8665,21
406,8686,21
407,8698,21
408,8731,21
409,8573,20
410,8715,21
411,8691,21
412,8577,20
413,11836,28
414,8528,20
415,8565,20
416,8728,20
417,8692,20
418,8554,20
419,8687,20
420,8720,20
421,8562,20
422,8695,20
423,8704,20
424,8575,20
425,8561,20
426,8691,20
427,8703,20
428,8569,20
429,8546,19
430,8676,20
431,8572,19
432,8710,20
433,8561,19
434,8533,19
435,8706,20
436,8723,20
437,8698,19
438,8660,19
439,9183,20
440,8698,19
441,8726,19
442,8733,19
443,8574,19
444,8582,19
445,8671,19
446,8676,19
447,8559,19
448,8688,19
449,8575,19
450,8669,19
451,8696,19
452,8563,18
453,8577,18
454,8569,18
455,8560,18
456,8566,18
457,8725,19
458,8591,18
459,8691,18
460,8684,18
461,8554,18
462,8681,18
463,8708,18
464,8692,18
465,8678,18
466,8565,18
467,8696,18
468,8721,18
469,8576,18
470,8607,18
471,8738,18
472,8571,18
473,8705,18
474,8675,18
475,8677,18
476,8722,18
477,8681,18
478,8576,17
479,8723,18
480,8564,17
481,8722,18
482,8570,17
483,8697,18
484,8554,17
485,8702,17
486,8574,17
487,8714,17
488,8569,17
489,8591,17
490,8711,17
491,8566,17
492,8599,17
493,8569,17
494,8682,17
495,8729,17
496,8704,17
497,8599,17
498,8571,17
499,8687,17
500,8727,17
501,8556,17
502,8680,17
503,8564,17
504,8574,17
505,8727,17
506,8696,17
507,8590,16
508,8557,16
509,8676,17
510,8669,16
511,8570,16
512,8669,16
513,8726,17
514,8557,16
515,8583,16
516,8700,16
517,8712,16
518,8530,16
519,8720,16
520,8587,16
521,8543,16
522,8715,16
523,8704,16
524,8709,16
525,8675,16
526,8578,16
527,8691,16
528,8710,16
529,8580,16
530,8586,16
531,8705,16
532,8662,16
533,8707,16
534,12435,23
535,8691,16
536,8575,15
537,8584,15
538,8545,15
539,8686,16
540,8687,16
541,8686,16
542,8719,16
543,8573,15
544,8722,16
545,8675,15
546,8704,15
547,8697,15
548,8575,15
549,8730,15
550,8681,15
551,8587,15
552,8731,15
553,8687,15
554,8670,15
555,8690,15
556,8681,15
557,8684,15
558,8699,15
559,8692,15
560,8693,15
561,8672,15
562,8722,15
563,8545,15
564,8578,15
565,8693,15
566,10657,18
567,8712,15
568,8557,15
569,8554,15
570,8698,15
571,8592,15
572,8571,14
573,8670,15
574,8553,14
575,8696,15
576,8702,15
577,8696,15
578,8544,14
579,8700,15
580,8682,14
581,8682,14
582,8677,14
583,8685,14
584,8695,14
585,8668,14
586,8700,14
587,8681,14
588,8710,14
589,8695,14
590,8548,14
591,8596,14
592,8563,14
593,8553,14
594,8739,14
595,8576,14
596,8702,14
597,8718,14
598,8711,14
599,8553,14
600,8711,14
601,8556,14
602,8565,14
