KB,Read Time (ns),Read Time / Number (ns)
452,199703,441
453,193178,426
454,196501,432
455,202151,444
456,185254,406
457,249745,546
458,253553,553
459,203184,442
460,204707,445
461,218754,474
462,207172,448
463,204467,441
464,195665,421
465,226996,488
466,295691,634
467,204535,437
468,219040,468
469,224386,478
470,201407,428
471,204069,433
472,224592,475
473,222344,470
474,214747,453
475,216881,456
476,212874,447
477,215698,452
478,220237,460
479,227460,474
480,223941,466
481,222346,462
482,252924,524
483,238781,494
484,206334,426
485,218120,449
486,271673,558
487,235610,483
488,224477,459
489,210052,429
490,220080,449
491,198678,404
492,214545,436
493,216679,439
494,236044,477
495,218618,441
496,207562,418
497,216666,435
498,288160,578
499,222963,446
500,213547,427
501,233566,466
502,216027,430
503,222912,443
504,228740,453
505,233384,462
506,270247,534
507,232664,458
508,223784,440
509,238382,468
510,229969,450
511,222134,434
512,267305,522
513,257049,501
514,228027,443
515,244753,475
516,226349,438
517,250099,483
518,302760,584
519,217933,419
520,237476,456
521,250785,481
522,256799,491
523,228198,436
524,254967,486
525,241841,460
526,274639,522
527,246191,467
528,230710,436
529,257179,486
530,242972,458
531,270441,509
532,258307,485
533,260843,489
534,235031,440
535,259219,484
536,226024,421
537,260973,485
538,242242,450
539,241673,448
540,283634,525
541,264836,489
542,251665,464
543,266302,490
544,256591,471
545,237758,436
546,315485,577
547,255182,466
548,233434,425
549,238006,433
550,264303,480
551,259162,470
552,265111,480
553,259302,468
554,251459,453
555,238649,429
556,290449,522
557,243245,436
558,257663,461
559,258548,462
560,256582,458
561,270950,482
562,265028,471
563,242210,430
564,230639,408
565,259271,458
566,267354,472
567,248669,438
568,254385,447
569,240949,423
570,291536,511
571,247496,433
572,259309,453
573,257588,449
574,255204,444
575,256178,445
576,253256,439
577,256038,443
578,292970,506
579,261142,451
580,277579,478
581,257633,443
582,261531,449
583,256957,440
584,259312,444
585,275134,470
586,266898,455
587,264853,451
588,260809,443
589,251739,427
590,280020,474
591,261874,443
592,266204,449
593,256208,432
594,271023,456
595,266780,448
596,244427,410
597,306554,513
598,294477,492
599,259879,433
600,285354,475
601,272443,453
602,314435,522
603,268036,444
604,289510,479
605,257702,425
606,259357,427
607,296486,488
608,262654,431
609,269108,441
610,282480,463
611,261937,428
612,289192,472
613,275061,448
614,289761,471
615,262726,427
616,287917,467
617,294060,476
618,272368,440
619,273744,442
620,260382,419
621,285859,460
622,271935,437
623,274576,440
624,264477,423
625,276224,441
626,274473,438
627,281139,448
628,301414,479
629,267806,425
630,268542,426
631,269089,426
632,314446,497
633,270911,427
634,284670,449
635,277852,437
636,257612,405
637,285234,447
638,281758,441
639,285485,446
640,289489,452
641,287891,449
642,293991,457
643,287912,447
644,269526,418
645,284869,441
646,273908,424
647,271155,419
648,287243,443
649,275752,424
650,303543,466
651,319181,490
652,302531,464
653,287770,440
654,310199,474
655,294911,450
656,267656,408
657,301520,458
658,311568,473
659,283116,429
660,290946,440
661,277564,419
662,312597,472
663,300692,453
664,289243,435
665,292136,439
666,298423,448
667,294527,441
668,311609,466
669,289329,432
670,309892,462
671,302559,450
672,324030,482
673,296631,440
674,288637,428
675,295061,437
676,289819,428
677,328500,485
678,313109,461
679,317288,467
680,304753,448
681,300799,441
682,290042,425
683,314229,460
684,305486,446
685,329626,481
686,322424,470
687,297310,432
688,295145,428
689,292807,424
690,299169,433
691,309933,448
692,321575,464
693,308108,444
694,312116,449
695,320358,460
696,331057,475
697,346572,497
698,293362,420
699,548539,784
700,361600,516
701,311129,443
702,284275,404
703,298126,424
704,313715,445
705,315502,447
706,303914,430
707,310729,439
708,316716,447
709,350677,494
710,357081,502
711,299572,421
712,311503,437
713,337010,472
714,309108,432
715,303168,424
716,324115,452
717,310222,432
718,338825,471
719,305862,425
720,326281,453
721,326443,452
722,312543,432
723,358908,496
724,321449,443
725,341879,471
726,327678,451
727,318020,437
728,338919,465
729,314725,431
730,322124,441
731,314089,429
732,319128,435
733,321526,438
734,326589,444
735,328397,446
736,318645,432
737,319843,433
738,318772,431
739,350107,473
740,336775,455
741,362326,488
742,322773,435
743,340945,458
744,332708,447
745,331206,444
746,309560,414
747,327415,438
748,321046,429
749,368717,492
750,322432,429
751,335376,446
752,317661,422
753,338181,449
754,359129,476
755,343956,455
756,327527,433
757,338274,446
758,344788,454
759,426086,561
760,405746,533
761,338100,444
762,318670,418
763,347184,455
764,319169,417
765,336095,439
766,325182,424
767,331718,432
768,329871,429
769,384681,500
770,341027,442
771,383173,496
772,342267,443
773,342375,442
774,349452,451
775,361569,466
776,324137,417
777,328805,423
778,333146,428
779,336704,432
780,339396,435
781,360410,461
782,387810,495
783,335404,428
784,339292,432
785,352017,448
786,353899,450
787,333344,423
788,347823,441
789,337079,427
790,336323,425
791,340309,430
792,343003,433
793,365332,460
794,336039,423
795,354079,445
796,363367,456
797,342462,429
798,370911,464
799,330881,414
800,349686,437
801,335092,418
802,334887,417
803,347089,432
804,347290,431
805,366213,454
806,389336,483
807,362265,448
808,349774,432
809,339279,419
810,356324,439
811,336670,415
812,368031,453
813,360183,443
814,358454,440
815,351653,431
816,343904,421
817,344023,421
818,356428,435
819,345363,421
820,396715,483
821,377184,459
822,342890,417
823,379781,461
824,367950,446
825,360595,437
826,369046,446
827,365120,441
828,365258,441
829,351140,423
830,410056,494
831,387087,465
832,350209,420
833,396098,475
834,392634,470
835,357665,428
