MB,Read Time (ns),Read Time / Number (ns)
1,441649,441649
2,894257,447128
3,1474481,491493
4,1905336,476334
5,1731591,346318
6,1914551,319091
7,2212392,316056
8,1984690,248086
9,1730085,192231
10,1860245,186024
11,1841900,167445
12,1832317,152693
13,1844926,141917
14,1840363,131454
15,1764502,117633
16,1729216,108076
17,1775335,104431
18,1770680,98371
19,1953649,102823
20,1788970,89448
21,1748935,83282
22,1734826,78855
23,1880749,81771
24,1786364,74431
25,1733211,69328
26,1863132,71658
27,1990334,73716
28,1839858,65709
29,1734396,59806
30,1855030,61834
31,1962160,63295
32,1748313,54634
33,1754199,53157
34,1709103,50267
35,1979108,56545
36,1796014,49889
37,1907277,51548
38,1744995,45920
39,1828388,46881
40,1776445,44411
41,1843794,44970
42,1697552,40417
43,1846704,42946
44,1943378,44167
45,1777570,39501
46,1871937,40694
47,1895737,40334
48,1886578,39303
49,1763140,35982
50,1747513,34950
51,1801116,35316
52,1876066,36078
53,1813587,34218
54,1843621,34141
55,1720496,31281
56,1802973,32195
57,1764849,30962
58,1812466,31249
59,1901308,32225
60,1857712,30961
61,1863018,30541
62,1857363,29957
63,1795251,28496
64,1828623,28572
65,1856136,28555
66,1859588,28175
67,1799289,26855
68,1832308,26945
69,1811349,26251
70,1835499,26221
71,1880685,26488
72,1864420,25894
73,1782471,24417
74,1817166,24556
75,1820863,24278
76,1920622,25271
77,1814877,23569
78,1882813,24138
79,1801652,22805
80,1832187,22902
81,1802299,22250
82,1814499,22128
83,1769594,21320
84,1905617,22685
85,1831556,21547
86,1822903,21196
87,1805501,20752
88,1821762,20701
89,1914554,21511
90,1870500,20783
91,2048192,22507
92,1825310,19840
93,1792710,19276
94,1830475,19473
95,1804622,18996
96,2034595,21193
97,1806613,18624
98,1901384,19401
99,1905483,19247
100,1862189,18621
101,1875723,18571
102,1863188,18266
103,2452714,23812
104,1853368,17820
105,1817293,17307
106,1821954,17188
107,1854136,17328
108,1864155,17260
109,2038882,18705
110,1838724,16715
111,2012364,18129
112,1825427,16298
113,1852234,16391
114,1936013,16982
115,1836977,15973
116,2002439,17262
117,1775543,15175
118,1889767,16014
119,1811961,15226
120,1941120,16176
121,1919453,15863
122,1797442,14733
123,1830744,14884
124,2028649,16360
125,2053702,16429
126,2732714,21688
127,2349271,18498
128,2245331,17541
129,2297437,17809
130,1875061,14423
131,1850833,14128
132,1892888,14340
133,1852754,13930
134,1818921,13574
135,2517397,18647
136,2146725,15784
137,1951083,14241
138,1893785,13723
139,1826864,13142
140,1862501,13303
141,1892398,13421
142,1976805,13921
143,1869823,13075
144,1825983,12680
145,1859998,12827
146,1893953,12972
147,1874633,12752
148,1835118,12399
149,1882639,12635
150,1794297,11961
151,2052890,13595
152,1874361,12331
153,1927745,12599
154,1877647,12192
155,1842255,11885
156,1890735,12120
157,1893690,12061
158,1928447,12205
159,1953407,12285
160,1902562,11891
161,1894023,11764
162,1821538,11244
163,1844446,11315
164,1976447,12051
165,1959254,11874
166,1952402,11761
167,1928388,11547
168,1985455,11818
169,1827523,10813
170,1868014,10988
171,1948733,11396
172,1899307,11042
173,1921833,11108
174,1887548,10847
175,1892837,10816
176,1956009,11113
177,1912239,10803
178,1903906,10696
179,1884073,10525
180,1923936,10688
181,1978579,10931
182,1848160,10154
183,1915494,10467
184,1859408,10105
185,1954460,10564
186,1895075,10188
187,1882749,10068
188,1856025,9872
189,1975899,10454
190,1855647,9766
191,1894127,9916
192,1928579,10044
193,1896718,9827
194,1875272,9666
195,1886711,9675
196,1847748,9427
197,1919099,9741
198,1866919,9428
199,1864898,9371
200,1843603,9218
201,1875844,9332
202,2037533,10086
203,1994364,9824
204,1854536,9090
205,1923368,9382
206,1891413,9181
207,1883363,9098
208,1919804,9229
209,1868185,8938
210,1936699,9222
211,1901886,9013
212,1900020,8962
213,1871164,8784
214,1921211,8977
215,1882925,8757
216,1958147,9065
217,1939853,8939
218,1872094,8587
219,1864885,8515
220,1864911,8476
221,1968450,8907
222,1880711,8471
223,1905016,8542
224,1876208,8375
225,1941724,8629
226,1882159,8328
227,1888859,8320
228,1878231,8237
229,1854761,8099
230,1916365,8332
231,1906955,8255
232,1919548,8273
233,1909381,8194
234,1973708,8434
235,1946954,8284
236,1950598,8265
237,1899542,8014
238,1950058,8193
239,1956060,8184
240,1918365,7993
241,1904437,7902
242,1960942,8103
243,1942057,7992
244,2048973,8397
245,1860397,7593
246,1910210,7765
247,1977516,8006
248,1949005,7858
249,1888809,7585
250,1978579,7914
251,1943615,7743
252,1903736,7554
253,1918031,7581
254,1968998,7751
255,2041662,8006
256,2082493,8134
257,1956438,7612
258,2046950,7933
259,2014044,7776
260,1944388,7478
261,2013522,7714
262,2022743,7720
263,2003247,7616
264,1900790,7199
265,1999351,7544
266,1954956,7349
267,1956025,7325
268,1921750,7170
269,1883732,7002
270,1916348,7097
271,1913837,7062
272,2038711,7495
273,2045139,7491
274,1948376,7110
275,1984017,7214
276,1903146,6895
277,1910334,6896
278,1995728,7178
279,1899345,6807
280,2005548,7162
281,2169455,7720
282,1909245,6770
283,1901382,6718
284,1955514,6885
285,1988314,6976
286,1940727,6785
287,2004529,6984
288,1928016,6694
289,2695791,9327
290,2040877,7037
291,1990327,6839
292,1901694,6512
293,2170730,7408
294,1902390,6470
295,1914149,6488
296,1999403,6754
297,1915422,6449
298,1909955,6409
299,1892157,6328
300,1939649,6465
301,1962753,6520
302,1892713,6267
303,1963197,6479
304,2022354,6652
305,1931451,6332
306,1903293,6219
307,1910055,6221
308,1930704,6268
309,1964476,6357
310,1892482,6104
311,1873798,6025
312,2040253,6539
313,1913477,6113
314,1925438,6131
315,2045475,6493
316,1890515,5982
317,1920287,6057
318,1939175,6098
319,1948543,6108
320,1920113,6000
321,1902057,5925
322,2068432,6423
323,1983494,6140
324,1901678,5869
325,1931025,5941
326,1926991,5911
327,1943898,5944
328,2072728,6319
329,1953123,5936
330,1973091,5979
331,1960513,5923
332,1921915,5788
333,1910309,5736
334,1936881,5799
335,1957284,5842
336,1939306,5771
337,1894854,5622
338,1924930,5695
339,1914800,5648
340,1937824,5699
341,1944519,5702
342,1945680,5689
343,1901181,5542
344,1926919,5601
345,1921812,5570
346,1911819,5525
347,1914111,5516
348,1992951,5726
349,1968595,5640
350,1996370,5703
351,1917680,5463
352,2033486,5776
353,1917500,5432
354,1869161,5280
355,1965723,5537
356,2062065,5792
357,1881783,5271
358,1967865,5496
359,1932191,5382
360,1938765,5385
361,1942268,5380
362,1948627,5382
363,1943690,5354
364,1942202,5335
365,1966481,5387
366,1958600,5351
367,1890427,5151
368,1926483,5235
369,1911638,5180
370,2017741,5453
371,1965928,5298
372,1979253,5320
373,1997426,5355
374,2007876,5368
375,1939025,5170
376,1924035,5117
377,2035366,5398
378,1886473,4990
379,1954097,5155
380,2018247,5311
381,2504422,6573
382,1939850,5078
383,1905909,4976
384,2010414,5235
385,1972813,5124
386,1987856,5149
387,2034260,5256
388,1976509,5094
389,2005829,5156
390,1949116,4997
391,1974796,5050
392,1982273,5056
393,1917723,4879
394,1986077,5040
395,1981169,5015
396,1926141,4863
397,1913838,4820
398,1918411,4820
399,2011184,5040
400,1961744,4904
401,1999834,4987
402,2095821,5213
403,1959224,4861
404,1994055,4935
405,1919135,4738
406,1957256,4820
407,1977881,4859
408,1965890,4818
409,1936362,4734
410,1980173,4829
411,1995668,4855
412,1975489,4794
413,2029798,4914
414,1951463,4713
415,2143328,5164
416,1997820,4802
417,1967187,4717
418,1966534,4704
419,2053564,4901
420,2020162,4809
421,1989421,4725
422,1957313,4638
423,1990203,4704
424,1981194,4672
425,1952680,4594
426,1943270,4561
427,1983095,4644
428,2335511,5456
429,1978885,4612
430,1978460,4601
431,1983437,4601
432,2057061,4761
433,2097841,4844
434,1955993,4506
435,2066790,4751
436,2098273,4812
437,1947985,4457
438,1960248,4475
439,1984366,4520
440,1965909,4467
441,2030707,4604
442,2043301,4622
443,1977065,4462
444,2001386,4507
445,2036999,4577
446,2330611,5225
447,2021321,4521
448,2035916,4544
449,1956804,4358
450,1987306,4416
451,2094609,4644
452,2006401,4438
453,2476080,5465
454,2730386,6014
455,2001184,4398
456,2003284,4393
457,1991908,4358
458,1967921,4296
459,2016042,4392
460,2089618,4542
461,1986578,4309
462,2018354,4368
463,1975933,4267
464,2014294,4341
465,2030170,4365
466,1991097,4272
467,2250496,4819
468,2023730,4324
469,1977503,4216
470,1985061,4223
471,2082020,4420
472,2021194,4282
473,2006468,4242
474,2184341,4608
475,1995365,4200
476,1979397,4158
477,2095506,4393
478,1980363,4143
479,2045564,4270
480,2151504,4482
481,2037897,4236
482,1996925,4142
483,2048961,4242
484,2013312,4159
485,2018453,4161
486,2020210,4156
487,2064857,4239
488,2023507,4146
489,2058702,4210
490,1991392,4064
491,1998217,4069
492,2007196,4079
493,2033610,4124
494,1997528,4043
495,1993176,4026
496,2008229,4048
497,1999878,4023
498,1988098,3992
499,2026300,4060
500,1994587,3989
501,1999923,3991
502,1986150,3956
503,2036344,4048
504,1999970,3968
505,2080471,4119
506,2093195,4136
507,2004483,3953
508,1972437,3882
509,2015486,3959
510,1977348,3877
511,2027509,3967
512,2273146,4439
513,2035491,3967
514,2073982,4034
515,2057366,3994
516,2012669,3900
517,2070567,4004
518,2085871,4026
519,2064695,3978
520,1985880,3819
521,2119087,4067
522,2011889,3854
523,2067950,3954
524,2010390,3836
525,2039346,3884
526,2007968,3817
527,2049297,3888
528,2061611,3904
529,2067296,3907
530,2009326,3791
531,2008002,3781
532,2019053,3795
533,2063685,3871
534,1999471,3744
535,2552256,4770
536,2138509,3989
537,1994816,3714
538,2042352,3796
539,2029798,3765
540,2049647,3795
541,1995025,3687
542,1972862,3639
543,2031821,3741
544,2019181,3711
545,2028281,3721
546,2016986,3694
547,1940710,3547
548,2061253,3761
549,2021932,3682
550,2037515,3704
551,2039114,3700
552,2066384,3743
553,2008357,3631
554,1997462,3605
555,2021763,3642
556,2009053,3613
557,2897399,5201
558,2010808,3603
559,2053424,3673
560,2037215,3637
561,2119523,3778
562,2012298,3580
563,2048223,3638
564,2281826,4045
565,2151369,3807
566,2039471,3603
567,2070200,3651
568,2005735,3531
569,2026336,3561
570,2062468,3618
571,1984644,3475
572,2096836,3665
573,2024542,3533
574,2050285,3571
575,2032228,3534
576,2009338,3488
577,2005361,3475
578,1982839,3430
579,1999661,3453
580,2045841,3527
581,2002559,3446
582,2011766,3456
583,2029946,3481
584,2079941,3561
585,2052701,3508
586,2180612,3721
587,2034845,3466
