MB,Read Time (ns),Read Time / Number (ns)
1,477968,477968
2,898814,449407
3,1680745,560248
4,1725710,431427
5,1992375,398475
6,1714657,285776
7,1793573,256224
8,1993157,249144
9,1806375,200708
10,1778455,177845
11,1920409,174582
12,1769881,147490
13,1780127,136932
14,1762674,125905
15,1791156,119410
16,1835196,114699
17,1858665,109333
18,1901230,105623
19,1810566,95292
20,1736919,86845
21,1746940,83187
22,1843681,83803
23,1879993,81738
24,1755752,73156
25,1724838,68993
26,1770257,68086
27,1754546,64983
28,1805236,64472
29,1985329,68459
30,1778664,59288
31,1790990,57773
32,2112322,66010
33,1885029,57122
34,1792333,52715
35,1770404,50582
36,1823819,50661
37,1786411,48281
38,1839652,48411
39,1887721,48403
40,1816389,45409
41,1880113,45856
42,1836381,43723
43,1764027,41023
44,1814620,41241
45,1794210,39871
46,1909280,41506
47,1791906,38125
48,1818315,37881
49,1833121,37410
50,1848446,36968
51,1773165,34767
52,1791880,34459
53,1821584,34369
54,1819139,33687
55,1912255,34768
56,1826882,32622
57,1826151,32037
58,1795722,30960
59,1812850,30726
60,1736239,28937
61,1847409,30285
62,1930411,31135
63,1816960,28840
64,1960152,30627
65,1842023,28338
66,1872027,28364
67,1843122,27509
68,1791955,26352
69,1907487,27644
70,1827988,26114
71,1956993,27563
72,1807467,25103
73,1865057,25548
74,1826437,24681
75,1957699,26102
76,1802741,23720
77,1880597,24423
78,1831709,23483
79,1785209,22597
80,1840263,23003
81,1825436,22536
82,1865911,22755
83,1841480,22186
84,1856365,22099
85,1793561,21100
86,1831291,21294
87,1816204,20875
88,1896013,21545
89,1985179,22305
90,1856428,20626
91,1804340,19827
92,1867149,20295
93,1824028,19613
94,1810295,19258
95,1878555,19774
96,1815914,18915
97,1859480,19169
98,1825488,18627
99,1818554,18369
100,2432164,24321
101,1863346,18448
102,1849560,18132
103,2016220,19574
104,1839447,17686
105,1911736,18207
106,2005717,18921
107,1974369,18452
108,1811780,16775
109,1843211,16910
110,1965955,17872
111,1880455,16941
112,1834230,16377
113,1877594,16615
114,1892994,16605
115,1851513,16100
116,1814553,15642
117,1849679,15809
118,1882014,15949
119,1832072,15395
120,1869164,15576
121,1811102,14967
122,1845253,15125
123,1816428,14767
124,1811344,14607
125,1870797,14966
126,1843461,14630
127,1845276,14529
128,1952807,15256
129,1853597,14368
130,1902938,14637
131,1995399,15232
132,1851765,14028
133,1885565,14177
134,1851457,13816
135,1862697,13797
136,1874744,13784
137,1830875,13364
138,1879150,13617
139,1905044,13705
140,1934708,13819
141,1956583,13876
142,1859118,13092
143,1928933,13489
144,1876106,13028
145,1800246,12415
146,1911112,13089
147,1886341,12832
148,2002861,13532
149,1852317,12431
150,1848375,12322
151,1885323,12485
152,1883253,12389
153,2040669,13337
154,1876034,12182
155,1881571,12139
156,1989834,12755
157,1935212,12326
158,1872892,11853
159,1866465,11738
160,1886673,11791
161,1929895,11986
162,1889244,11662
163,1855902,11385
164,1981969,12085
165,1859663,11270
166,1907246,11489
167,1972398,11810
168,1916105,11405
169,1945294,11510
170,1913049,11253
171,1870675,10939
172,1895547,11020
173,1865527,10783
174,1956572,11244
175,1983207,11332
176,1905390,10826
177,1985247,11216
178,1982564,11138
179,2027282,11325
180,2016616,11203
181,1989243,10990
182,1955995,10747
183,1856614,10145
184,1909725,10378
185,1881177,10168
186,1875268,10082
187,1873669,10019
188,2004004,10659
189,1848615,9781
190,1903950,10020
191,1907510,9986
192,1917430,9986
193,1907016,9880
194,1960303,10104
195,1907928,9784
196,1897385,9680
197,1894091,9614
198,1940627,9801
199,1865368,9373
200,1979483,9897
201,2099798,10446
202,1885641,9334
203,1910769,9412
204,2035481,9977
205,1982247,9669
206,1878927,9121
207,1942281,9383
208,1910251,9183
209,1931765,9242
210,1901494,9054
211,1894304,8977
212,1874891,8843
213,1953336,9170
214,1930640,9021
215,1927785,8966
216,1897124,8782
217,1902836,8768
218,2154542,9883
219,1926264,8795
220,1955918,8890
221,1855649,8396
222,1911734,8611
223,1980322,8880
224,1902704,8494
225,1914191,8507
226,1896971,8393
227,1876407,8266
228,1936310,8492
229,1911394,8346
230,1906859,8290
231,1902118,8234
232,1934440,8338
233,1886255,8095
234,1959237,8372
235,1933444,8227
236,1999325,8471
237,1982648,8365
238,1900290,7984
239,2114289,8846
240,1907510,7947
241,1914136,7942
242,1993968,8239
243,1902483,7829
244,1929411,7907
245,2130842,8697
246,1919251,7801
247,1991537,8062
248,1914811,7721
249,1941866,7798
250,1914586,7658
251,1894847,7549
252,1944013,7714
253,1923982,7604
254,1931031,7602
255,1909698,7489
256,2168807,8471
257,1890818,7357
258,1986979,7701
259,1972649,7616
260,1908664,7341
261,1952544,7481
262,1921268,7333
263,2000300,7605
264,1994637,7555
265,1892320,7140
266,1913017,7191
267,1912199,7161
268,1916001,7149
269,1961958,7293
270,1914688,7091
271,1956812,7220
272,1913073,7033
273,1973336,7228
274,2004910,7317
275,1891486,6878
276,2078424,7530
277,1922802,6941
278,1907350,6860
279,1957379,7015
280,1983034,7082
281,1955119,6957
282,1982211,7029
283,2011977,7109
284,1955589,6885
285,1929526,6770
286,2060289,7203
287,3247073,11313
288,1922992,6677
289,1971123,6820
290,1976442,6815
291,1967444,6760
292,2107000,7215
293,2003925,6839
294,1970590,6702
295,2013014,6823
296,1929989,6520
297,1934279,6512
298,1962302,6584
299,1987581,6647
300,1916965,6389
301,2089086,6940
302,1994598,6604
303,1936688,6391
304,1987064,6536
305,1926165,6315
306,1929566,6305
307,1994915,6498
308,1913652,6213
309,1995765,6458
310,1977393,6378
311,1967488,6326
312,1960893,6284
313,2012137,6428
314,1939570,6176
315,1949417,6188
316,1921495,6080
317,1985862,6264
318,1947730,6124
319,2138504,6703
320,1989108,6215
321,1957908,6099
322,1973379,6128
323,2073800,6420
324,1954809,6033
325,1983546,6103
326,2012638,6173
327,1922622,5879
328,1998937,6094
329,1957032,5948
330,1926263,5837
331,1998290,6037
332,1954948,5888
333,1929721,5794
334,1901975,5694
335,1942072,5797
336,1976226,5881
337,2065101,6127
338,2016584,5966
339,1966934,5802
340,1945515,5722
341,1952455,5725
342,1956185,5719
343,1993408,5811
344,2149771,6249
345,2024443,5867
346,1925339,5564
347,2008312,5787
348,2011986,5781
349,1928519,5525
350,2008959,5739
351,1933867,5509
352,1923161,5463
353,1987711,5630
354,1925149,5438
355,2032853,5726
356,2186147,6140
357,1955492,5477
358,2005327,5601
