B,Read Time (ns),Read Time / Number (ns)
1,9112,9112
2,9293,4646
3,8551,2850
4,12547,3136
5,8542,1708
6,8690,1448
7,8546,1220
8,8549,1068
9,8569,952
10,8711,871
11,8666,787
12,8552,712
13,8559,658
14,8675,619
15,8669,577
16,8702,543
17,8695,511
18,8693,482
19,8545,449
20,8590,429
21,8707,414
22,8685,394
23,8698,378
24,8692,362
25,8670,346
26,8656,332
27,8553,316
28,8694,310
29,8545,294
30,8714,290
31,8673,279
32,8583,268
33,8697,263
34,8698,255
35,8561,244
36,8713,242
37,8696,235
38,8545,224
39,8550,219
40,8545,213
41,8819,215
42,8699,207
43,8547,198
44,8553,194
45,8577,190
46,8580,186
47,8557,182
48,8710,181
49,13547,276
50,8541,170
51,8575,168
52,9182,176
53,8944,168
54,10461,193
55,8717,158
56,8556,152
57,8736,153
58,8569,147
59,8559,145
60,8545,142
61,8566,140
62,9163,147
63,8709,138
64,8553,133
65,8686,133
66,8677,131
67,8685,129
68,8714,128
69,8543,123
70,8565,122
71,8549,120
72,8567,118
73,8549,117
74,8687,117
75,8592,114
76,8570,112
77,8694,112
78,8715,111
79,8685,109
80,8532,106
81,8678,107
82,8683,105
83,8550,103
84,8560,101
85,8559,100
86,8564,99
87,8573,98
88,8551,97
89,9183,103
90,9187,102
91,9177,100
92,8547,92
93,8687,93
94,8540,90
95,8679,91
96,8550,89
97,8597,88
98,8706,88
99,8573,86
100,8698,86
101,8686,86
102,8687,85
103,8707,84
104,8537,82
105,8533,81
106,8700,82
107,8536,79
108,8711,80
109,8716,79
110,8733,79
111,8546,76
112,8545,76
113,9199,81
114,12121,106
115,8681,75
116,8676,74
117,8546,73
118,8583,72
119,8546,71
120,8550,71
121,8574,70
122,8548,70
123,8559,69
124,8682,70
125,8649,69
126,9050,71
127,9161,72
128,8538,66
129,8555,66
130,8685,66
131,8577,65
132,8533,64
133,8561,64
134,8533,63
135,8691,64
136,8700,63
137,8573,62
138,8548,61
139,8551,61
140,9154,65
141,8558,60
142,9184,64
143,8555,59
144,8560,59
145,8698,59
146,8536,58
147,8538,58
148,8666,58
149,8688,58
150,8535,56
151,8572,56
152,8569,56
153,8697,56
154,8665,56
155,8672,55
156,8565,54
157,8709,55
158,8569,54
159,8530,53
160,8669,54
161,8696,54
162,8714,53
163,8702,53
164,8563,52
165,8555,51
166,8574,51
167,8684,52
168,8564,50
169,8560,50
170,8692,51
171,8686,50
172,8552,49
173,8565,49
174,8543,49
175,8656,49
176,8558,48
177,8706,49
178,8565,48
179,8695,48
180,8677,48
181,8572,47
182,8572,47
183,8657,47
184,9188,49
185,8686,46
186,8552,45
187,8679,46
188,8546,45
189,8583,45
190,8706,45
191,10228,53
192,8651,45
193,8711,45
194,8694,44
195,8561,43
196,8691,44
197,8667,43
198,8731,44
199,8538,42
200,8686,43
201,8583,42
202,11980,59
203,8707,42
204,8538,41
205,8553,41
206,8567,41
207,8686,41
208,8712,41
209,8695,41
210,8684,41
211,8576,40
212,8695,41
213,8699,40
214,8705,40
215,8709,40
216,8547,39
217,8563,39
218,8711,39
219,8721,39
220,8581,39
221,8698,39
222,8569,38
223,8683,38
224,8547,38
225,8704,38
226,8707,38
227,8684,38
228,8704,38
229,8660,37
230,8683,37
231,9223,39
232,8725,37
233,8541,36
234,11834,50
235,8554,36
236,8709,36
237,8690,36
238,8691,36
239,8690,36
240,8539,35
241,8682,36
242,8573,35
243,8547,35
244,8703,35
245,8666,35
246,8587,34
247,8680,35
248,8723,35
249,8698,34
250,8694,34
251,8675,34
252,8581,34
253,8705,34
254,8709,34
255,8555,33
256,8552,33
257,8718,33
258,8730,33
259,8562,33
260,8684,33
261,8543,32
262,8679,33
263,8564,32
264,8687,32
265,8564,32
266,8555,32
267,8569,32
268,19418,72
269,8675,32
270,8720,32
271,8570,31
272,8697,31
273,8570,31
274,8551,31
275,8568,31
276,8697,31
277,8731,31
278,9242,33
279,9174,32
280,9242,33
281,8586,30
282,8559,30
283,8688,30
284,8704,30
285,8705,30
286,8691,30
287,8557,29
288,8564,29
289,8701,30
290,8568,29
291,8702,29
292,8702,29
293,8723,29
294,8571,29
295,8658,29
296,8580,28
297,8600,28
298,8572,28
299,8725,29
300,8721,29
301,8575,28
302,8699,28
303,8577,28
304,8691,28
305,8557,28
306,8716,28
307,8683,28
308,8658,28
309,8586,27
310,8545,27
311,8563,27
312,8707,27
313,8564,27
314,8581,27
315,8595,27
316,8698,27
317,8593,27
318,8561,26
319,8569,26
320,8695,27
321,8556,26
322,8545,26
323,8713,26
324,8552,26
325,8567,26
326,8587,26
327,8558,26
328,9501,28
329,8704,26
330,8730,26
331,8589,25
332,9191,27
333,9177,27
334,8923,26
335,8726,26
336,8709,25
337,8675,25
338,8554,25
339,8557,25
340,8682,25
341,8681,25
342,12586,36
343,8562,24
344,8687,25
345,8584,24
346,8554,24
347,8548,24
348,8709,25
349,8540,24
350,8706,24
351,8679,24
352,8561,24
353,8563,24
354,8700,24
355,8691,24
356,9214,25
357,8581,24
358,8557,23
359,8557,23
360,12548,34
361,8721,24
362,8678,23
363,8693,23
364,8709,23
365,8581,23
366,8679,23
367,8684,23
368,8563,23
369,8564,23
370,8560,23
371,8703,23
372,8688,23
373,8539,22
374,8593,22
375,8693,23
376,8554,22
377,8707,23
378,8676,22
379,8716,22
380,9082,23
381,8681,22
382,8679,22
383,8704,22
384,9248,24
385,8561,22
386,8710,22
387,8572,22
388,8713,22
389,8574,22
390,8579,21
391,8713,22
392,31020,79
393,8714,22
394,8553,21
395,8553,21
396,8550,21
397,8549,21
398,8692,21
399,8674,21
400,8577,21
401,8722,21
402,8693,21
403,8663,21
404,8545,21
405,8535,21
406,8703,21
407,8594,21
408,8565,20
409,8553,20
410,8568,20
411,8573,20
412,8563,20
413,8706,21
414,8709,21
415,8543,20
416,8725,20
417,8682,20
418,8542,20
419,8703,20
420,8559,20
421,8698,20
422,9252,21
423,8698,20
424,8573,20
425,8573,20
426,8710,20
427,8576,20
428,8561,20
429,8570,19
430,8555,19
431,8708,20
432,8582,19
433,8702,20
434,8552,19
435,8688,19
436,8565,19
437,8688,19
438,8709,19
439,8715,19
440,8560,19
441,8689,19
442,8572,19
443,8689,19
444,8580,19
445,8724,19
446,8664,19
447,8691,19
448,12279,27
449,8672,19
450,8709,19
451,8571,19
452,8694,19
453,8697,19
454,8714,19
455,8547,18
456,8686,19
457,8684,19
458,8557,18
459,8688,18
460,8682,18
461,8560,18
462,8542,18
463,12375,26
464,8688,18
465,8699,18
466,8694,18
467,8567,18
468,8710,18
469,8548,18
470,8670,18
471,8722,18
472,8678,18
473,8557,18
474,8668,18
475,8715,18
476,8574,18
477,9260,19
478,8704,18
479,8693,18
480,8534,17
481,8529,17
482,8699,18
483,8730,18
484,8564,17
485,8582,17
486,8544,17
487,8561,17
488,8706,17
489,8594,17
490,8577,17
491,9258,18
492,9291,18
493,9225,18
494,8707,17
495,8692,17
496,8710,17
497,8734,17
498,8697,17
499,8550,17
500,8694,17
501,8570,17
502,8550,17
503,8654,17
504,8695,17
505,8696,17
506,9223,18
507,8700,17
508,8694,17
509,8587,16
510,8577,16
511,8555,16
512,8577,16
513,8700,16
514,8584,16
515,8582,16
516,8714,16
517,12672,24
518,8565,16
519,9212,17
520,8682,16
521,8572,16
522,8686,16
523,8562,16
524,8571,16
525,8582,16
526,8696,16
527,8699,16
528,8695,16
529,8688,16
530,8549,16
531,8569,16
532,8697,16
533,8707,16
534,9300,17
535,9054,16
536,8690,16
537,8708,16
538,13287,24
539,8718,16
540,8712,16
541,8740,16
542,8564,15
543,8574,15
544,8559,15
545,8565,15
546,8702,15
547,8577,15
548,8673,15
549,8705,15
550,8694,15
551,8694,15
552,8564,15
553,8716,15
554,8558,15
555,8560,15
556,8719,15
557,8537,15
558,8576,15
559,8721,15
560,8568,15
561,8579,15
562,12161,21
563,8575,15
564,8551,15
565,8556,15
566,8696,15
567,8568,15
568,8570,15
569,9223,16
570,8558,15
571,8570,15
572,8546,14
573,8721,15
574,8713,15
575,8680,15
576,8571,14
577,8562,14
578,8683,15
579,8677,14
580,8541,14
581,8704,14
582,8680,14
583,8720,14
584,8568,14
585,8698,14
586,8560,14
587,8543,14
588,8681,14
589,8685,14
590,8556,14
591,8712,14
592,8704,14
593,9159,15
594,9170,15
595,9174,15
596,8689,14
597,8571,14
598,8702,14
599,8571,14
600,8720,14
601,8692,14
602,8674,14
603,8691,14
604,8555,14
605,8561,14
606,8563,14
607,8738,14
608,8717,14
609,8693,14
610,8671,14
611,8587,14
612,8709,14
613,8695,14
614,8555,13
615,14582,23
616,8704,14
617,8703,14
618,8552,13
619,8713,14
620,8688,14
621,8710,14
622,8666,13
623,8700,13
624,8696,13
625,8582,13
626,8696,13
627,8567,13
628,8746,13
629,8571,13
630,8589,13
631,9175,14
632,8673,13
633,9200,14
634,8706,13
635,8566,13
636,8694,13
637,8540,13
638,8686,13
639,8728,13
640,8593,13
641,8695,13
642,8694,13
643,8562,13
644,8688,13
645,8570,13
646,8556,13
647,8678,13
648,8711,13
649,8582,13
650,8561,13
651,8579,13
652,8684,13
653,8584,13
654,8573,13
655,8705,13
656,8698,13
657,8549,13
658,8699,13
659,8573,13
660,8584,13
661,8544,12
662,8678,13
663,8698,13
664,8574,12
665,8676,13
666,8691,13
667,8698,13
668,8551,12
669,8736,13
670,8583,12
671,8585,12
672,10845,16
673,8592,12
674,8685,12
675,8668,12
676,9142,13
677,9195,13
678,10866,16
679,8575,12
680,8699,12
681,8690,12
682,8673,12
683,8690,12
684,8719,12
685,8690,12
