KB,Read Time (ns),Read Time / Number (ns)
1,10487,10487
2,10741,5370
3,10518,3506
4,10736,2684
5,12348,2469
6,12390,2065
7,12342,1763
8,12123,1515
9,13670,1518
10,13709,1370
11,14224,1293
12,13893,1157
13,15739,1210
14,15256,1089
15,15508,1033
16,15688,980
17,17545,1032
18,17537,974
19,16934,891
20,16833,841
21,18282,870
22,18646,847
23,18704,813
24,18607,775
25,20549,821
26,20397,784
27,20395,755
28,20309,725
29,22456,774
30,22633,754
31,21935,707
32,21694,677
33,23574,714
34,23621,694
35,23514,671
36,23002,638
37,24670,666
38,25468,670
39,25293,648
40,33638,840
41,37119,905
42,27953,665
43,27338,635
44,26350,598
45,36944,820
46,30089,654
47,28572,607
48,37480,780
49,30007,612
50,39695,793
51,29890,586
52,30462,585
53,41047,774
54,31239,578
55,32096,583
56,30975,553
57,41619,730
58,33818,583
59,34565,585
60,35829,597
61,35389,580
62,36625,590
63,35191,558
64,35633,556
65,35858,551
66,37860,573
67,38089,568
68,47143,693
69,39279,569
70,37913,541
71,49783,701
72,38847,539
73,40162,550
74,40792,551
75,42157,562
76,101895,1340
77,39977,519
78,39483,506
79,41130,520
80,43380,542
81,44691,551
82,43815,534
83,42779,515
84,44125,525
85,53378,627
86,46875,545
87,44762,514
88,45179,513
89,90591,1017
90,45783,508
91,49227,540
92,50099,544
93,72747,782
94,51093,543
95,51112,538
96,47595,495
97,48229,497
98,52037,530
99,49950,504
100,51508,515
101,48722,482
102,51372,503
103,55146,535
104,60311,579
105,52500,500
106,53628,505
107,52004,486
108,61101,565
109,55371,507
110,56436,513
111,63390,571
112,55301,493
113,57303,507
114,65243,572
115,61248,532
116,59749,515
117,57944,495
118,56600,479
119,67230,564
120,61856,515
121,65525,541
122,56101,459
123,57322,466
124,59245,477
125,59223,473
126,74085,587
127,62231,490
128,62470,488
129,61728,478
130,67506,519
131,75084,573
132,62472,473
133,79350,596
134,68164,508
135,73166,541
136,80388,591
137,75336,549
138,84866,614
139,92458,665
140,67771,484
141,75605,536
142,77882,548
143,70580,493
144,68283,474
145,69375,478
146,75997,520
147,66277,450
148,81453,550
149,71678,481
150,71458,476
151,70658,467
152,77673,511
153,75663,494
154,71066,461
155,79667,513
156,76970,493
157,83874,534
158,76469,483
159,77699,488
160,89540,559
161,87456,543
162,89892,554
163,80207,492
164,85874,523
165,76131,461
166,80024,482
167,85180,510
168,85169,506
169,90242,533
170,87311,513
171,83133,486
172,83443,485
173,92651,535
174,87003,500
175,89620,512
176,81898,465
177,85760,484
178,92046,517
179,93548,522
180,124403,691
181,84941,469
182,93431,513
183,113059,617
184,91608,497
185,99568,538
186,94253,506
187,91490,489
188,83728,445
189,87762,464
190,94577,497
191,107381,562
192,88147,459
193,96275,498
194,100171,516
195,92419,473
196,100179,511
197,94068,477
198,88329,446
199,96449,484
200,100108,500
201,92048,457
202,94414,467
203,97198,478
204,102436,502
205,93433,455
206,88738,430
207,93303,450
208,92045,442
209,102877,492
210,93531,445
211,132503,627
212,104875,494
213,108611,509
214,111424,520
215,93767,436
216,108238,501
217,101231,466
218,99511,456
219,101520,463
220,101731,462
221,112626,509
222,101197,455
223,128613,576
224,109843,490
225,103533,460
226,98173,434
227,110094,484
228,106394,466
229,116889,510
230,121036,526
231,114599,496
232,123106,530
233,113126,485
234,122036,521
235,109561,466
236,139230,589
237,109865,463
238,119100,500
