MB,Read Time (ns),Read Time / Number (ns)
1,616777,616777
2,1051632,525816
3,1947723,649241
4,2006017,501504
5,2130998,426199
6,1799480,299913
7,1801548,257364
8,1738253,217281
9,1732000,192444
10,1896167,189616
11,1865005,169545
12,1780390,148365
13,1728697,132976
14,1948952,139210
15,1937584,129172
16,1857666,116104
17,1836291,108017
18,1786542,99252
19,1954433,102864
20,1766613,88330
21,2084668,99269
22,1883022,85591
23,1774462,77150
24,2090288,87095
25,1831439,73257
26,1934789,74414
27,1940859,71883
28,1900449,67873
29,1923503,66327
30,1785703,59523
31,1931355,62301
32,1791949,55998
33,1882329,57040
34,2048353,60245
35,1839637,52561
36,1850997,51416
37,1980092,53516
38,1807630,47569
39,1823621,46759
40,1768598,44214
41,2504181,61077
42,2314342,55103
43,1735189,40353
44,1763701,40084
45,1748508,38855
46,1808572,39316
47,1865939,39700
48,2171442,45238
49,1797116,36675
50,1823198,36463
51,1882451,36910
52,1820214,35004
53,1761563,33237
54,2048530,37935
55,1799048,32709
56,1761962,31463
57,1974011,34631
58,1780615,30700
59,1808806,30657
60,2034597,33909
61,1828642,29977
62,1883947,30386
63,1863399,29577
64,1782100,27845
65,1939395,29836
66,1765140,26744
67,1942076,28986
68,1913184,28135
69,1860772,26967
70,1927610,27537
71,1947415,27428
72,1820966,25291
73,1795210,24591
74,1837158,24826
75,1840612,24541
76,1773808,23339
77,1995402,25914
78,1840327,23593
79,1822882,23074
80,1811775,22647
81,1877618,23180
82,1893175,23087
83,1744581,21019
84,1822652,21698
85,1857046,21847
86,1814681,21100
87,1998123,22966
88,1967039,22352
89,1828547,20545
90,1882689,20918
91,1828977,20098
92,1820905,19792
93,1937776,20836
94,1845107,19628
95,1842219,19391
96,1791141,18657
97,1888080,19464
98,1767308,18033
99,2112424,21337
100,1804464,18044
101,1813157,17952
102,1894061,18569
103,1839532,17859
104,1820450,17504
105,1896805,18064
106,1841244,17370
107,2039267,19058
108,1887449,17476
109,1940093,17799
110,2053548,18668
111,1846214,16632
112,1829252,16332
113,1844464,16322
114,1851112,16237
115,2215670,19266
116,1904870,16421
117,1872413,16003
118,1899980,16101
119,1866972,15688
120,3987709,33230
121,1902122,15720
122,1861667,15259
123,1952466,15873
124,1838382,14825
125,1856754,14854
126,1967943,15618
127,1838222,14474
128,1858072,14516
129,1804141,13985
130,1892010,14553
131,1896868,14479
132,1863586,14118
133,1867852,14044
134,1951529,14563
135,1903111,14097
136,1971232,14494
137,1911015,13949
138,1833240,13284
139,1887297,13577
140,1910588,13647
141,1881766,13345
142,1876951,13217
143,1882092,13161
144,1834240,12737
145,1878331,12954
146,1842522,12620
147,1920042,13061
148,1907268,12886
149,2036618,13668
150,1924920,12832
151,1832673,12136
152,1838740,12096
153,1930260,12616
154,1874267,12170
155,1931794,12463
156,1845440,11829
157,1984415,12639
158,1850846,11714
159,2263485,14235
160,1928025,12050
161,1895457,11773
162,2044947,12623
163,1884168,11559
164,1884408,11490
165,1952046,11830
166,1864189,11230
167,1863708,11159
168,1915912,11404
169,1901786,11253
170,1904337,11201
171,1902825,11127
172,1873520,10892
173,1899413,10979
174,2114207,12150
175,1869358,10682
176,1883506,10701
177,1865819,10541
178,2184781,12274
179,1845744,10311
180,1961537,10897
181,2026168,11194
182,1905340,10468
183,1891669,10336
184,1894844,10298
185,1944051,10508
186,1937847,10418
187,1903141,10177
188,1923390,10230
189,1923475,10177
190,1905680,10029
191,2024274,10598
192,2004215,10438
193,1920881,9952
194,1941264,10006
195,1887222,9678
196,1923553,9814
197,1968787,9993
198,1884886,9519
199,1902583,9560
200,1961224,9806
201,1874873,9327
202,1936629,9587
203,1890600,9313
204,1969375,9653
205,1881248,9176
206,1843048,8946
207,1887931,9120
208,1912833,9196
209,1952834,9343
210,1888220,8991
211,1853581,8784
212,1952634,9210
213,1956674,9186
214,1955226,9136
215,1899994,8837
216,1987444,9201
217,1887694,8699
218,2013224,9234
219,2203120,10059
220,1930269,8773
221,2060406,9323
222,1913804,8620
