KB,Read Time (ns),Read Time / Number (ns)
1,10749,10749
2,10951,5475
3,10863,3621
4,15149,3787
5,12459,2491
6,12316,2052
7,12241,1748
8,12458,1557
9,14240,1582
10,14482,1448
11,13582,1234
12,14030,1169
13,15232,1171
14,15870,1133
15,15785,1052
16,15451,965
17,16889,993
18,17015,945
19,16874,888
20,17478,873
21,17477,832
22,18874,857
23,18853,819
24,18605,775
25,20240,809
26,28984,1114
27,20810,770
28,29737,1062
29,23240,801
30,21463,715
31,21781,702
32,22870,714
33,22630,685
34,31848,936
35,26032,743
36,23330,648
37,25180,680
38,24760,651
39,25466,652
40,40363,1009
41,26469,645
42,26233,624
43,26561,617
44,26754,608
45,39855,885
46,38567,838
47,28117,598
48,28217,587
49,30415,620
50,29988,599
51,29463,577
52,30962,595
53,41252,778
54,31960,591
55,32137,584
56,32791,585
57,32421,568
58,34026,586
59,34177,579
60,42462,707
61,36630,600
62,35722,576
63,36219,574
64,35569,555
65,38515,592
66,35003,530
67,47432,707
68,35787,526
69,48552,703
70,41340,590
71,63116,888
72,40892,567
73,40682,557
74,51063,690
75,39833,531
76,38839,511
77,41801,542
78,40033,513
79,45136,571
80,42959,536
81,44684,551
82,46149,562
83,55509,668
84,45695,543
85,42865,504
86,48027,558
87,46243,531
88,43992,499
89,54515,612
90,46732,519
91,49210,540
92,45437,493
93,60454,650
94,46723,497
95,48775,513
96,49853,519
97,50145,516
98,48410,493
99,47514,479
100,50650,506
101,48537,480
102,54487,534
103,60470,587
104,51676,496
105,49914,475
106,55294,521
107,55785,521
108,58678,543
109,54533,500
110,56119,510
111,55124,496
112,64171,572
113,64385,569
114,65386,573
115,54278,471
116,61192,527
117,67632,578
118,61265,519
119,54888,461
120,61099,509
121,63613,525
122,60139,492
123,59544,484
124,64794,522
125,68635,549
126,69435,551
127,57666,454
128,70679,552
129,69522,538
130,65309,502
131,65130,497
132,63116,478
133,71090,534
134,64030,477
135,69132,512
136,69908,514
137,83709,611
138,69861,506
139,63663,458
140,66250,473
141,69167,490
142,91610,645
143,74802,523
144,70850,492
145,87437,603
146,68615,469
147,70256,477
148,70810,478
149,70369,472
150,79827,532
151,72987,483
152,69807,459
153,73452,480
154,83791,544
155,71696,462
156,70401,451
157,76774,489
158,86722,548
159,79416,499
160,87043,544
161,71454,443
162,74009,456
163,77462,475
164,75997,463
165,88120,534
166,76338,459
167,77765,465
168,77824,463
169,94537,559
170,86887,511
171,78671,460
172,78466,456
173,77088,445
174,88663,509
175,81223,464
176,104551,594
177,103403,584
178,153159,860
179,93784,523
180,143826,799
181,85597,472
182,103876,570
183,93029,508
184,97358,529
185,100215,541
186,91259,490
187,92561,494
188,89716,477
189,123689,654
190,100782,530
191,138406,724
192,101968,531
193,85304,441
194,98144,505
195,92567,474
196,102823,524
197,95961,487
198,93902,474
199,91313,458
200,90245,451
201,109463,544
202,104781,518
203,90570,446
204,89947,440
205,95691,466
206,105710,513
207,126140,609
208,88856,427
209,95358,456
210,100397,478
211,93768,444
212,109483,516
213,104659,491
214,106520,497
215,97402,453
216,108044,500
217,106623,491
218,96949,444
219,100447,458
220,99775,453
221,100467,454
222,100812,454
223,120648,541
224,101692,453
225,111038,493
226,94432,417
227,107207,472
228,104138,456
229,102578,447
230,109959,478
231,111850,484
232,112500,484
233,115718,496
234,130348,557
235,113650,483
236,120503,510
237,121401,512
238,114472,480
239,124985,522
240,124356,518
241,106122,440
242,120355,497
243,109178,449
244,111023,455
245,121579,496
246,121251,492
247,120505,487
248,112075,451
249,125182,502
250,116731,466
251,109087,434
252,119566,474
253,120847,477
254,114398,450
255,124711,489
256,159495,623
257,114764,446
258,125515,486
259,113004,436
