MB,Read Time (ns),Read Time / Number (ns)
1,444169,444169
2,896855,448427
3,1722252,574084
4,1790789,447697
5,1911788,382357
6,1740460,290076
7,1743068,249009
8,2011733,251466
9,1826327,202925
10,1740308,174030
11,1757179,159743
12,1767898,147324
13,2068650,159126
14,1700374,121455
15,1802037,120135
16,1881852,117615
17,1740896,102405
18,1739646,96647
19,1867608,98295
20,1758499,87924
21,1837988,87523
22,1842839,83765
23,1787602,77721
24,1860162,77506
25,1797333,71893
26,1750677,67333
27,1804843,66846
28,1778679,63524
29,1835146,63280
30,1766833,58894
31,1857210,59910
32,1861654,58176
33,1777528,53864
34,1708420,50247
35,1744515,49843
36,1764326,49009
37,1720457,46498
38,1794618,47226
39,1881328,48239
40,1821446,45536
41,1813469,44230
42,1776400,42295
43,1894620,44060
44,1727539,39262
45,1845992,41022
46,2020695,43928
47,1777877,37827
48,1762527,36719
49,1816198,37065
50,1753313,35066
51,1884846,36957
52,1786132,34348
53,2093489,39499
54,1747828,32367
55,1868817,33978
56,1768237,31575
57,1800115,31580
58,1720144,29657
59,1775999,30101
60,1816944,30282
61,2028572,33255
62,1802513,29072
63,1987481,31547
64,1852447,28944
65,1789858,27536
66,1934738,29314
67,1837865,27430
68,1873625,27553
69,1858406,26933
70,1801226,25731
71,1814295,25553
72,1819575,25271
73,1825566,25007
74,1804559,24385
75,1749359,23324
76,1826540,24033
77,1925738,25009
78,1815051,23269
79,1984520,25120
80,1832509,22906
81,1892045,23358
82,1769812,21583
83,1806456,21764
84,2035001,24226
85,1873053,22035
86,1783292,20735
87,1847296,21233
88,1830587,20802
89,1989571,22354
90,1840592,20451
91,1879465,20653
92,1949990,21195
93,1856323,19960
94,1796780,19114
95,1836659,19333
96,1837127,19136
97,1807928,18638
98,1893394,19320
99,1873313,18922
100,1938304,19383
101,1843778,18255
102,1787361,17523
103,1771274,17196
104,1901799,18286
105,1820388,17337
106,1751642,16524
107,1947094,18197
108,1833306,16975
109,2590009,23761
110,1894342,17221
111,1854143,16703
112,1830161,16340
113,2050492,18145
114,1824542,16004
115,1848553,16074
116,1795227,15476
117,1998695,17082
118,1838233,15578
119,1814796,15250
120,1856228,15468
121,1871215,15464
122,1924648,15775
123,1953685,15883
124,1796767,14490
125,1890138,15121
126,1887240,14978
127,1828076,14394
128,1974482,15425
129,1863473,14445
130,2029753,15613
131,1922036,14672
132,1888547,14307
133,1949834,14660
134,1890252,14106
135,1832881,13576
136,1837910,13514
137,1891763,13808
138,1980606,14352
139,1969003,14165
140,1900447,13574
141,1823589,12933
142,1869645,13166
143,1848088,12923
144,1860288,12918
145,1864451,12858
146,1816481,12441
147,1877381,12771
148,1854485,12530
149,1919058,12879
150,1847005,12313
151,1828319,12108
152,1857151,12218
153,1890476,12356
154,1845018,11980
155,1847035,11916
156,1829370,11726
157,1854042,11809
158,1852944,11727
159,1848959,11628
160,1843012,11518
161,1889241,11734
162,1843302,11378
163,1869514,11469
164,1864788,11370
165,1838131,11140
166,1815715,10938
167,1875951,11233
168,1850831,11016
169,1818792,10762
170,1961972,11541
171,1877759,10981
172,1853156,10774
173,1886293,10903
174,1836758,10556
175,1842665,10529
176,1875181,10654
177,1820638,10286
178,1904236,10697
179,1910229,10671
180,1856056,10311
181,1866918,10314
182,1884928,10356
183,1846056,10087
184,1869229,10158
185,1871882,10118
186,1867811,10041
187,1852449,9906
188,1846745,9823
189,1882897,9962
190,1986337,10454
191,1915479,10028
192,1898994,9890
193,1973605,10225
194,1983939,10226
195,1876300,9622
196,1903631,9712
197,1952702,9912
198,1877743,9483
199,1853555,9314
200,1962688,9813
201,1889481,9400
202,1882476,9319
203,1851212,9119
204,1874159,9187
205,1860481,9075
206,1888598,9167
207,1931032,9328
208,1991831,9576
209,1864410,8920
210,1858109,8848
211,1954151,9261
212,1939892,9150
213,1898608,8913
214,1880543,8787
215,1866612,8681
216,1938360,8973
217,1863435,8587
218,1878331,8616
219,1894379,8650
220,1939120,8814
221,1888902,8547
222,1939375,8735
223,1899181,8516
224,2006870,8959
225,1914527,8509
226,1911798,8459
227,1862750,8205
228,1884732,8266
229,1917172,8371
230,1885690,8198
231,1889048,8177
232,1884895,8124
233,1910370,8199
234,1923921,8221
235,1883223,8013
236,1965413,8328
237,1876819,7919
238,1907560,8014
239,1918894,8028
240,1896521,7902
241,1911264,7930
242,1900505,7853
243,1917493,7890
244,1868532,7657
245,1939711,7917
246,1951263,7931
247,1940918,7857
248,1949344,7860
249,1918939,7706
250,1919962,7679
251,1930919,7692
252,1925591,7641
253,1901051,7514
254,1874969,7381
255,1879738,7371
256,2058163,8039
257,1923238,7483
258,1934513,7498
259,1891413,7302
260,1938383,7455
261,1877647,7194
262,1891314,7218
263,1963363,7465
264,1921764,7279
265,1910790,7210
266,1930647,7258
267,1913284,7165
268,1906776,7114
269,1885205,7008
270,1987064,7359
271,1926042,7107
272,1874813,6892
273,1902882,6970
274,1911752,6977
275,1966717,7151
276,2052522,7436
277,1888959,6819
278,2005011,7212
279,1979042,7093
280,1892535,6759
281,1926944,6857
282,1904127,6752
283,1984587,7012
284,1921675,6766
285,1906784,6690
286,1987802,6950
287,1971725,6870
288,1896184,6583
289,1893852,6553
290,1919889,6620
291,1885955,6480
292,1953366,6689
293,1918120,6546
294,1923884,6543
295,1893281,6417
296,1948107,6581
297,1956105,6586
298,1941379,6514
299,1958723,6550
300,1948982,6496
301,1895364,6296
302,1927773,6383
303,2070278,6832
304,1894054,6230
305,1908508,6257
306,2031841,6640
307,1965622,6402
308,1928565,6261
309,1957729,6335
310,1971881,6360
311,1882738,6053
312,2011870,6448
313,1970513,6295
314,1916635,6103
315,1908887,6059
316,1948410,6165
317,2033510,6414
318,2086123,6560
319,1961533,6149
320,1958280,6119
321,1994820,6214
322,1943481,6035
323,2036269,6304
324,1994620,6156
325,1912543,5884
326,2017260,6187
327,1906204,5829
328,2030094,6189
329,1930898,5868
330,1945218,5894
331,1899629,5739
332,1880685,5664
333,1933246,5805
334,1953915,5850
335,1933810,5772
336,2004579,5966
337,1966351,5834
338,1927558,5702
339,1919571,5662
340,1969719,5793
341,1937163,5680
342,1925122,5629
343,1934393,5639
344,1962715,5705
345,1881976,5455
346,1983137,5731
347,1911461,5508
348,1963978,5643
349,1921081,5504
350,1981263,5660
351,1932960,5507
352,1954560,5552
353,2089023,5917
354,1984078,5604
355,1923172,5417
356,1944002,5460
357,1904130,5333
358,1931764,5395
359,1928210,5371
360,1963111,5453
361,2053873,5689
362,1957283,5406
363,1955885,5388
364,1955998,5373
365,1982644,5431
366,1943816,5310
367,2024066,5515
368,1941544,5275
369,1992960,5400
370,1890141,5108
371,1973785,5320
372,2007190,5395
373,2006100,5378
374,1955209,5227
375,1972735,5260
376,2042118,5431
377,2012994,5339
378,1970898,5214
379,1971163,5200
380,2010749,5291
381,1935384,5079
382,2053802,5376
383,1941712,5069
384,2019109,5258
385,1952416,5071
386,1929758,4999
387,2964130,7659
388,2002479,5161
389,2030212,5219
390,1998401,5124
391,1907839,4879
392,1990401,5077
393,1922309,4891
394,2699932,6852
395,1946728,4928
396,1990117,5025
397,1929729,4860
398,1906875,4791
399,1946757,4879
400,1953230,4883
401,1970788,4914
402,1988095,4945
403,1944130,4824
404,1962815,4858
405,1901652,4695
406,1955017,4815
407,1980702,4866
408,1976228,4843
409,2000883,4892
410,1955066,4768
411,1904790,4634
412,1957411,4750
413,1941582,4701
414,1941896,4690
415,1927371,4644
416,1996302,4798
417,2067519,4958
418,1996114,4775
419,1935585,4619
420,1964083,4676
421,2035191,4834
422,2012253,4768
423,2020177,4775
424,1951068,4601
425,1983814,4667
426,1965843,4614
427,1963713,4598
428,1959370,4577
429,2062377,4807
430,2015204,4686
431,1985827,4607
432,2014189,4662
433,1983500,4580
434,1993905,4594
435,2064217,4745
436,2012245,4615
437,1992063,4558
438,1993510,4551
439,1990124,4533
440,1972323,4482
441,2019435,4579
442,1976786,4472
443,2010919,4539
444,1974558,4447
445,2045430,4596
446,2003489,4492
447,2076120,4644
448,1971877,4401
449,2040466,4544
450,1999982,4444
451,1976451,4382
452,2063009,4564
453,1993577,4400
454,1937675,4268
455,2050618,4506
456,1999026,4383
457,1998801,4373
458,1948117,4253
459,2027933,4418
460,2028232,4409
461,1939545,4207
462,2043069,4422
463,2007469,4335
