KB,Read Time (ns),Read Time / Number (ns)
1,4812,4812
2,7177,3588
3,10500,3500
4,12404,3101
5,16872,3374
6,19516,3252
7,21326,3046
8,23722,2965
9,27809,3089
10,29920,2992
11,33386,3035
12,35863,2988
13,40604,3123
14,41758,2982
15,45113,3007
16,47668,2979
17,52365,3080
18,54729,3040
19,56731,2985
20,60062,3003
21,63284,3013
22,67742,3079
23,67453,2932
24,71318,2971
25,76326,3053
26,76230,2931
27,80241,2971
28,83289,2974
29,87274,3009
30,90341,3011
31,92922,2997
32,95040,2970
33,97991,2969
34,101357,2981
35,104602,2988
36,106527,2959
37,110756,2993
38,112768,2967
39,114952,2947
40,131018,3275
41,125560,3062
42,124310,2959
43,127670,2969
44,129126,2934
45,134840,2996
46,137923,2998
47,138976,2956
48,150693,3139
49,148883,3038
50,152080,3041
51,163082,3197
52,155797,2996
53,160430,3026
54,162483,3008
55,203221,3694
56,170313,3041
57,169006,2965
58,171834,2962
59,173469,2940
60,179518,2991
61,182240,2987
62,186546,3008
63,186490,2960
64,190524,2976
65,193939,2983
66,193658,2934
67,198474,2962
68,214229,3150
69,203506,2949
70,218145,3116
71,211684,2981
72,212402,2950
73,222667,3050
74,233190,3151
75,217676,2902
76,226979,2986
77,314855,4089
78,230493,2955
79,242862,3074
80,262238,3277
81,253558,3130
82,243119,2964
83,248304,2991
84,245192,2918
85,255923,3010
86,260986,3034
87,257154,2955
88,260768,2963
89,260442,2926
90,269499,2994
91,277438,3048
92,276517,3005
93,285077,3065
94,279984,2978
95,284515,2994
96,285754,2976
97,286071,2949
98,291566,2975
99,324105,3273
100,310188,3101
101,307320,3042
102,303000,2970
103,309850,3008
104,308070,2962
105,323318,3079
106,314741,2969
107,319750,2988
108,356296,3299
109,321695,2951
110,341439,3103
111,334025,3009
112,346412,3092
113,340168,3010
114,338607,2970
115,341832,2972
116,372226,3208
117,364124,3112
118,351440,2978
119,356811,2998
120,362897,3024
121,354765,2931
122,363435,2978
123,369707,3005
124,380709,3070
125,379776,3038
126,380161,3017
127,377902,2975
128,390805,3053
129,383915,2976
130,391699,3013
131,397688,3035
132,409047,3098
133,404584,3041
134,404452,3018
135,398295,2950
136,412522,3033
137,406817,2969
138,408860,2962
139,418270,3009
140,437120,3122
141,430719,3054
142,422916,2978
143,429283,3001
144,423569,2941
145,433588,2990
146,435160,2980
147,453691,3086
148,438186,2960
149,451438,3029
150,446872,2979
151,457232,3028
152,591015,3888
153,452264,2955
154,460719,2991
155,469837,3031
156,455572,2920
157,477074,3038
158,460719,2915
159,481355,3027
160,480733,3004
161,488102,3031
162,497669,3072
163,487485,2990
164,515937,3145
165,496132,3006
166,499778,3010
167,501526,3003
168,499141,2971
169,498118,2947
170,513736,3021
171,505396,2955
172,511483,2973
173,516939,2988
174,517209,2972
175,535274,3058
176,528587,3003
177,533105,3011
178,544018,3056
179,547837,3060
180,528104,2933
181,545405,3013
182,529853,2911
183,540794,2955
184,542000,2945
185,559305,3023
186,550766,2961
187,565635,3024
188,560813,2983
189,561521,2971
190,579725,3051
191,563639,2950
192,562894,2931
193,575760,2983
194,577093,2974
195,595975,3056
196,585498,2987
197,572328,2905
