MB,Read Time (ns),Read Time / Number (ns)
1,2997632,2997632
2,6835100,3417550
3,9244596,3081532
4,12180023,3045005
5,15356665,3071333
6,18363856,3060642
7,21378256,3054036
8,24836743,3104592
9,27562070,3062452
10,31166118,3116611
11,33856444,3077858
12,36521279,3043439
13,39878624,3067586
14,43034553,3073896
15,45832160,3055477
16,48761532,3047595
17,52098900,3064641
18,54852875,3047381
19,57932929,3049101
20,61625676,3081283
21,64300247,3061916
22,66898542,3040842
23,70418628,3061679
24,73609025,3067042
25,76695339,3067813
26,80023251,3077817
27,83477260,3091750
28,85587468,3056695
29,88317453,3045429
30,92110941,3070364
31,94639696,3052893
32,98139665,3066864
33,102063610,3092836
34,104448173,3072005
35,108291621,3094046
36,110512307,3069786
37,113889621,3078097
38,116138964,3056288
39,119234846,3057303
40,122886966,3072174
41,125596066,3063318
42,129265801,3077757
43,131604702,3060574
44,139123330,3161893
45,137825693,3062793
46,142230534,3091968
47,145240814,3090230
48,146903327,3060485
49,151030746,3082260
50,152155263,3043105
51,156244209,3063611
52,158883543,3055452
53,161206150,3041625
54,165697290,3068468
55,169070330,3074006
56,171551488,3063419
57,175244630,3074467
58,177444300,3059384
59,182420423,3091871
60,184849253,3080820
61,191418468,3138007
62,190256311,3068650
63,193350906,3069062
64,197376863,3084013
65,201867766,3105657
66,202146874,3062831
67,207073722,3090652
68,207894067,3057265
69,210770965,3054651
70,215580626,3079723
71,218159111,3072663
72,222037224,3083850
73,224937342,3081333
74,227570847,3075281
75,229885912,3065145
76,232764194,3062686
77,235113584,3053423
78,238913242,3062990
79,241416401,3055903
80,244890395,3061129
81,250200096,3088890
82,251188810,3063278
83,255207612,3074790
84,257685451,3067683
85,262052094,3082965
86,264609950,3076859
87,266063130,3058196
88,274049523,3114199
89,273267452,3070420
90,276460893,3071787
91,280822520,3085961
92,282018352,3065416
93,284387469,3057929
94,289336846,3078051
95,291183152,3065085
96,295588343,3079045
97,298524578,3077572
98,300097130,3062215
99,303622093,3066889
100,305552923,3055529
101,313226580,3101253
102,314335052,3081716
103,315065532,3058888
104,317838272,3056137
105,324014645,3085853
106,324319692,3059619
107,325656669,3043520
108,331377294,3068308
109,334681625,3070473
110,337135109,3064864
111,339705481,3060409
112,346912339,3097431
113,350332966,3100291
114,349453454,3065381
115,350992442,3052108
116,352896086,3042207
117,359260921,3070606
118,361782219,3065951
119,365143129,3068429
120,367320081,3061000
121,370637633,3063120
122,373132422,3058462
123,377509928,3069186
124,379731938,3062354
125,382481323,3059850
126,386191736,3065013
127,393448719,3098021
128,391270608,3056801
