MB,Read Time (ns),Read Time / Number (ns)
1,3041620,3041620
2,6714077,3357038
3,9501652,3167217
4,12294486,3073621
5,15384230,3076846
6,18527522,3087920
7,21503121,3071874
8,24536869,3067108
9,27378614,3042068
10,30678700,3067870
11,33889161,3080832
12,36887633,3073969
13,40138361,3087566
14,43724899,3123207
15,45710555,3047370
16,49061386,3066336
17,51813563,3047856
18,55375518,3076417
19,58327532,3069870
20,61246500,3062325
21,65177976,3103713
22,67284094,3058367
23,70805567,3078502
24,73720811,3071700
25,76431403,3057256
26,79679112,3064581
27,82486658,3055061
28,85914047,3068358
29,88651941,3056963
30,92358779,3078625
31,94967547,3063469
32,97723258,3053851
33,101878569,3087229
34,104463065,3072443
35,106932950,3055227
36,110615577,3072654
37,113771704,3074910
38,117747596,3098620
39,119093627,3053682
40,121871944,3046798
41,126421379,3083448
42,128851896,3067902
43,131792553,3064943
44,134661563,3060490
45,142495547,3166567
46,146347196,3181460
47,144108056,3066128
48,148802380,3100049
49,149412442,3049233
50,153121256,3062425
51,161038837,3157624
52,159520540,3067702
53,162432603,3064766
54,168101257,3112986
55,167687417,3048862
56,171374672,3060262
57,175750620,3083344
58,177395030,3058535
59,180278017,3055559
60,184939043,3082317
61,186270922,3053621
62,190085361,3065892
63,193193260,3066559
64,196051233,3063300
65,199352999,3066969
66,203524403,3083703
67,205786355,3071438
68,207199533,3047051
69,211676614,3067777
70,217845537,3112079
71,217868208,3068566
72,220786002,3066472
73,223052002,3055506
74,229853527,3106128
75,229163458,3055512
76,238740822,3141326
77,236032154,3065352
78,239451548,3069891
79,241898753,3062009
80,244903650,3061295
81,246867587,3047747
82,250565022,3055671
83,253623395,3055703
84,257318995,3063321
85,261089397,3071639
86,263034816,3058544
87,267141508,3070592
88,268737452,3053834
89,271704619,3052860
90,277201845,3080020
91,278291822,3058151
92,281415905,3058868
93,285884695,3074028
94,287677797,3060402
95,297290335,3129371
96,293440655,3056673
97,296628661,3058027
98,301229948,3073774
99,303629746,3066967
100,306401363,3064013
101,309042110,3059822
102,312276231,3061531
103,314639213,3054749
104,319902563,3075986
105,320270636,3050196
106,323656079,3053359
107,328074480,3066116
108,335580038,3107222
109,333427716,3058969
110,337073755,3064306
111,340656473,3068977
112,341759553,3051424
113,346504977,3066415
114,355214007,3115912
115,351707028,3058321
116,353089360,3043873
117,359724815,3074571
118,361708293,3065324
119,365069414,3067810
120,366958330,3057986
121,369268568,3051806
122,374203365,3067240
123,381214661,3099306
124,380983674,3072448
125,382632034,3061056
126,385883498,3062567
127,388352042,3057890
128,395280923,3088132
