MB,Read Time (ns),Read Time / Number (ns)
1,3022934,3022934
2,6997207,3498603
3,9540885,3180295
4,12370524,3092631
5,15412195,3082439
6,18305187,3050864
7,21492729,3070389
8,24540370,3067546
9,27582098,3064677
10,30607085,3060708
11,33903946,3082176
12,37541208,3128434
13,39998726,3076825
14,42914830,3065345
15,45791114,3052740
16,49534629,3095914
17,52284002,3075529
18,55219837,3067768
19,58498716,3078879
20,61494745,3074737
21,64701592,3081028
22,67222220,3055555
23,70398631,3060810
24,74055628,3085651
25,76908714,3076348
26,79588482,3061095
27,83320696,3085951
28,85491597,3053271
29,89033815,3070131
30,91883434,3062781
31,95127128,3068617
32,97534039,3047938
33,102013010,3091303
34,103580843,3046495
35,107425015,3069286
36,111062363,3085065
37,113779594,3075124
38,115734927,3045655
39,119109792,3054097
40,122661695,3066542
41,126077954,3075072
42,128902335,3069103
43,132350365,3077915
44,135607795,3081995
45,138858262,3085739
46,140536726,3055146
47,143607786,3055484
48,147629592,3075616
49,150880153,3079186
50,153759620,3075192
51,157081632,3080032
52,158742014,3052731
53,163014708,3075749
54,165860270,3071486
55,168184667,3057903
56,172238619,3075689
57,175475175,3078511
58,177569943,3061550
59,180589186,3060833
60,184275445,3071257
61,186587306,3058808
62,190437898,3071579
63,196821984,3124158
64,196115734,3064308
65,200536791,3085181
66,206373845,3126876
67,205415338,3065900
68,208211854,3061939
69,211755531,3068920
70,214570504,3065292
71,219197727,3087291
72,224329868,3115692
73,224090058,3069726
74,226583192,3061935
75,228287094,3043827
76,233688022,3074842
77,235399852,3057140
78,240122418,3078492
79,242840515,3073930
80,244759728,3059496
81,248617943,3069357
82,251314875,3064815
83,254206987,3062734
84,257651736,3067282
85,259575112,3053824
86,263422493,3063052
87,271754758,3123617
88,270240475,3070914
89,274246839,3081425
90,275405582,3060062
91,279649955,3073076
92,281639108,3061294
93,289653363,3114552
94,288098526,3064877
95,291831534,3071910
96,295551611,3078662
97,297032594,3062191
98,305459410,3116932
99,304126234,3071982
100,311059627,3110596
101,309635711,3065700
102,312625687,3064957
103,314850411,3056800
104,320164964,3078509
105,324656955,3091971
106,324813606,3064279
107,333194808,3113970
108,330362303,3058910
109,332550470,3050921
110,336393341,3058121
111,341467357,3076282
112,346170883,3090811
113,345006857,3053158
114,349701259,3067554
115,359297416,3124325
116,356746759,3075403
117,362197200,3095702
118,361368478,3062444
119,364964032,3066924
120,365486228,3045718
121,374633304,3096143
122,373490231,3061395
123,381091982,3098308
124,380448635,3068134
125,408123926,3264991
126,404705147,3211945
127,393396319,3097608
128,402246957,3142554
