KB,Read Time (ns),Read Time / Number (ns)
391,1169400,2990
392,1155734,2948
393,1234463,3141
394,1196643,3037
395,1182862,2994
396,1158586,2925
397,1171251,2950
398,1158752,2911
399,1211742,3036
400,1249023,3122
401,1215973,3032
402,1185804,2949
403,1197869,2972
404,1259208,3116
405,1242377,3067
406,1202116,2960
407,1199721,2947
408,1240855,3041
409,1255603,3069
410,1217313,2969
411,1251218,3044
412,1234975,2997
413,1224582,2965
414,1267472,3061
415,1236691,2979
416,1220088,2932
417,1259462,3020
418,1249211,2988
419,1242586,2965
420,1293712,3080
421,1247136,2962
422,1243165,2945
423,1260218,2979
424,1267854,2990
425,1317778,3100
426,1295786,3041
427,1267036,2967
428,1273717,2975
429,1333245,3107
430,1278454,2973
431,1254254,2910
432,1321848,3059
433,1291511,2982
434,1266719,2918
435,1317568,3028
436,1290929,2960
437,1306575,2989
438,1334267,3046
439,1315009,2995
440,1299928,2954
441,1310304,2971
442,1311822,2967
443,1326901,2995
444,1347884,3035
445,1315064,2955
446,1347884,3022
447,1318186,2948
448,1315424,2936
449,1317756,2934
450,1401771,3115
451,1319567,2925
452,1325250,2931
453,1367115,3017
454,1355697,2986
455,1351044,2969
456,1391280,3051
457,1358967,2973
458,1355405,2959
459,1366734,2977
460,1342023,2917
461,1382265,2998
462,1397931,3025
463,1364575,2947
464,1360246,2931
465,1430608,3076
466,1364069,2927
467,1365632,2924
468,1436452,3069
469,1395073,2974
470,1404825,2988
471,1380111,2930
472,1391928,2949
473,1389615,2937
474,1431315,3019
475,1407826,2963
476,1414313,2971
477,1414649,2965
478,1407736,2945
479,1406402,2936
480,1446266,3013
481,1415720,2943
482,1407919,2920
483,1416430,2932
484,1417467,2928
485,1415347,2918
486,1490951,3067
487,1444105,2965
488,1424617,2919
489,1461553,2988
490,1433355,2925
491,1471806,2997
492,1488636,3025
493,1448310,2937
494,1456015,2947
495,1451064,2931
496,1467112,2957
497,1459446,2936
498,1480202,2972
499,1474283,2954
500,1499106,2998
501,1529475,3052
502,1485854,2959
503,1471560,2925
504,1467358,2911
505,1486057,2942
506,1514812,2993
507,1494873,2948
508,1479200,2911
509,1478123,2903
510,1570098,3078
511,1505146,2945
512,1516653,2962
513,1521381,2965
514,1525872,2968
515,1557423,3024
516,1525120,2955
517,1531399,2962
518,1537067,2967
519,1553321,2992
520,1513114,2909
521,1539124,2954
522,1558849,2986
523,1537349,2939
524,1545259,2948
525,1565611,2982
526,1555067,2956
527,1574203,2987
528,1592644,3016
529,1599375,3023
530,1562322,2947
531,1566983,2951
532,1588573,2986
533,1573506,2952
534,1620927,3035
535,1569915,2934
536,1600988,2986
537,1612456,3002
538,1596238,2966
539,1623633,3012
540,1592917,2949
541,1610581,2977
542,1599923,2951
543,1638356,3017
544,1620029,2977
545,1650538,3028
546,1666681,3052
547,1614866,2952
548,1602020,2923
549,1633935,2976
550,1633405,2969
551,1604282,2911
552,1630782,2954
553,1631049,2949
554,1684601,3040
555,1648659,2970
556,1661917,2989
557,1624589,2916
558,1637467,2934
559,1643881,2940
560,1699600,3035
561,1661493,2961
562,1649319,2934
563,1680252,2984
564,1697139,3009
565,1667847,2951
566,1714173,3028
567,1673923,2952
568,1688138,2972
569,1655594,2909
570,1654314,2902
571,1678173,2939
572,1707421,2985
573,1697895,2963
574,1686533,2938
575,1727675,3004
576,1713013,2973
577,1692343,2933
578,1756700,3039
579,1727056,2982
580,1712165,2952
581,1741659,2997
582,1729341,2971
583,1705136,2924
584,1759174,3012
585,1723311,2945
586,1729822,2951
587,1734036,2954
588,1730991,2943
589,1745083,2962
590,1726077,2925
591,1740022,2944
592,1749300,2954
593,1771104,2986
594,1775714,2989
595,1751549,2943
596,1768168,2966
597,1774045,2971
598,1762856,2947
599,1757017,2933
600,1790894,2984
601,1774817,2953
602,1757624,2919
603,1802867,2989
604,1796098,2973
605,1786318,2952
606,1775535,2929
607,1786371,2942
608,1824305,3000
609,1814385,2979
610,1769240,2900
611,1824002,2985
612,1789815,2924
613,1809577,2952
614,1817724,2960
615,1820959,2960
616,1831692,2973
617,1809288,2932
618,1818063,2941
619,1828863,2954
620,1839467,2966
621,1843916,2969
622,1828652,2939
623,1862319,2989
624,1887305,3024
625,1841504,2946
626,1877540,2999
627,1836164,2928
628,1860323,2962
629,1920897,3053
630,1885329,2992
631,1864887,2955
632,1885964,2984
633,1881425,2972
634,1910730,3013
635,1868067,2941
636,1865776,2933
637,1941527,3047
638,1883863,2952
639,1864700,2918
640,1905692,2977
641,1915259,2987
642,1922227,2994
643,1878722,2921
644,1927822,2993
645,1914846,2968
646,1931673,2990
647,1901551,2939
648,1914793,2954
649,1920257,2958
650,1921355,2955
651,1899614,2917
652,1920333,2945
653,1918183,2937
654,1961148,2998
655,1920075,2931
656,1946723,2967
657,1976750,3008
658,1937616,2944
659,1954457,2965
660,1925762,2917
661,1935020,2927
662,1946162,2939
663,1973397,2976
664,1936241,2916
665,1985729,2986
666,1974035,2964
667,1955358,2931
668,1983786,2969
669,1989387,2973
670,1962705,2929
671,2009999,2995
672,1991774,2963
673,1993183,2961
674,2021309,2998
675,1985538,2941
676,1993900,2949
677,2026714,2993
678,2004418,2956
679,1979457,2915
680,2017487,2966
681,2015434,2959
682,2065808,3029
683,2026575,2967
684,2001646,2926
685,2200129,3211
686,2087970,3043
687,2014238,2931
688,2063513,2999
689,2047655,2971
690,2052562,2974
691,2047276,2962
692,2054608,2969
693,2063139,2977
694,2032719,2928
695,2068990,2976
696,2017343,2898
697,2045284,2934
698,2062106,2954
699,2051226,2934
700,2110588,3015
701,2085495,2975
702,2072321,2952
703,2092911,2977
704,2126068,3019
705,2080268,2950
706,2105456,2982
707,2068471,2925
708,2094742,2958
709,2124781,2996
710,2117827,2982
711,2138562,3007
712,2115052,2970
713,2133486,2992
714,2077547,2909
715,2134923,2985
716,2126118,2969
717,2106946,2938
718,2149811,2994
719,2154720,2996
720,2133959,2963
721,2156669,2991
722,2184440,3025
723,2112219,2921
724,2142476,2959
725,2178088,3004
726,2176345,2997
727,2185097,3005
728,2162013,2969
729,2169080,2975
730,2155854,2953
731,2197819,3006
732,2144193,2929
733,2240548,3056
734,2217388,3020
735,2198498,2991
736,2201117,2990
737,2199663,2984
738,2158996,2925
739,2219831,3003
740,2186074,2954
741,2200772,2970
742,2200045,2965
743,2177360,2930
744,2261024,3039
745,2184420,2932
746,2224090,2981
747,2227297,2981
748,2209092,2953
749,2245931,2998
750,2193948,2925
751,2211039,2944
752,2301207,3060
753,2220594,2948
754,2205683,2925
755,2226845,2949
756,2225400,2943
757,2258070,2982
758,2222469,2932
759,2333285,3074
760,2302928,3030
761,2240125,2943
762,2269809,2978
763,2241804,2938
764,2271984,2973
765,2256325,2949
766,2288540,2987
767,2275276,2966
768,2303070,2998
769,2303181,2995
770,2247184,2918
771,2333375,3026
772,2287103,2962
773,2260574,2924
774,2283122,2949
775,2299905,2967
776,2300113,2964
777,2297975,2957
778,2441060,3137
779,2369671,3041
780,2293459,2940
781,2387520,3057
782,2325740,2974
783,2309444,2949
784,2403675,3065
785,2330135,2968
786,2315868,2946
787,2324085,2953
788,2346303,2977
789,2342027,2968
790,2343617,2966
791,2335693,2952
792,2323882,2934
793,2345991,2958
794,2343131,2951
795,2343683,2948
796,2400646,3015
797,2349911,2948
798,2390359,2995
799,2363749,2958
800,2377742,2972
801,2359130,2945
802,2356775,2938
803,2370327,2951
804,2378880,2958
805,2397611,2978
806,2400392,2978
807,2361846,2926
808,2359531,2920
809,2396419,2962
810,2398391,2960
811,2407401,2968
812,2386188,2938
813,2536434,3119
814,2442461,3000
815,2417693,2966
816,2458240,3012
817,2444467,2992
818,2400299,2934
819,2446711,2987
820,2418123,2948
821,2470722,3009
822,3149353,3831
823,2450618,2977
824,2466534,2993
825,2439580,2957
826,2436546,2949
827,2543114,3075
828,2461061,2972
829,2496594,3011
830,2504544,3017
831,2469421,2971
832,2445477,2939
833,2478353,2975
834,2484369,2978
835,2466264,2953
836,2488276,2976
837,2472786,2954
838,2490187,2971
839,2541249,3028
840,2464190,2933
841,2484244,2953
842,2496479,2964
843,2491733,2955
844,2526146,2993
845,2517123,2978
846,2536214,2997
847,2532240,2989
848,2539369,2994
849,2557535,3012
850,2510107,2953
851,2525186,2967
852,2524147,2962
853,2531393,2967
854,2552656,2989
855,2499355,2923
856,2557285,2987
857,2538183,2961
858,2538867,2959
859,2569795,2991
860,2549208,2964
861,2544879,2955
862,2539799,2946
863,2570344,2978
864,2562729,2966
865,2551268,2949
866,2622704,3028
867,2556884,2949
868,2646278,3048
869,2575360,2963
870,2578355,2963
871,2592388,2976
872,2588076,2967
873,2571314,2945
874,2574235,2945
875,2566568,2933
876,2580976,2946
877,2681130,3057
878,2598318,2959
879,2607968,2966
880,2668019,3031
881,2588417,2938
882,2567172,2910
883,2688924,3045
884,2657078,3005
885,2620480,2960
886,2622431,2959
887,2609235,2941
888,2657093,2992
889,2680229,3014
890,2651500,2979
891,2628817,2950
892,2739376,3071
893,2628343,2943
894,2672278,2989
895,2723918,3043
896,2717207,3032
897,2634939,2937
898,2672197,2975
899,2667490,2967
900,2676176,2973
901,2655849,2947
902,2718745,3014
903,2641009,2924
904,2780324,3075
905,2690049,2972
906,2719908,3002
907,2677177,2951
908,2666771,2936
909,2731795,3005
910,2730110,3000
911,2690303,2953
912,2700286,2960
913,2768682,3032
914,2730372,2987
915,2794614,3054
916,2722191,2971
917,2728562,2975
918,2701710,2943
919,2714289,2953
920,2781609,3023
921,2733705,2968
922,2765264,2999
923,2709832,2935
924,2812632,3043
925,2762187,2986
926,2752072,2972
927,2783197,3002
928,2788848,3005
929,2777280,2989
930,2786746,2996
931,2733563,2936
932,2772266,2974
933,2761401,2959
934,2842253,3043
935,2760171,2952
936,2814896,3007
937,2801558,2989
938,2972715,3169
939,2781802,2962
940,2787277,2965
941,2801330,2976
942,2829394,3003
943,2786462,2954
944,2940457,3114
945,2762752,2923
946,2854745,3017
947,2856608,3016
948,2819218,2973
949,2842946,2995
950,2826088,2974
951,2802035,2946
952,2834508,2977
953,2896380,3039
954,2922806,3063
955,2803653,2935
956,2956078,3092
957,2861471,2990
958,2892433,3019
959,2873111,2995
960,2874567,2994
961,2845642,2961
962,2900148,3014
963,2825328,2933
964,2899100,3007
965,2886250,2990
966,2893421,2995
967,2863885,2961
968,2917287,3013
969,2869300,2961
970,2912917,3003
971,2890025,2976
972,2886472,2969
973,2870836,2950
974,2926960,3005
975,2953456,3029
976,2946091,3018
977,2895891,2964
978,3009704,3077
979,2898441,2960
980,2935684,2995
981,2880474,2936
982,2938552,2992
983,2955007,3006
984,2928834,2976
985,2922138,2966
986,2953741,2995
987,2935626,2974
988,2987138,3023
989,2956256,2989
990,2957194,2987
991,2969694,2996
992,2943832,2967
993,2936811,2957
994,3032840,3051
995,2960080,2974
996,2979472,2991
997,2949306,2958
998,2930427,2936
999,3185717,3188
1000,3010615,3010
1001,3456987,3453
1002,3044927,3038
1003,2975504,2966
1004,3001986,2990
1005,3030488,3015
1006,3042895,3024
1007,2990538,2969
1008,3042232,3018
1009,3016226,2989
1010,3022094,2992
1011,3039151,3006
1012,2998945,2963
1013,3041072,3002
1014,3035688,2993
1015,2991608,2947
1016,3081914,3033
1017,3017893,2967
1018,3075357,3020
1019,3033296,2976
1020,3092474,3031
1021,3069482,3006
1022,3063731,2997
1023,3013627,2945
1024,3065883,2994
1025,3029604,2955
1026,3030977,2954
1027,3045986,2965
1028,3084849,3000
1029,3032468,2947
1030,3094641,3004
1031,3048125,2956
1032,3112289,3015
1033,3078258,2979
1034,3123960,3021
1035,3087067,2982
1036,3096435,2988
1037,3085619,2975
1038,3072319,2959
1039,3111799,2994
1040,3104239,2984
1041,3059231,2938
1042,3105170,2980
1043,3064359,2938
1044,3134393,3002
1045,3101241,2967
1046,3088380,2952
1047,3098856,2959
1048,3119479,2976
1049,3121363,2975
1050,3168137,3017
1051,3138646,2986
1052,3151049,2995
1053,3155530,2996
1054,3167822,3005
1055,3109392,2947
1056,3199401,3029
1057,3167607,2996
1058,3215726,3039
1059,3155959,2980
1060,3248546,3064
1061,3170873,2988
1062,3163247,2978
1063,3141886,2955
1064,3210512,3017
1065,3207401,3011
1066,3149490,2954
1067,3235742,3032
1068,3162650,2961
1069,3194083,2987
1070,3242406,3030
1071,3165636,2955
1072,3173541,2960
1073,3160873,2945
1074,3202532,2981
1075,3178778,2957
1076,3229903,3001
1077,3222525,2992
1078,3211638,2979
1079,3267156,3027
1080,3225953,2986
1081,3247153,3003
1082,3272821,3024
1083,3201091,2955
1084,3261265,3008
