MB,Read Time (ns),Read Time / Number (ns)
1,3009633,3009633
2,6626275,3313137
3,9195241,3065080
4,12932195,3233048
5,15354173,3070834
6,18312764,3052127
7,21378669,3054095
8,24572482,3071560
9,27653427,3072603
10,31144979,3114497
11,33598453,3054404
12,36730959,3060913
13,39566461,3043573
14,42621614,3044401
15,46382372,3092158
16,48805668,3050354
17,51935928,3055054
18,54872449,3048469
19,58238197,3065168
20,61564474,3078223
21,64419039,3067573
22,67654422,3075201
23,70771619,3077026
24,73473770,3061407
25,76491994,3059679
26,79598083,3061464
27,82953345,3072346
28,86033743,3072633
29,89766107,3095383
30,92831072,3094369
31,95233037,3072033
32,97923594,3060112
33,101159689,3065445
34,104532002,3074470
35,107460200,3070291
36,110132413,3059233
37,113426588,3065583
38,117558424,3093642
39,124162585,3183656
40,123520363,3088009
41,126267932,3079705
42,129083891,3073425
43,131512516,3058430
44,134779663,3063174
45,138374117,3074980
46,141879437,3084335
47,143909093,3061895
48,147750988,3078145
49,151336921,3088508
50,153477459,3069549
51,155837990,3055646
52,159841154,3073868
53,163306157,3081248
54,165984093,3073779
55,168694609,3067174
56,170379203,3042485
57,173636559,3046255
58,177676532,3063388
59,181230352,3071700
60,184866538,3081108
61,188562079,3091181
62,190170847,3067271
63,193991297,3079226
64,196094535,3063977
65,199372746,3067273
66,202747875,3071937
67,205289119,3064016
68,209351853,3078703
69,211470656,3064792
70,215242262,3074889
71,216442655,3048488
72,226491682,3145717
73,223995437,3068430
74,227127477,3069290
75,228873770,3051650
76,233305583,3069810
77,240702030,3126000
78,239956114,3076360
79,241718607,3059729
80,245456773,3068209
81,249350300,3078398
82,252983546,3085165
83,255184928,3074517
84,256118797,3049033
85,260450597,3064124
86,264118883,3071149
87,266978698,3068720
88,269868584,3066688
89,272883570,3066107
90,276705093,3074501
91,280187548,3078984
92,282248630,3067919
93,285940637,3074630
94,287751832,3061189
95,291399370,3067361
96,294341915,3066061
97,296652484,3058273
98,301941000,3081030
99,303951694,3070219
100,305942948,3059429
101,308797058,3057396
102,311739677,3056271
103,315566010,3063747
104,316591207,3044146
105,322433120,3070791
106,322919886,3046414
107,335388306,3134470
108,328735171,3043844
109,340008633,3119345
110,335842642,3053114
111,340521637,3067762
112,343891461,3070459
113,346591532,3067181
114,349917275,3069449
115,350735118,3049870
116,355759944,3066896
117,359997385,3076900
118,360519458,3055249
119,366495885,3079797
120,366114788,3050956
121,369627678,3054774
122,380517213,3118993
123,375772397,3055060
124,378353690,3051239
125,386844822,3094758
126,386980222,3071271
127,389079249,3063616
128,391313394,3057135
