KB,Read Time (ns),Read Time / Number (ns)
1,4713,4713
2,7039,3519
3,9808,3269
4,43670,10917
5,16828,3365
6,19331,3221
7,21474,3067
8,23256,2907
9,27738,3082
10,31144,3114
11,32789,2980
12,36298,3024
13,39420,3032
14,41319,2951
15,44523,2968
16,54634,3414
17,88111,5183
18,54605,3033
19,57045,3002
20,59827,2991
21,63296,3014
22,64521,2932
23,67532,2936
24,72938,3039
25,75501,3020
26,77200,2969
27,78787,2918
28,82978,2963
29,85693,2954
30,89972,2999
31,91838,2962
32,103385,3230
33,97574,2956
34,100438,2954
35,103055,2944
36,103833,2884
37,109550,2960
38,119164,3135
39,115744,2967
40,117973,2949
41,121987,2975
42,122783,2923
43,134831,3135
44,131505,2988
45,135405,3009
46,136327,2963
47,168628,3587
48,147293,3068
49,143278,2924
50,149076,2981
51,161420,3165
52,151128,2906
53,157871,2978
54,171033,3167
55,161201,2930
56,163048,2911
57,169127,2967
58,170727,2943
59,175916,2981
60,206864,3447
61,183661,3010
62,184924,2982
63,185083,2937
64,193555,3024
65,205258,3157
66,196818,2982
67,201912,3013
68,202960,2984
69,202250,2931
70,206302,2947
71,208417,2935
72,208218,2891
73,222081,3042
74,221417,2992
75,220690,2942
76,223499,2940
77,230109,2988
78,231643,2969
79,242160,3065
80,238771,2984
81,242192,2990
82,244035,2976
83,246730,2972
84,250327,2980
85,248579,2924
86,257799,2997
87,255401,2935
88,265010,3011
89,264539,2972
90,262236,2913
91,277854,3053
92,268088,2914
93,283978,3053
94,278024,2957
95,278677,2933
96,287201,2991
97,298982,3082
98,292838,2988
99,303010,3060
100,291601,2916
101,302930,2999
102,305207,2992
103,334850,3250
104,337920,3249
105,315460,3004
106,313446,2957
107,318398,2975
108,317519,2939
109,320136,2937
110,340264,3093
111,324119,2919
112,330052,2946
113,331208,2931
114,340375,2985
115,336612,2927
116,375066,3233
117,350956,2999
118,350871,2973
119,381239,3203
120,356928,2974
121,357827,2957
122,360537,2955
123,362826,2949
124,364113,2936
125,370829,2966
126,383502,3043
127,380722,2997
128,378862,2959
129,381189,2954
130,382491,2942
131,388063,2962
132,398615,3019
133,396094,2978
134,399673,2982
135,408556,3026
136,407113,2993
137,402756,2939
138,407227,2950
139,416449,2996
140,415705,2969
141,423024,3000
142,417295,2938
143,418820,2928
144,451506,3135
145,435025,3000
146,430263,2947
147,429843,2924
148,447265,3022
149,452608,3037
150,472051,3147
151,457839,3032
152,456153,3001
153,462114,3020
154,461875,2999
155,470461,3035
156,465373,2983
157,471041,3000
158,473096,2994
159,482759,3036
160,480729,3004
161,472286,2933
162,473810,2924
163,485935,2981
164,485035,2957
165,493533,2991
166,489361,2947
167,495478,2966
168,499002,2970
169,512833,3034
170,514615,3027
171,519631,3038
172,521248,3030
173,502505,2904
174,521291,2995
175,527965,3016
176,519061,2949
177,533056,3011
178,530149,2978
179,520031,2905
180,548182,3045
181,561166,3100
182,537087,2951
183,533358,2914
184,548359,2980
185,535795,2896
186,562509,3024
187,545772,2918
188,556047,2957
189,565319,2991
190,571189,3006
191,583810,3056
192,562016,2927
193,569174,2949
194,586148,3021
195,583153,2990
196,581352,2966
197,585110,2970
198,573751,2897
199,606022,3045
200,601133,3005
201,600695,2988
202,585927,2900
203,605584,2983
204,605835,2969
205,607258,2962
206,616712,2993
207,607642,2935
208,602075,2894
209,620108,2967
210,627535,2988
211,622101,2948
212,646475,3049
213,630224,2958
214,637874,2980
215,644301,2996
216,625332,2895
217,676995,3119
218,635418,2914
219,683004,3118
220,664480,3020
221,643361,2911
222,687856,3098
223,664838,2981
224,661247,2951
225,686441,3050
226,671552,2971
227,682749,3007
228,676121,2965
229,682927,2982
230,690345,3001
231,737443,3192
232,690999,2978
233,697232,2992
234,691900,2956
235,705393,3001
236,692052,2932
237,697184,2941
238,726047,3050
239,711493,2976
240,725258,3021
241,734434,3047
242,727894,3007
243,732231,3013
244,734497,3010
245,734325,2997
246,732663,2978
247,724773,2934
248,738171,2976
249,739173,2968
250,750983,3003
251,762609,3038
252,750694,2978
253,750687,2967
254,755988,2976
255,754463,2958
256,761205,2973
257,770971,2999
258,760175,2946
259,778184,3004
260,760949,2926
261,778716,2983
262,780193,2977
263,785246,2985
264,779436,2952
265,799461,3016
266,801806,3014
267,781988,2928
268,782319,2919
269,792120,2944
270,795688,2946
271,819087,3022
272,810439,2979
273,805997,2952
274,828499,3023
275,811465,2950
276,814517,2951
277,815461,2943
278,862388,3102
279,823393,2951
280,854473,3051
281,836536,2976
282,832459,2951
283,830575,2934
284,841342,2962
285,854935,2999
286,858015,3000
287,889158,3098
288,846168,2938
289,848162,2934
290,856431,2953
291,868322,2983
292,854989,2928
293,857420,2926
294,878357,2987
295,877389,2974
296,867342,2930
297,920085,3097
298,882486,2961
299,929497,3108
300,907959,3026
301,897750,2982
302,894642,2962
303,895157,2954
304,908225,2987
305,908479,2978
306,947476,3096
307,906078,2951
308,928212,3013
309,951547,3079
310,948339,3059
311,926566,2979
312,932411,2988
313,950173,3035
314,933794,2973
315,962071,3054
316,982777,3110
317,940768,2967
318,1010391,3177
319,974585,3055
320,947413,2960
321,965842,3008
322,965881,2999
323,961022,2975
324,1007755,3110
325,1016125,3126
326,960745,2947
327,1020379,3120
328,962114,2933
329,973357,2958
330,967097,2930
331,965275,2916
332,969415,2919
333,1030320,3094
334,995990,2982
335,993710,2966
336,1044349,3108
337,1010785,2999
338,1004576,2972
339,1001889,2955
340,1005309,2956
341,1021555,2995
342,1076486,3147
343,1022555,2981
344,1012112,2942
345,1115796,3234
346,1029462,2975
347,1045243,3012
348,1125725,3234
349,1037302,2972
350,1035195,2957
351,1118445,3186
352,1065910,3028
353,1050233,2975
354,1083342,3060
355,1056909,2977
356,1059980,2977
357,1060662,2971
358,1095169,3059
359,1082896,3016
360,1157225,3214
361,1082846,2999
362,1080482,2984
363,1148412,3163
364,1073462,2949
365,1111836,3046
366,1095781,2993
367,1136450,3096
368,1102388,2995
369,1121366,3038
370,1103415,2982
371,1096893,2956
372,1146562,3082
373,1131482,3033
374,1110690,2969
375,1141579,3044
376,1107157,2944
377,1126555,2988
378,1181642,3126
379,1122286,2961
380,1115592,2935
381,1155684,3033
382,1126293,2948
383,1160936,3031
384,1166970,3038
385,1160937,3015
386,1134191,2938
387,1167628,3017
388,1157095,2982
389,1159093,2979
390,1215757,3117
391,1176362,3008
392,1181289,3013
393,1198604,3049
394,1197428,3039
395,1175128,2975
396,1216764,3072
397,1149111,2894
398,1216651,3056
399,1234254,3093
400,1184993,2962
401,1176566,2934
402,1229112,3057
403,1192993,2960
404,1204210,2980
405,1240654,3063
406,1230961,3031
407,1218749,2994
408,1283514,3145
409,1251450,3059
410,1223459,2984
411,1272358,3095
412,1296191,3146
413,1240033,3002
414,1246150,3010
415,1244782,2999
416,1238460,2977
417,1243058,2980
418,1244015,2976
419,1238199,2955
420,1292410,3077
421,1291361,3067
422,1270435,3010
423,1294250,3059
424,1268996,2992
425,1251629,2945
426,1276253,2995
427,1243896,2913
428,1267202,2960
429,1357318,3163
430,1258293,2926
431,1269995,2946
432,1272555,2945
433,1278657,2953
434,1290655,2973
435,1342462,3086
436,1293771,2967
437,1314284,3007
438,1350638,3083
439,1301874,2965
440,1301042,2956
441,1312913,2977
442,1306294,2955
443,1321974,2984
444,1366065,3076
445,1354862,3044
446,1341982,3008
447,1325887,2966
448,1337231,2984
449,1334545,2972
450,1372242,3049
451,1348303,2989
452,1324228,2929
453,1474676,3255
454,1393125,3068
455,1370362,3011
456,1429722,3135
457,1365374,2987
458,1381757,3016
459,1353038,2947
460,1368607,2975
461,1352885,2934
462,1414360,3061
463,1366809,2952
464,1375754,2964
465,1377767,2962
466,1382322,2966
467,1390578,2977
468,1463207,3126
469,1395734,2975
470,1397322,2973
471,1393375,2958
472,1386457,2937
473,1437886,3039
474,1413676,2982
475,1417483,2984
476,1408704,2959
477,1950250,4088
478,1424511,2980
479,1428109,2981
480,1488598,3101
481,1440125,2994
482,1410269,2925
483,1435096,2971
484,1485429,3069
485,1440021,2969
486,1518228,3123
487,1463953,3006
488,1466555,3005
489,1465420,2996
490,1451157,2961
491,1447319,2947
492,1471612,2991
493,1469181,2980
494,1489481,3015
495,1484538,2999
496,1472671,2969
497,1460838,2939
498,1473283,2958
499,1500031,3006
500,1494105,2988
501,1471809,2937
502,1487320,2962
503,1499294,2980
504,1524145,3024
505,1510826,2991
506,1511051,2986
507,1523413,3004
508,1522124,2996
509,1520982,2988
510,1512492,2965
511,1495504,2926
512,1582683,3091
513,1538415,2998
514,1555468,3026
515,1551956,3013
516,1529758,2964
517,1526692,2952
518,1547982,2988
519,1558518,3002
520,1537605,2956
521,1524796,2926
522,1543947,2957
523,1539758,2944
524,1540954,2940
525,1565563,2982
526,1554821,2955
527,1581563,3001
528,1576850,2986
529,1555681,2940
530,1599641,3018
531,1558260,2934
532,1584583,2978
533,1600505,3002
534,1575680,2950
535,1575237,2944
536,1603754,2992
537,1618603,3014
538,1573913,2925
539,1608171,2983
540,1622533,3004
541,1599137,2955
542,1655238,3053
543,1611151,2967
544,1596258,2934
545,1603733,2942
546,1649404,3020
547,1605621,2935
548,1657765,3025
549,1635349,2978
550,1642489,2986
551,1632942,2963
552,1621098,2936
553,1644178,2973
554,1661740,2999
555,1649748,2972
556,1639824,2949
557,1702309,3056
558,1691861,3032
559,1654816,2960
560,1686052,3010
561,1662408,2963
562,1663569,2960
563,1662755,2953
564,1669947,2960
565,1665720,2948
566,1662211,2936
567,1664779,2936
568,1677724,2953
569,1667688,2930
570,1700538,2983
571,1695711,2969
572,1713229,2995
573,1705518,2976
574,1708292,2976
575,1710555,2974
576,1718052,2982
577,1719685,2980
578,1702678,2945
579,1698539,2933
580,1724309,2972
581,1707507,2938
582,1707727,2934
583,1750555,3002
584,1752561,3000
585,1766239,3019
586,1723158,2940
587,1759657,2997
588,1761009,2994
589,1817299,3085
590,1730516,2933
591,1762078,2981
592,1761586,2975
593,1771737,2987
594,1746619,2940
595,1766622,2969
596,1780974,2988
597,1776412,2975
598,1810226,3027
599,1772560,2959
600,1774700,2957
601,1784659,2969
602,1816868,3018
603,1786303,2962
604,1765347,2922
605,1809599,2991
606,1786445,2947
607,1797336,2961
608,1801367,2962
609,1795567,2948
610,1833009,3004
611,1844411,3018
612,1788118,2921
613,1815737,2962
614,1821803,2967
615,1835609,2984
616,1817130,2949
617,1818375,2947
618,1817234,2940
619,1849377,2987
620,1840205,2968
621,1845863,2972
622,1846875,2969
623,1855844,2978
624,1862080,2984
625,1854129,2966
626,1856487,2965
627,1916460,3056
628,2081802,3314
629,1937092,3079
630,2056197,3263
631,1867702,2959
632,1870507,2959
633,1863924,2944
634,1891520,2983
635,1910623,3008
636,1911536,3005
637,1895798,2976
638,1900294,2978
639,1922258,3008
640,1911355,2986
641,1881484,2935
642,1920029,2990
643,1929499,3000
644,1901274,2952
645,1903663,2951
646,1918421,2969
647,1918677,2965
648,1897592,2928
649,1952601,3008
650,1927484,2965
651,1941977,2983
652,1939808,2975
653,1969761,3016
654,1987171,3038
655,1963300,2997
656,1957977,2984
657,1940464,2953
658,1928961,2931
659,1950869,2960
660,1967848,2981
661,1985291,3003
662,1977620,2987
663,1990558,3002
664,1969976,2966
665,1982788,2981
666,2028351,3045
667,1969567,2952
668,1963883,2939
669,1989897,2974
670,1984629,2962
