KB,Read Time (ns),Read Time / Number (ns)
1,5306,5306
2,7111,3555
3,9984,3328
4,12010,3002
5,16363,3272
6,20243,3373
7,21194,3027
8,24189,3023
9,28450,3161
10,29915,2991
11,33779,3070
12,35355,2946
13,40412,3108
14,42563,3040
15,44273,2951
16,47265,2954
17,52112,3065
18,55161,3064
19,55124,2901
20,59480,2974
21,63217,3010
22,65392,2972
23,68712,2987
24,71814,2992
25,75151,3006
26,78782,3030
27,81280,3010
28,84306,3010
29,85247,2939
30,91403,3046
31,91018,2936
32,95587,2987
33,99971,3029
34,101220,2977
35,103843,2966
36,105168,2921
37,111829,3022
38,114881,3023
39,113826,2918
40,119460,2986
41,123639,3015
42,124000,2952
43,127003,2953
44,132035,3000
45,167895,3731
46,135117,2937
47,139348,2964
48,140457,2926
49,171149,3492
50,149693,2993
51,150800,2956
52,152550,2933
53,160470,3027
54,162988,3018
55,163557,2973
56,166964,2981
57,184242,3232
58,170578,2941
59,178251,3021
60,176898,2948
61,179965,2950
62,184869,2981
63,188218,2987
64,189591,2962
65,190875,2936
66,194067,2940
67,200582,2993
68,202244,2974
69,207467,3006
70,208188,2974
71,208658,2938
72,215095,2987
73,223362,3059
74,217747,2942
75,227115,3028
76,226143,2975
77,224911,2920
78,232179,2976
79,230436,2916
80,235579,2944
81,237763,2935
82,259777,3168
83,240608,2898
84,251389,2992
85,252125,2966
86,256278,2979
87,259367,2981
88,259302,2946
89,262042,2944
90,271288,3014
91,269068,2956
92,266583,2897
93,269198,2894
94,275697,2932
95,280934,2957
96,278378,2899
97,296828,3060
98,291987,2979
99,299306,3023
100,323640,3236
101,299720,2967
102,298439,2925
103,300666,2919
104,350545,3370
105,335347,3193
106,322126,3038
107,314945,2943
108,354878,3285
109,331232,3038
110,322478,2931
111,331787,2989
112,329348,2940
113,333900,2954
114,337102,2957
115,335971,2921
116,347912,2999
117,348428,2978
118,347278,2943
119,346337,2910
120,355042,2958
121,353294,2919
122,359430,2946
123,368500,2995
124,370426,2987
125,372766,2982
126,369457,2932
127,373901,2944
128,381249,2978
129,387189,3001
130,391560,3012
131,382968,2923
