KB,Read Time (ns),Read Time / Number (ns)
1,4923,4923
2,7406,3703
3,10029,3343
4,12626,3156
5,16442,3288
6,20126,3354
7,21514,3073
8,23967,2995
9,28050,3116
10,30395,3039
11,33125,3011
12,45139,3761
13,39010,3000
14,52787,3770
15,44549,2969
16,48023,3001
17,52078,3063
18,54778,3043
19,55827,2938
20,59890,2994
21,61824,2944
22,65577,2980
23,67244,2923
24,72143,3005
25,73945,2957
26,79212,3046
27,80568,2984
28,81778,2920
29,86388,2978
30,87394,2913
31,97694,3151
32,95278,2977
33,102812,3115
34,100906,2967
35,104896,2997
36,110607,3072
37,108787,2940
38,114441,3011
39,114956,2947
40,118175,2954
41,120559,2940
42,127696,3040
43,128058,2978
44,128969,2931
45,134238,2983
46,142483,3097
47,149112,3172
48,139148,2898
49,159855,3262
50,151127,3022
51,148352,2908
52,151612,2915
53,155822,2940
54,161315,2987
55,160255,2913
56,164999,2946
57,168238,2951
58,172930,2981
59,178712,3029
60,175598,2926
61,182024,2984
62,194317,3134
63,184912,2935
64,189638,2963
65,195320,3004
66,193777,2936
67,197162,2942
68,200288,2945
69,214862,3113
70,205924,2941
71,208504,2936
72,211775,2941
73,205577,2816
74,218003,2945
75,216601,2888
76,222043,2921
77,226627,2943
78,232722,2983
79,237389,3004
80,231041,2888
81,289480,3573
82,242633,2958
83,242840,2925
84,248106,2953
85,250495,2947
86,258491,3005
87,262464,3016
88,259134,2944
89,265296,2980
90,267601,2973
91,353618,3885
92,267966,2912
93,280793,3019
94,279362,2971
95,280169,2949
96,277579,2891
97,285389,2942
98,284301,2901
99,292576,2955
100,291253,2912
101,301316,2983
102,314495,3083
103,304577,2957
104,315218,3030
105,311596,2967
106,319230,3011
107,314881,2942
108,315314,2919
109,322609,2959
110,320986,2918
111,338026,3045
112,328710,2934
113,330337,2923
114,343161,3010
115,348198,3027
116,337661,2910
117,341247,2916
118,347258,2942
119,349006,2932
120,357470,2978
121,354741,2931
122,355859,2916
123,365308,2969
124,366566,2956
125,369827,2958
126,372970,2960
127,370144,2914
128,381362,2979
129,379162,2939
130,389617,2997
131,378495,2889
132,383340,2904
133,390813,2938
134,395336,2950
135,395211,2927
136,397156,2920
137,400078,2920
138,406156,2943
139,411152,2957
140,401813,2870
141,418030,2964
142,416097,2930
143,416473,2912
144,423863,2943
145,431153,2973
146,426214,2919
147,432411,2941
148,432430,2921
149,439161,2947
150,438253,2921
151,437178,2895
152,447677,2945
153,453542,2964
154,452243,2936
155,453044,2922
156,451663,2895
157,459185,2924
158,468492,2965
159,472226,2969
160,494280,3089
161,481601,2991
162,477251,2945
163,479642,2942
164,475702,2900
165,489376,2965
166,482028,2903
167,501398,3002
168,498484,2967
169,497364,2942
170,490749,2886
171,500789,2928
172,519743,3021
173,517158,2989
174,510626,2934
175,529185,3023
176,524364,2979
177,532584,3008
178,519384,2917
179,523098,2922
180,536782,2982
181,531444,2936
182,530846,2916
183,531262,2903
184,537279,2919
185,546861,2956
186,539113,2898
187,550927,2946
188,557052,2963
189,569220,3011
190,545178,2869
191,568960,2978
192,571227,2975
193,575063,2979
194,576798,2973
195,576510,2956
196,570111,2908
197,629553,3195
198,595023,3005
199,584211,2935
200,591591,2957
201,591615,2943
202,599802,2969
203,592018,2916
204,612675,3003
205,603960,2946
206,606104,2942
207,613044,2961
208,627326,3015
209,645892,3090
210,621050,2957
211,620700,2941
212,610934,2881
213,627316,2945
214,630625,2946
215,638147,2968
216,656932,3041
217,649656,2993
218,634535,2910
219,657791,3003
220,646386,2938
221,672277,3041
222,649160,2924
223,653786,2931
224,659705,2945
225,670948,2981
226,667884,2955
227,673967,2969
228,673689,2954
229,671492,2932
230,662366,2879
231,677900,2934
232,682262,2940
233,687737,2951
234,710037,3034
235,709302,3018
236,681258,2886
237,699800,2952
238,701276,2946
239,705673,2952
240,1386286,5776
241,713449,2960
242,710391,2935
243,720974,2966
244,713579,2924
245,724857,2958
246,716552,2912
247,734053,2971
248,725815,2926
249,733872,2947
250,720565,2882
251,839136,3343
252,744433,2954
253,740694,2927
254,744247,2930
255,752724,2951
256,755107,2949
257,760971,2960
258,754748,2925
259,745748,2879
260,751128,2888
261,762682,2922
262,775533,2960
263,786347,2989
264,771192,2921
265,778756,2938
266,822121,3090
267,795558,2979
268,785465,2930
269,790222,2937
270,803238,2974
271,802782,2962
272,807464,2968
273,817723,2995
274,804784,2937
275,841866,3061
276,812298,2943
277,828717,2991
278,834603,3002
279,815530,2923
280,817397,2919
281,845254,3008
282,814708,2889
283,841773,2974
284,832469,2931
285,848625,2977
286,860167,3007
287,863808,3009
288,836716,2905
289,862757,2985
290,841967,2903
291,856101,2941
292,881007,3017
293,872125,2976
294,874875,2975
295,883717,2995
296,876891,2962
297,893569,3008
298,874118,2933
299,877674,2935
300,879996,2933
301,880176,2924
302,890763,2949
303,878531,2899
304,931002,3062
305,910493,2985
306,909989,2973
307,904238,2945
308,909954,2954
309,899394,2910
310,914690,2950
311,905612,2911
312,918890,2945
313,915234,2924
314,914191,2911
315,917552,2912
316,949110,3003
317,946361,2985
318,937189,2947
319,968058,3034
320,959713,2999
321,945966,2946
322,969825,3011
323,939755,2909
324,970589,2995
325,967481,2976
326,971274,2979
327,1004355,3071
328,963057,2936
329,966862,2938
330,989269,2997
331,967257,2922
332,977401,2943
333,989134,2970
334,1080120,3233
335,986674,2945
336,995731,2963
337,1006570,2986
338,996158,2947
339,1010098,2979
340,1069700,3146
341,1012834,2970
342,1019631,2981
343,1079503,3147
344,1022095,2971
345,1016514,2946
346,1054871,3048
347,1025595,2955
348,1017764,2924
349,1062574,3044
350,1066733,3047
351,1025802,2922
352,1073188,3048
353,1022666,2897
354,1028499,2905
355,1032532,2908
356,1054133,2961
357,1049698,2940
358,1060621,2962
359,1054967,2938
360,1048590,2912
361,1044603,2893
362,1081154,2986
363,1111915,3063
364,1097813,3015
365,1086179,2975
366,1066773,2914
367,1164812,3173
368,1072975,2915
369,1069682,2898
370,1152318,3114
371,1093106,2946
372,1133524,3047
373,1121457,3006
374,1117734,2988
375,1137016,3032
376,1093904,2909
377,1107068,2936
378,1110631,2938
379,1202119,3171
380,1108351,2916
381,1122345,2945
382,1178625,3085
383,1143202,2984
384,1170058,3047
385,1135165,2948
386,1145306,2967
387,1149446,2970
388,1247606,3215
389,1132941,2912
390,1147608,2942
391,1229539,3144
392,1215425,3100
393,1178533,2998
394,1238915,3144
395,1174117,2972
396,1174559,2966
397,1189161,2995
398,1157278,2907
399,1162557,2913
400,1208090,3020
401,1178048,2937
402,1184514,2946
403,1229660,3051
404,1189893,2945
405,1245867,3076
406,1269934,3127
407,1241691,3050
408,1206987,2958
409,1279983,3129
410,1225668,2989
411,1218875,2965
412,1229212,2983
413,1223946,2963
414,1226513,2962
415,1259284,3034
416,1227214,2950
417,1233351,2957
418,1228704,2939
419,1232299,2941
420,1226222,2919
421,1302663,3094
422,1237999,2933
423,1253983,2964
424,1301375,3069
425,1260926,2966
426,1255718,2947
427,1259709,2950
428,1280434,2991
429,1250448,2914
430,1305546,3036
431,1285416,2982
432,1288916,2983
433,1284874,2967
434,1285679,2962
435,1293674,2973
436,1321827,3031
437,1293598,2960
438,1277953,2917
439,1326475,3021
440,1340892,3047
441,1335637,3028
442,1347799,3049
443,1314841,2968
444,1316618,2965
445,1352498,3039
446,1305532,2927
447,1327025,2968
448,1322375,2951
449,1340381,2985
450,1331864,2959
451,1328441,2945
452,1347489,2981
453,1347741,2975
454,1368513,3014
455,1339882,2944
456,1359623,2981
457,1417511,3101
458,1371640,2994
459,1344269,2928
460,1339109,2911
461,1384544,3003
462,1364592,2953
463,1405232,3035
464,1364213,2940
465,1359878,2924
466,1410829,3027
467,1425880,3053
468,1374783,2937
469,1406458,2998
470,1393341,2964
471,1389554,2950
472,1414703,2997
473,1402362,2964
474,1390745,2934
475,1422820,2995
476,1406791,2955
477,1388830,2911
478,1483500,3103
479,1427902,2981
480,1424838,2968
481,1449906,3014
482,1468891,3047
483,1422190,2944
484,1428971,2952
485,1437947,2964
486,1442334,2967
487,1464464,3007
488,1441777,2954
489,1458978,2983
490,1520863,3103
491,1464563,2982
492,1479895,3007
493,1446349,2933
494,1451536,2938
495,1461240,2952
496,1444210,2911
497,1514662,3047
498,1503521,3019
499,1477998,2961
500,1491512,2983
501,1509891,3013
502,1515920,3019
503,1493998,2970
504,1503916,2983
505,1498498,2967
506,1505625,2975
507,1515604,2989
508,1528763,3009
509,1509522,2965
510,1522632,2985
511,1515270,2965
512,1558832,3044
513,1551525,3024
514,1506397,2930
515,1514249,2940
516,1558166,3019
517,1534864,2968
518,1530702,2955
519,1529727,2947
520,1519088,2921
521,1520288,2918
522,1526308,2923
523,1538870,2942
524,1556182,2969
525,1546381,2945
526,1548825,2944
527,1606764,3048
528,1580885,2994
529,1564430,2957
530,1558885,2941
531,1559602,2937
532,1613149,3032
533,1583490,2970
534,1581686,2961
535,1579085,2951
536,1571245,2931
537,1626094,3028
538,1591817,2958
539,1595119,2959
540,1574461,2915
541,1618005,2990
542,1604103,2959
543,1604465,2954
544,1614736,2968
545,1603545,2942
546,1678836,3074
547,1627555,2975
548,1630063,2974
549,1655217,3014
550,1635401,2973
551,1622196,2944
552,1647051,2983
553,1644809,2974
554,1662597,3001
555,1670500,3009
556,1648412,2964
557,1670847,2999
558,1677284,3005
559,1658471,2966
560,1674920,2990
561,1722857,3071
562,1671278,2973
563,1670787,2967
564,1683332,2984
565,1671126,2957
566,1688425,2983
567,1673500,2951
568,1691032,2977
569,1717090,3017
570,1718474,3014
571,1672402,2928
572,1685666,2946
573,1718134,2998
574,1691019,2946
575,1694781,2947
576,1696285,2944
577,1708755,2961
578,1684632,2914
579,1726495,2981
580,1714752,2956
581,1709689,2942
582,1758028,3020
583,1744703,2992
584,1749434,2995
585,1726129,2950
586,1747993,2982
587,1759303,2997
588,1766042,3003
589,1730393,2937
590,1772090,3003
591,1770825,2996
592,1759155,2971
593,1739127,2932
594,1758842,2961
595,1757953,2954
596,1738039,2916
597,1740817,2915
598,1760187,2943
599,1761540,2940
600,1761075,2935
601,1760311,2928
602,1843661,3062
603,1778808,2949
604,1789544,2962
605,1789869,2958
606,1888792,3116
607,1820040,2998
608,1814206,2983
609,1804008,2962
610,1821393,2985
611,1798891,2944
612,1826900,2985
613,1826831,2980
614,1819619,2963
615,1792821,2915
616,1805754,2931
617,1830141,2966
618,1849328,2992
619,1840363,2973
620,1828810,2949
621,1856059,2988
622,1855210,2982
623,1835654,2946
624,1820360,2917
625,1836782,2938
626,1850247,2955
627,1871634,2985
628,1853931,2952
629,1850672,2942
630,1894756,3007
631,1846198,2925
632,1854621,2934
633,1940167,3065
634,1869457,2948
635,1856172,2923
636,1891192,2973
637,1872729,2939
638,1908096,2990
639,1902587,2977
640,1908451,2981
641,1897420,2960
642,1923116,2995
643,1968367,3061
644,1922961,2985
645,1930614,2993
646,1922306,2975
647,1920535,2968
648,1918269,2960
649,1909171,2941
650,1926512,2963
651,1942996,2984
652,1959765,3005
653,1912924,2929
654,1933369,2956
655,1943634,2967
656,1945638,2965
657,1937615,2949
658,1943498,2953
659,1953117,2963
660,1956761,2964
661,1964098,2971
662,1966375,2970
663,1939028,2924
664,1977343,2977
665,1965732,2955
666,1958677,2940
667,1984170,2974
668,1948043,2916
669,1963277,2934
670,1981619,2957
671,1936338,2885
672,2026317,3015
673,2001766,2974
674,2000611,2968
675,2039407,3021
676,1993091,2948
677,2021892,2986
678,2020386,2979
679,2053250,3023
680,2005396,2949
681,1998178,2934
682,2033887,2982
683,2016096,2951
684,2050528,2997
685,2022032,2951
686,2060495,3003
687,2044424,2975
688,2049956,2979
689,2029914,2946
