MB,Read Time (ns),Read Time / Number (ns)
1,2271,2271
2,3798,1899
3,5577,1859
4,8609,2152
5,19745,3949
6,10895,1815
7,13371,1910
8,15242,1905
9,17912,1990
10,19035,1903
11,22224,2020
12,24413,2034
13,26920,2070
14,29682,2120
15,38888,2592
16,33561,2097
17,36213,2130
18,39489,2193
19,51428,2706
20,62565,3128
21,44694,2128
22,47259,2148
23,51580,2242
24,50724,2113
25,54969,2198
26,55428,2131
27,66806,2474
28,70350,2512
29,62924,2169
30,76726,2557
31,70010,2258
32,76707,2397
33,70893,2148
34,82878,2437
35,77033,2200
36,79167,2199
37,92750,2506
38,85284,2244
39,94333,2418
40,124591,3114
41,98410,2400
42,107988,2571
43,94137,2189
44,105408,2395
45,90706,2015
46,104322,2267
47,100373,2135
48,104723,2181
49,120266,2454
50,122337,2446
51,119515,2343
52,114800,2207
53,129846,2449
54,127055,2352
55,133889,2434
56,136353,2434
57,142113,2493
58,127820,2203
59,154155,2612
60,156635,2610
61,159597,2616
62,162707,2624
63,154960,2459
64,141974,2218
65,156463,2407
66,160375,2429
67,158379,2363
68,171427,2520
69,159178,2306
70,160246,2289
71,163322,2300
72,165301,2295
73,171875,2354
74,176926,2390
75,177187,2362
76,188687,2482
77,179589,2332
78,191936,2460
79,195427,2473
80,205216,2565
81,194109,2396
82,191391,2334
83,199263,2400
84,205900,2451
85,206214,2426
86,205597,2390
87,200138,2300
88,223079,2534
89,223299,2508
90,209574,2328
91,221364,2432
92,213871,2324
93,216641,2329
94,223561,2378
95,224342,2361
96,224528,2338
97,224779,2317
98,250358,2554
99,222205,2244
100,254228,2542
101,238302,2359
102,232363,2278
103,246591,2394
104,244446,2350
105,255734,2435
106,245141,2312
107,240544,2248
108,255890,2369
109,257360,2361
110,287580,2614
111,273263,2461
112,261466,2334
113,268752,2378
114,311861,2735
115,286130,2488
116,274702,2368
117,276366,2362
118,285155,2416
119,282724,2375
120,291992,2433
121,295428,2441
122,302939,2483
123,287140,2334
124,322542,2601
125,320906,2567
126,312829,2482
127,309270,2435
128,307901,2405
129,310295,2405
130,300190,2309
131,306665,2340
132,307577,2330
133,308364,2318
134,317369,2368
135,308715,2286
136,326325,2399
137,319649,2333
138,333315,2415
139,328669,2364
140,328745,2348
141,342330,2427
142,330386,2326
143,326092,2280
144,339063,2354
145,357232,2463
146,342088,2343
147,352368,2397
148,336734,2275
149,343970,2308
150,350598,2337
151,361679,2395
152,370585,2438
153,356755,2331
154,375627,2439
155,363545,2345
156,385536,2471
157,371731,2367
158,392498,2484
159,393679,2475
160,383648,2397
161,397733,2470
162,398418,2459
163,407106,2497
164,404394,2465
165,414928,2514
166,404679,2437
167,427908,2562
168,397452,2365
169,421988,2496
170,409065,2406
171,411141,2404
172,423329,2461
173,422219,2440
174,435293,2501
175,425456,2431
176,423459,2406
177,424427,2397
178,432993,2432
179,446979,2497
180,435023,2416
181,446818,2468
182,433609,2382
183,427622,2336
184,446514,2426
185,463205,2503
186,444705,2390
187,470727,2517
188,509067,2707
189,457689,2421
190,456829,2404
191,464162,2430
192,459211,2391
193,476288,2467
194,462299,2382
195,465643,2387
196,481198,2455
197,479677,2434
198,488381,2466
199,488277,2453
200,492413,2462
201,490277,2439
202,490294,2427
203,508252,2503
204,501776,2459
205,499907,2438
206,495990,2407
207,507185,2450
208,490977,2360
209,506236,2422
210,524319,2496
211,507042,2403
212,518588,2446
213,513131,2409
214,517744,2419
215,528848,2459
216,524046,2426
217,535961,2469
218,523913,2403
219,529401,2417
220,524698,2384
221,535845,2424
222,534715,2408
223,556555,2495
224,557194,2487
225,548308,2436
226,558302,2470
227,541570,2385
228,556756,2441
229,570862,2492
230,540641,2350
231,569050,2463
232,560740,2416
233,576886,2475
234,559102,2389
235,561887,2391
236,568675,2409
237,570109,2405
238,575010,2416
239,565100,2364
240,570371,2376
241,588607,2442
242,575061,2376
243,606298,2495
244,595837,2441
245,599466,2446
246,593592,2412
247,595856,2412
248,593261,2392
249,598970,2405
250,629390,2517
251,617358,2459
252,634718,2518
253,611897,2418
254,617364,2430
255,627402,2460
256,627822,2452
257,688523,2679
258,626867,2429
259,616986,2382
260,686205,2639
261,643185,2464
262,626444,2391
263,616951,2345
264,637552,2414
265,659867,2490
266,682005,2563
267,653577,2447
268,631109,2354
269,730438,2715
270,624221,2311
271,655940,2420
272,649278,2387
273,643034,2355
274,677242,2471
275,661339,2404
276,640367,2320
277,700788,2529
278,733659,2639
279,659107,2362
280,680414,2430
281,691595,2461
282,669803,2375
283,681166,2406
284,737160,2595
285,679768,2385
286,699510,2445
287,737082,2568
288,697280,2421
289,700836,2425
290,830552,2863
291,692374,2379
292,707953,2424
293,744591,2541
294,746445,2538
295,719031,2437
296,739005,2496
297,720684,2426
298,731451,2454
299,780279,2609
300,721286,2404
301,716054,2378
302,735669,2435
303,721910,2382
304,723328,2379
305,808654,2651
306,726186,2373
307,747223,2433
308,783804,2544
309,723183,2340
310,759266,2449
311,811538,2609
312,731327,2343
313,747596,2388
314,803433,2558
315,759881,2412
316,744334,2355
317,844466,2663
318,751242,2362
319,779341,2443
320,857056,2678
321,803651,2503
322,764585,2374
323,814734,2522
324,777316,2399
325,786141,2418
326,852752,2615
327,792818,2424
328,805273,2455
329,844919,2568
330,812835,2463
331,810100,2447
332,1000876,3014
333,795684,2389
334,812528,2432
335,854938,2552
336,811105,2414
337,819111,2430
338,902571,2670
339,805348,2375
340,831143,2444
341,829618,2432
342,818795,2394
343,820818,2393
344,865151,2514
345,842972,2443
346,834482,2411
347,914136,2634
348,861719,2476
349,842752,2414
350,830502,2372
351,878127,2501
352,858737,2439
353,842154,2385
354,842073,2378
355,862393,2429
356,870388,2444
357,835269,2339
358,872002,2435
359,885364,2466
360,836921,2324
361,861397,2386
362,897455,2479
363,871491,2400
364,870934,2392
365,894605,2450
366,872419,2383
367,883213,2406
368,879995,2391
369,876100,2374
370,886927,2397
371,919038,2477
372,889171,2390
373,971443,2604
374,889840,2379
375,916995,2445
376,908171,2415
377,899154,2385
378,912917,2415
379,914227,2412
380,1092236,2874
381,914416,2400
382,990621,2593
383,930142,2428
384,912142,2375
385,914474,2375
386,920958,2385
387,945513,2443
388,947803,2442
389,937272,2409
390,937585,2404
391,925395,2366
392,934896,2384
393,946648,2408
394,948380,2407
395,936437,2370
396,926292,2339
397,947370,2386
398,971131,2440
399,956656,2397
400,937099,2342
401,1002473,2499
402,962935,2395
403,951621,2361
404,980831,2427
405,965423,2383
406,985559,2427
407,986091,2422
408,984432,2412
409,985230,2408
410,971006,2368
411,988134,2404
412,994758,2414
413,983156,2380
414,986747,2383
415,997503,2403
416,978507,2352
417,990718,2375
418,1016394,2431
419,1022577,2440
420,1012235,2410
421,1022158,2427
422,1003431,2377
423,1034749,2446
424,1033369,2437
425,1018454,2396
426,1041177,2444
427,1011060,2367
428,1023634,2391
429,1023525,2385
430,1040134,2418
431,1020832,2368
432,1066070,2467
433,1051222,2427
434,1028706,2370
435,1078759,2479
436,1080584,2478
437,1039193,2378
438,1060982,2422
439,1054074,2401
440,1051426,2389
