MB,Read Time (ns),Read Time / Number (ns)
1,2397,2397
2,4092,2046
3,8711,2903
4,11509,2877
5,21348,4269
6,12328,2054
7,13375,1910
8,16460,2057
9,17996,1999
10,19988,1998
11,22117,2010
12,24570,2047
13,27682,2129
14,37587,2684
15,30363,2024
16,66954,4184
17,35064,2062
18,39663,2203
19,40568,2135
20,47097,2354
21,54064,2574
22,46558,2116
23,49802,2165
24,54446,2268
25,62752,2510
26,60505,2327
27,60199,2229
28,63692,2274
29,63279,2182
30,65237,2174
31,80297,2590
32,69732,2179
33,73792,2236
34,84886,2496
35,89263,2550
36,91005,2527
37,85363,2307
38,85836,2258
39,87989,2256
40,100447,2511
41,90697,2212
42,96609,2300
43,94283,2192
44,99537,2262
45,97617,2169
46,112038,2435
47,105834,2251
48,114730,2390
49,116822,2384
50,112856,2257
51,125596,2462
52,126891,2440
53,128911,2432
54,128226,2374
55,133087,2419
56,140052,2500
57,140594,2466
58,135297,2332
59,147480,2499
60,147635,2460
61,140104,2296
62,149618,2413
63,147604,2342
64,155598,2431
65,155633,2394
66,158195,2396
67,161010,2403
68,181125,2663
69,167032,2420
70,176773,2525
71,165976,2337
72,171264,2378
73,171642,2351
74,171683,2320
75,184344,2457
76,184344,2425
77,188933,2453
78,185545,2378
79,186197,2356
80,196319,2453
81,188715,2329
82,218725,2667
83,205764,2479
84,197664,2353
85,192232,2261
86,205946,2394
87,211558,2431
88,213527,2426
89,206203,2316
90,212520,2361
91,224340,2465
92,211727,2301
93,216991,2333
94,347047,3691
95,230858,2430
96,232446,2421
97,230091,2372
98,228067,2327
99,233405,2357
100,232617,2326
101,237380,2350
102,244616,2398
103,239976,2329
104,246332,2368
105,255652,2434
106,250984,2367
107,266986,2495
108,253180,2344
109,255901,2347
110,262409,2385
111,256858,2314
112,274501,2450
113,265714,2351
114,272270,2388
115,276227,2401
116,283634,2445
117,287878,2460
118,282256,2392
119,278285,2338
120,312190,2601
121,327915,2710
122,287961,2360
123,291541,2370
124,307280,2478
125,300910,2407
126,320124,2540
127,299339,2357
128,320129,2501
129,300033,2325
130,314086,2416
131,306075,2336
132,309936,2348
133,304506,2289
134,322828,2409
135,342071,2533
136,320391,2355
137,369663,2698
138,333412,2416
139,333859,2401
140,336056,2400
141,334634,2373
142,326798,2301
143,338632,2368
144,342375,2377
145,357568,2465
146,350519,2400
147,356073,2422
148,343997,2324
149,355834,2388
150,351041,2340
151,365570,2420
152,355915,2341
153,347889,2273
154,357366,2320
155,371133,2394
156,364050,2333
157,373981,2382
158,384000,2430
159,392331,2467
160,382541,2390
161,400748,2489
162,413121,2550
163,386139,2368
164,392349,2392
165,405486,2457
166,392481,2364
167,408898,2448
168,400730,2385
169,403942,2390
170,403866,2375
171,435697,2547
172,428149,2489
173,422285,2440
174,407230,2340
175,424716,2426
176,441712,2509
177,449132,2537
178,430732,2419
179,439306,2454
180,476163,2645
181,439597,2428
182,442397,2430
183,476432,2603
184,442535,2405
185,494101,2670
186,446280,2399
187,461413,2467
188,450108,2394
189,467653,2474
190,453036,2384
191,457474,2395
192,469356,2444
193,488269,2529
194,467459,2409
195,502256,2575
196,479577,2446
197,486355,2468
198,477376,2410
199,476960,2396
200,489433,2447
201,482733,2401
202,488851,2420
203,508927,2507
204,493395,2418
205,502627,2451
206,496567,2410
207,504427,2436
208,500155,2404
209,510042,2440
210,512166,2438
211,528113,2502
212,502494,2370
213,504689,2369
214,518816,2424
215,520240,2419
216,525094,2430
217,544151,2507
218,533307,2446
219,544759,2487
220,521918,2372
221,526029,2380
222,534735,2408
223,543440,2436
224,549339,2452
225,550226,2445
226,546461,2417
227,568052,2502
228,534553,2344
229,552338,2411
230,551230,2396
231,568787,2462
232,555754,2395
233,568479,2439
234,572865,2448
235,575560,2449
236,570439,2417
237,648757,2737
238,608350,2556
239,589418,2466
240,603105,2512
241,587421,2437
242,600998,2483
243,616761,2538
244,629458,2579
245,616636,2516
246,687693,2795
247,768699,3112
248,600796,2422
249,714479,2869
250,614231,2456
251,596500,2376
252,576233,2286
253,597383,2361
254,586483,2308
255,610037,2392
256,592207,2313
257,609888,2373
258,596953,2313
259,621852,2400
260,675475,2597
261,619220,2372
262,613074,2339
263,620016,2357
264,639007,2420
265,625628,2360
266,656157,2466
267,625288,2341
268,653975,2440
269,619735,2303
270,623935,2310
271,650108,2398
272,634416,2332
273,654936,2399
274,666987,2434
275,641561,2332
276,671773,2433
277,628561,2269
278,652424,2346
279,663906,2379
280,646478,2308
281,667473,2375
282,648998,2301
283,689267,2435
284,677869,2386
285,658216,2309
286,654907,2289
287,659981,2299
288,664674,2307
289,677162,2343
290,677009,2334
291,678268,2330
292,697982,2390
293,701038,2392
294,690006,2346
295,712485,2415
296,713286,2409
297,703951,2370
298,715992,2402
299,704347,2355
300,700730,2335
301,744703,2474
302,760310,2517
303,721892,2382
304,707036,2325
305,719529,2359
306,727808,2378
307,720473,2346
308,708308,2299
309,748412,2422
310,709108,2287
311,739586,2378
312,719981,2307
313,743585,2375
314,741546,2361
315,717644,2278
316,738020,2335
317,796254,2511
318,739323,2324
319,747799,2344
320,757950,2368
321,729192,2271
322,759257,2357
323,769457,2382
324,737698,2276
325,743089,2286
326,776475,2381
327,797780,2439
328,770892,2350
329,834012,2534
330,773155,2342
331,778748,2352
332,808461,2435
333,785230,2358
334,762324,2282
335,835803,2494
336,766114,2280
337,787461,2336
338,837562,2477
339,767873,2265
340,804048,2364
341,926666,2717
342,1062602,3107
343,1077654,3141
344,897660,2609
345,903128,2617
346,812589,2348
347,813437,2344
348,961503,2762
349,829398,2376
350,831124,2374
351,861790,2455
352,834731,2371
353,827758,2344
354,901604,2546
355,847870,2388
356,852413,2394
357,863797,2419
358,842930,2354
359,1497668,4171
360,839402,2331
361,806004,2232
362,857038,2367
363,913788,2517
364,858585,2358
365,852971,2336
366,892154,2437
367,862636,2350
368,854629,2322
369,903810,2449
370,872587,2358
371,879143,2369
372,931152,2503
373,867826,2326
374,886493,2370
375,912491,2433
376,879051,2337
377,893852,2370
378,920605,2435
379,883960,2332
380,902604,2375
381,936215,2457
382,909931,2382
383,900914,2352
384,912761,2376
385,912300,2369
386,890234,2306
387,909744,2350
388,871643,2246
389,911621,2343
390,951275,2439
391,887800,2270
392,911377,2324
393,912109,2320
394,896159,2274
395,940225,2380
396,956687,2415
397,917142,2310
398,903937,2271
399,953773,2390
400,914906,2287
401,958375,2389
402,1018349,2533
403,932058,2312
404,954428,2362
405,964609,2381
406,1005564,2476
407,943445,2318
408,983649,2410
409,926445,2265
410,976375,2381
411,1017305,2475
412,959444,2328
413,966807,2340
414,987067,2384
415,984905,2373
416,973049,2339
417,1005812,2412
418,999832,2391
419,989277,2361
420,975436,2322
421,987562,2345
422,954885,2262
423,973704,2301
424,971286,2290
425,988076,2324
426,1021187,2397
427,1006694,2357
428,1014196,2369
429,1027970,2396
430,1003043,2332
431,1002412,2325
432,1024859,2372
433,992596,2292
434,1011620,2330
435,1028615,2364
436,1017948,2334
437,1042018,2384
438,1000432,2284
439,1038174,2364
440,1023879,2326
441,1049232,2379
442,1032606,2336
443,1056916,2385
444,1018921,2294
445,1034079,2323
446,1030119,2309
447,1064997,2382
448,1062138,2370
449,1044221,2325
450,1069050,2375
451,1040402,2306
452,1043772,2309
453,1037773,2290
454,1082685,2384
455,1063947,2338
456,1071209,2349
457,1057008,2312
458,1084893,2368
459,1080903,2354
460,1068376,2322
461,1087194,2358
462,1104347,2390
463,1081067,2334
464,1163966,2508
465,1161557,2497
466,1090317,2339
467,1104446,2364
468,1093815,2337
469,1087317,2318
470,1114684,2371
471,1077649,2288
472,1080962,2290
473,1109096,2344
474,1139073,2403
475,1295490,2727
476,1132776,2379
477,1152083,2415
478,1139051,2382
479,1151664,2404
480,1108102,2308
481,1114911,2317
482,1171363,2430
483,1142520,2365
484,1157780,2392
485,1153211,2377
486,1173934,2415
487,1135902,2332
488,1150693,2357
489,1158670,2369
490,1124737,2295
491,1153158,2348
492,1194452,2427
493,1126388,2284
494,1184069,2396
495,1143260,2309
496,1177769,2374
497,1197454,2409
498,1167786,2344
499,1161665,2327
500,1196056,2392
501,1194945,2385
502,1164105,2318
503,1205274,2396
504,1192725,2366
505,1203100,2382
506,1175138,2322
507,1182055,2331
508,1217575,2396
509,1192625,2343
510,1192432,2338
511,1217042,2381
512,1234059,2410
513,1211128,2360
514,1162509,2261
515,1181277,2293
516,1213141,2351
517,1224195,2367
518,1210295,2336
519,1217100,2345
520,1234539,2374
521,1246609,2392
522,1212344,2322
523,1209068,2311
524,1217898,2324
525,1231231,2345
526,1221392,2322
527,1227214,2328
528,1253149,2373
529,1229716,2324
530,1256406,2370
531,1270561,2392
532,1261441,2371
533,1268723,2380
534,1270469,2379
535,1271066,2375
536,1247213,2326
537,1301701,2424
538,1275476,2370
539,1262701,2342
540,1299655,2406
541,1252346,2314
542,1284605,2370
543,1281127,2359
544,1292730,2376
545,1275621,2340
546,1284598,2352
547,1263090,2309
548,1271796,2320
549,1284571,2339
550,1285949,2338
551,1337898,2428
552,1286027,2329
553,1291317,2335
554,1322270,2386
555,1308125,2356
556,1277899,2298
557,1286324,2309
558,1330361,2384
559,1300509,2326
560,1291215,2305
561,1356849,2418
562,1300809,2314
563,1322270,2348
564,1331635,2361
565,1299549,2300
566,1319018,2330
567,1327853,2341
568,1350447,2377
569,1349067,2370
570,1355236,2377
571,1359625,2381
572,1358515,2375
573,1337830,2334
574,1349573,2351
575,1351422,2350
576,1332533,2313
577,1346217,2333
578,1346340,2329
579,1375771,2376
580,1364951,2353
581,1414458,2434
582,1390108,2388
583,1446839,2481
584,1365857,2338
585,1343372,2296
586,1397101,2384
587,1354006,2306
588,1369347,2328
589,1407726,2390
590,1429217,2422
591,1356493,2295
592,1360435,2298
593,1416379,2388
594,1400519,2357
595,1373930,2309
596,1386230,2325
597,1396652,2339
598,1348120,2254
599,1386644,2314
600,1393926,2323
601,1406513,2340
602,1442446,2396
603,1435035,2379
604,1420204,2351
605,1390550,2298
606,1437973,2372
607,1407524,2318
608,1411327,2321
609,1408223,2312
610,1459358,2392
611,1410668,2308
612,1426468,2330
613,1427359,2328
614,1441412,2347
615,1458717,2371
616,1493680,2424
617,1477787,2395
618,1445385,2338
619,1481374,2393
620,1433040,2311
621,1452367,2338
622,1437585,2311
623,1492606,2395
624,1491101,2389
625,1483112,2372
626,1452029,2319
627,1451524,2315
628,1476452,2351
629,1496649,2379
630,1493190,2370
631,1472385,2333
632,1501063,2375
633,1530082,2417
634,1507259,2377
635,1501171,2364
636,1482991,2331
637,1480112,2323
638,1492883,2339
639,1565023,2449
640,1560050,2437
641,1483148,2313
642,1483895,2311
643,1575082,2449
644,1578187,2450
645,1514927,2348
646,1488509,2304
647,1499573,2317
648,1535342,2369
649,1532118,2360
650,1546637,2379
651,1565111,2404
652,1498398,2298
653,1514955,2319
654,1508330,2306
655,1534145,2342
656,1550166,2363
657,1535283,2336
658,1504108,2285
659,1599619,2427
660,1550959,2349
661,1530758,2315
662,1604882,2424
663,1581741,2385
664,1553633,2339
665,1546795,2326
666,1577713,2368
667,1581377,2370
668,1574183,2356
669,1567672,2343
670,1621168,2419
671,1589609,2369
672,1587299,2362
673,1565608,2326
674,1547581,2296
675,1561776,2313
676,1564835,2314
677,1578535,2331
678,2181312,3217
679,1604035,2362
680,1650014,2426
681,1615128,2371
682,1622339,2378
683,1617991,2368
684,1636805,2392
685,1621296,2366
686,1621486,2363
687,1639209,2386
688,1800882,2617
689,1630352,2366
690,1608259,2330
691,1652708,2391
692,1655921,2392
693,1632304,2355
694,1621655,2336
695,1641420,2361
696,1679760,2413
697,1652147,2370
698,1641435,2351
699,1632803,2335
700,1664104,2377
701,1676348,2391
702,1703384,2426
703,1665537,2369
704,1677287,2382
705,1670217,2369
706,1675258,2372
707,1668529,2360
708,1696190,2395
709,1666421,2350
710,1724315,2428
711,1782565,2507
712,1658953,2329
713,1669271,2341
714,1694575,2373
715,1648074,2304
716,1734335,2422
717,1688262,2354
718,1653833,2303
719,1673955,2328
720,1701451,2363
721,1681776,2332
722,1718101,2379
723,1706120,2359
724,1679245,2319
725,1728306,2383
726,1765179,2431
727,1692974,2328
728,1733344,2380
729,1696815,2327
730,1741473,2385
731,1747049,2389
732,1718361,2347
733,1748961,2386
734,1780850,2426
