KB,Read Time (ns),Read Time / Number (ns)
1,2950,2950
2,2399,1199
3,4371,1457
4,3408,852
5,4358,871
6,4182,697
7,4159,594
8,3929,491
9,5736,637
10,5986,598
11,5389,489
12,5667,472
13,7853,604
14,7683,548
15,7753,516
16,18044,1127
17,8526,501
18,8798,488
19,9323,490
20,8845,442
21,10193,485
22,10475,476
23,11251,489
24,10638,443
25,12417,496
26,12547,482
27,12215,452
28,11302,403
29,14255,491
30,13198,439
31,13659,440
32,13403,418
33,15342,464
34,15287,449
35,16050,458
36,15694,435
37,17992,486
38,16812,442
39,16616,426
40,16811,420
41,20378,497
42,19522,464
43,19552,454
44,27531,625
45,21179,470
46,20854,453
47,20590,438
48,21303,443
49,53583,1093
50,22349,446
51,24122,472
52,21415,411
53,23487,443
54,23233,430
55,24812,451
56,23081,412
57,27403,480
58,25554,440
59,25028,424
60,24071,401
61,27039,443
62,37640,607
63,26974,428
64,28937,452
65,31031,477
66,27129,411
67,30285,452
68,30317,445
69,28849,418
70,31618,451
71,32821,462
72,30796,427
73,30553,418
74,32402,437
75,31711,422
76,37532,493
77,34618,449
78,34457,441
79,35210,445
80,33208,415
81,35486,438
82,39228,478
83,45272,545
84,32900,391
85,38132,448
86,37321,433
87,38681,444
88,40094,455
89,39866,447
90,40403,448
91,38311,421
92,35782,388
93,39474,424
94,66189,704
95,40394,425
96,42948,447
97,43442,447
98,43393,442
99,46190,466
100,46145,461
101,56268,557
102,56567,554
103,45322,440
104,45073,433
105,48882,465
106,44329,418
107,56843,531
108,60244,557
109,50102,459
110,48484,440
111,46078,415
112,44943,401
113,58049,513
114,48418,424
115,58738,510
116,48929,421
117,54373,464
118,52586,445
119,49903,419
120,47580,396
121,53919,445
122,69631,570
123,52110,423
124,61699,497
125,53773,430
126,61237,486
127,62720,493
128,62047,484
129,63323,490
130,62743,482
131,59382,453
132,60270,456
133,62681,471
134,61953,462
135,94691,701
136,72037,529
137,61223,446
138,68556,496
139,59390,427
140,54238,387
141,67649,479
142,59682,420
143,62238,435
144,67893,471
145,63793,439
146,62337,426
147,62953,428
148,58848,397
149,65401,438
150,71237,474
151,61566,407
152,66972,440
153,64826,423
154,68888,447
155,72684,468
156,71826,460
157,66158,421
158,70353,445
159,71003,446
160,64845,405
161,92469,574
162,87259,538
163,69860,428
164,87104,531
165,76023,460
166,84799,510
167,90025,539
168,95979,571
169,82298,486
170,79501,467
171,85952,502
172,78867,458
173,74932,433
174,82313,473
175,76273,435
176,83984,477
