MB,Read Time (ns),Read Time / Number (ns)
1,2195,2195
2,4184,2092
3,6309,2103
4,7822,1955
5,9027,1805
6,11618,1936
7,13517,1931
8,58297,7287
9,16280,1808
10,24629,2462
11,20963,1905
12,23974,1997
13,25046,1926
14,35806,2557
15,30600,2040
16,41572,2598
17,34954,2056
18,40425,2245
19,49217,2590
20,43604,2180
21,54323,2586
22,47965,2180
23,56653,2463
24,51917,2163
25,51498,2059
26,51902,1996
27,68630,2541
28,60039,2144
29,61756,2129
30,74450,2481
31,68773,2218
32,68912,2153
33,72084,2184
34,87191,2564
35,77917,2226
36,86739,2409
37,93155,2517
38,94830,2495
39,92278,2366
40,97947,2448
41,91431,2230
42,92599,2204
43,106994,2488
44,110162,2503
45,115746,2572
46,112641,2448
47,105447,2243
48,113786,2370
49,124030,2531
50,114684,2293
51,115176,2258
52,120654,2320
53,132475,2499
54,111683,2068
55,133056,2419
56,205127,3662
57,131338,2304
58,137929,2378
59,133627,2264
60,131651,2194
61,259785,4258
62,200909,3240
63,168887,2680
64,166783,2605
65,158941,2445
66,152746,2314
67,161719,2413
68,171571,2523
69,174206,2524
70,178565,2550
71,191674,2699
72,195728,2718
73,207464,2841
74,206213,2786
75,179222,2389
76,243978,3210
77,204795,2659
78,209316,2683
79,206671,2616
80,192729,2409
81,195973,2419
82,188974,2304
83,203308,2449
84,198125,2358
85,199958,2352
86,199836,2323
87,214082,2460
88,206628,2348
89,203129,2282
90,206834,2298
91,213810,2349
92,222845,2422
93,219619,2361
94,217713,2316
95,221172,2328
96,231348,2409
97,225164,2321
98,240578,2454
99,226963,2292
100,244962,2449
101,246620,2441
102,230715,2261
103,235785,2289
104,246593,2371
105,256544,2443
106,255920,2414
107,245737,2296
108,258216,2390
109,252392,2315
110,261636,2378
111,262828,2367
112,260456,2325
113,270918,2397
114,264237,2317
115,280791,2441
116,261099,2250
117,278127,2377
118,275676,2336
119,295641,2484
120,286864,2390
121,272198,2249
122,284076,2328
123,320854,2608
124,307936,2483
125,295272,2362
126,308435,2447
127,292790,2305
128,312602,2442
129,311545,2415
130,347421,2672
131,320591,2447
132,328411,2487
133,322109,2421
134,299428,2234
135,297708,2205
136,327464,2407
137,328542,2398
138,321515,2329
139,323130,2324
140,348161,2486
141,338776,2402
142,320658,2258
143,327896,2292
144,328370,2280
145,328006,2262
146,329971,2260
147,343063,2333
148,347097,2345
149,339042,2275
150,345279,2301
151,352356,2333
152,349370,2298
153,351869,2299
154,363696,2361
155,375793,2424
156,374352,2399
157,357704,2278
158,384687,2434
159,379839,2388
160,383530,2397
161,365002,2267
162,381117,2352
163,390690,2396
164,383971,2341
165,380038,2303
166,385545,2322
167,389361,2331
168,403904,2404
169,400894,2372
170,407427,2396
171,391662,2290
172,409931,2383
173,411342,2377
174,425266,2444
175,415810,2376
176,419469,2383
177,427523,2415
178,422482,2373
179,416221,2325
180,424533,2358
181,453682,2506
182,422967,2323
183,440792,2408
184,446596,2427
185,440185,2379
186,442290,2377
187,439195,2348
188,452805,2408
189,440132,2328
190,447406,2354
191,455950,2387
192,454296,2366
193,446716,2314
194,449633,2317
195,463334,2376
196,461382,2353
197,477743,2425
198,464240,2344
199,500204,2513
200,471122,2355
201,467200,2324
202,478438,2368
203,463783,2284
204,496306,2432
205,477985,2331
206,485701,2357
207,488419,2359
208,495525,2382
209,489790,2343
210,488615,2326
211,486514,2305
212,491978,2320
213,495429,2325
214,516763,2414
215,508585,2365
216,522698,2419
217,509022,2345
218,532816,2444
219,521149,2379
220,525971,2390
221,519313,2349
222,515122,2320
223,546937,2452
224,536797,2396
225,536117,2382
226,536703,2374
227,537594,2368
228,551508,2418
229,545359,2381
230,554023,2408
231,558624,2418
232,554576,2390
233,541017,2321
234,555676,2374
235,552079,2349
236,540992,2292
237,581478,2453
238,554220,2328
239,556819,2329
240,565139,2354
241,581402,2412
242,561245,2319
243,585829,2410
244,587741,2408
245,560977,2289
246,595924,2422
247,582817,2359
248,593744,2394
249,584070,2345
250,581875,2327
251,583495,2324
252,594399,2358
253,610154,2411
254,622713,2451
255,607253,2381
256,605292,2364
257,613033,2385
258,600853,2328
259,614623,2373
260,603112,2319
261,597278,2288
262,615691,2349
263,629024,2391
264,609614,2309
265,633217,2389
266,604136,2271
267,600739,2249
268,627531,2341
269,629709,2340
270,623007,2307
271,1223798,4515
272,649010,2386
273,672326,2462
274,670301,2446
275,640048,2327
276,745083,2699
277,667773,2410
278,657635,2365
279,705097,2527
280,681987,2435
281,648296,2307
282,663733,2353
283,687035,2427
284,673115,2370
285,686981,2410
286,645813,2258
287,673426,2346
288,674091,2340
289,677820,2345
290,700765,2416
291,694651,2387
292,691407,2367
293,720288,2458
294,705319,2399
295,691054,2342
296,681815,2303
297,707998,2383
298,704163,2362
299,694256,2321
300,706812,2356
301,718594,2387
302,704442,2332
303,717547,2368
304,703216,2313
305,712382,2335
306,711974,2326
307,706006,2299
308,695312,2257
309,724783,2345
310,729627,2353
311,720527,2316
312,810470,2597
313,733899,2344
314,746391,2377
315,732239,2324
316,773033,2446
317,760420,2398
318,733799,2307
319,775421,2430
320,761191,2378
321,753613,2347
322,739752,2297
323,753727,2333
324,802519,2476
325,768554,2364
326,760987,2334
327,794625,2430
328,784841,2392
329,762863,2318
330,800910,2427
331,773418,2336
332,765730,2306
333,794808,2386
334,790628,2367
335,814284,2430
336,852870,2538
337,787302,2336
338,798018,2361
339,852708,2515
340,791008,2326
341,807712,2368
342,816401,2387
343,770495,2246
344,808616,2350
345,880690,2552
346,795509,2299
347,821449,2367
348,932306,2679
349,802117,2298
350,824968,2357
351,878486,2502
352,817910,2323
353,804955,2280
354,893382,2523
355,862004,2428
356,818017,2297
357,882679,2472
358,833715,2328
359,820848,2286
360,898605,2496
361,906797,2511
362,872126,2409
363,887175,2444
364,856120,2351
365,847705,2322
366,889730,2430
367,872599,2377
368,855000,2323
369,891222,2415
370,879601,2377
371,869264,2343
372,907513,2439
373,901560,2417
374,884810,2365
375,956714,2551
376,876430,2330
377,901176,2390
378,922718,2441
379,920028,2427
380,892498,2348
381,934321,2452
382,879896,2303
383,900398,2350
384,929600,2420
385,869944,2259
386,917684,2377
387,947596,2448
388,919910,2370
389,909391,2337
390,951413,2439
391,900350,2302
392,909791,2320
393,949891,2417
394,921780,2339
395,894150,2263
396,948341,2394
397,931453,2346
398,1588756,3991
399,918286,2301
400,927210,2318
401,945536,2357
402,952486,2369
403,942631,2339
404,925641,2291
405,983316,2427
406,940795,2317
407,953500,2342
408,957158,2345
409,987802,2415
410,1028907,2509
411,986578,2400
412,970479,2355
413,952193,2305
414,1004999,2427
415,986555,2377
416,955514,2296
417,1035514,2483
418,1003713,2401
419,981854,2343
420,1048074,2495
421,976492,2319
422,972292,2304
423,1001716,2368
424,986369,2326
425,1003167,2360
426,1048050,2460
427,997556,2336
428,986915,2305
429,988752,2304
430,999495,2324
431,1001697,2324
432,1009974,2337
433,1012875,2339
434,1035519,2385
435,1051075,2416
436,1041192,2388
437,1018108,2329
438,1050559,2398
439,1022003,2328
440,1037433,2357
441,1045426,2370
442,1037031,2346
443,1041631,2351
444,1093583,2463
445,1040687,2338
446,1010813,2266
447,1065051,2382
448,1043559,2329
449,1031246,2296
450,1043790,2319
451,1023743,2269
452,1043556,2308
453,1047765,2312
454,1050955,2314
455,1076145,2365
456,1062222,2329
457,1072790,2347
458,1073500,2343
459,1115487,2430
460,1098652,2388
461,1077778,2337
462,1087539,2353
463,1060972,2291
464,1087845,2344
465,1084954,2333
466,1074539,2305
467,1101102,2357
468,1094140,2337
469,1099091,2343
470,1127335,2398
471,1120134,2378
472,1124307,2382
473,1121719,2371
474,1108356,2338
475,1105271,2326
476,1115674,2343
477,1138996,2387
