MB,Read Time (ns),Read Time / Number (ns)
1,2087,2087
2,4110,2055
3,6256,2085
4,8027,2006
5,10321,2064
6,11997,1999
7,14163,2023
8,17637,2204
9,18485,2053
10,30117,3011
11,33371,3033
12,23948,1995
13,25506,1962
14,29269,2090
15,32887,2192
16,81995,5124
17,47214,2777
18,35164,1953
19,50236,2644
20,49145,2457
21,43734,2082
22,48019,2182
23,49803,2165
24,54807,2283
25,54809,2192
26,52322,2012
27,55144,2042
28,89755,3205
29,59449,2049
30,67737,2257
31,77756,2508
32,109098,3409
33,74530,2258
34,82517,2426
35,93064,2658
36,90552,2515
37,89788,2426
38,95941,2524
39,95673,2453
40,103906,2597
41,100288,2446
42,95916,2283
43,111424,2591
44,102947,2339
45,106776,2372
46,117775,2560
47,116967,2488
48,117218,2442
49,121559,2480
50,122088,2441
51,111571,2187
52,143841,2766
53,129352,2440
54,118880,2201
55,117620,2138
56,128019,2286
57,120803,2119
58,140674,2425
59,129900,2201
60,143690,2394
61,147264,2414
62,139754,2254
63,150105,2382
64,151473,2366
65,159326,2451
66,156385,2369
67,164456,2454
68,156795,2305
69,165400,2397
70,179138,2559
71,178728,2517
72,174239,2419
73,158409,2169
74,170439,2303
75,178810,2384
76,202451,2663
77,185193,2405
78,182761,2343
79,187550,2374
80,192160,2402
81,206316,2547
82,201134,2452
83,185991,2240
84,196619,2340
85,203722,2396
86,203991,2371
87,201309,2313
88,197495,2244
89,213948,2403
90,218439,2427
91,217022,2384
92,228875,2487
93,217286,2336
94,230877,2456
95,224626,2364
96,232511,2421
97,239622,2470
98,229301,2339
99,236681,2390
100,244210,2442
101,230482,2282
102,252525,2475
103,245426,2382
104,249167,2395
105,257903,2456
106,266794,2516
107,266629,2491
108,271303,2512
109,260755,2392
110,265233,2411
111,274972,2477
112,273865,2445
113,263368,2330
114,262657,2304
115,289496,2517
116,272795,2351
117,286673,2450
118,289668,2454
119,280128,2354
120,292028,2433
121,281082,2322
122,288246,2362
123,303994,2471
124,301545,2431
125,310554,2484
126,301467,2392
127,297656,2343
128,295900,2311
129,296480,2298
130,317289,2440
131,301057,2298
132,348085,2637
133,320660,2410
134,330712,2468
135,330774,2450
136,329151,2420
137,329588,2405
