MB,Read Time (ns),Read Time / Number (ns)
1,2252,2252
2,3823,1911
3,5676,1892
4,8380,2095
5,10207,2041
6,22449,3741
7,13487,1926
8,15811,1976
9,26967,2996
10,19823,1982
11,22601,2054
12,35249,2937
13,36017,2770
14,28558,2039
15,31458,2097
16,32968,2060
17,37024,2177
18,39016,2167
19,40112,2111
20,50186,2509
21,43359,2064
22,55962,2543
23,48760,2120
24,53782,2240
25,53261,2130
26,64507,2481
27,58328,2160
28,69936,2497
29,64172,2212
30,65244,2174
31,67806,2187
32,79395,2481
33,73126,2215
34,81761,2404
35,84402,2411
36,78431,2178
37,83649,2260
38,83899,2207
39,99987,2563
40,89938,2248
41,91837,2239
42,91806,2185
43,88928,2068
44,95083,2160
45,101925,2265
46,115186,2504
47,104516,2223
48,111795,2329
49,107000,2183
50,121902,2438
51,111012,2176
52,119909,2305
53,129141,2436
54,125620,2326
55,119119,2165
56,133581,2385
57,128207,2249
58,136878,2359
59,138300,2344
60,141452,2357
61,143908,2359
62,143256,2310
63,152173,2415
64,148937,2327
65,145874,2244
66,146744,2223
67,153909,2297
68,165134,2428
69,159424,2310
70,161645,2309
71,166994,2352
72,171072,2376
73,169108,2316
74,178608,2413
75,180834,2411
76,183390,2413
77,198749,2581
78,192871,2472
79,181249,2294
80,195204,2440
81,189367,2337
82,188465,2298
83,202547,2440
84,211619,2519
85,210118,2471
86,201036,2337
87,208169,2392
88,203243,2309
89,204866,2301
90,210677,2340
91,213049,2341
92,214823,2335
93,226590,2436
94,226310,2407
95,219580,2311
96,226436,2358
97,231482,2386
98,245823,2508
99,229102,2314
100,248094,2480
101,228821,2265
102,256550,2515
103,252937,2455
104,234064,2250
105,258229,2459
106,258936,2442
107,253299,2367
108,602604,5579
109,257688,2364
110,252194,2292
111,266470,2400
112,270641,2416
113,277515,2455
114,266540,2338
115,257810,2241
116,287566,2479
117,270107,2308
118,272190,2306
119,289658,2434
120,288539,2404
121,283601,2343
122,286973,2352
123,288526,2345
124,301673,2432
125,284687,2277
126,302550,2401
127,301353,2372
128,300126,2344
129,301492,2337
130,315255,2425
131,307665,2348
132,320058,2424
133,310138,2331
134,316944,2365
135,311699,2308
136,317407,2333
137,316298,2308
138,328857,2383
139,336268,2419
140,320206,2287
141,332859,2360
142,327681,2307
143,339266,2372
144,319175,2216
145,340813,2350
146,367364,2516
147,335546,2282
148,339331,2292
149,347184,2330
150,349169,2327
151,361365,2393
152,354319,2331
153,393228,2570
154,370929,2408
155,361294,2330
156,360875,2313
157,373294,2377
158,366363,2318
159,368426,2317
160,377803,2361
161,396622,2463
162,378605,2337
163,367685,2255
164,385189,2348
165,382008,2315
166,383649,2311
167,389971,2335
168,402395,2395
169,404906,2395
170,388798,2287
171,406205,2375
172,395081,2296
173,396747,2293
174,411586,2365
175,416456,2379
176,416842,2368
177,413977,2338
178,422900,2375
179,455846,2546
180,416019,2311
181,426565,2356
182,428448,2354
183,447583,2445
184,437420,2377
185,432259,2336
186,434125,2334
187,445674,2383
188,439860,2339
189,443229,2345
190,444380,2338
191,450520,2358
192,515168,2683
193,462372,2395
194,455461,2347
195,483462,2479
196,462638,2360
197,493189,2503
198,488764,2468
199,471394,2368
200,469417,2347
201,493287,2454
202,472797,2340
203,477105,2350
204,477548,2340
205,496879,2423
206,506451,2458
207,495264,2392
208,479759,2306
209,498709,2386
210,479292,2282
211,494301,2342
212,502460,2370
213,498607,2340
214,492486,2301
215,503726,2342
216,527000,2439
217,515169,2374
218,506163,2321
219,538062,2456
220,520038,2363
221,513951,2325
222,536309,2415
223,540066,2421
224,504108,2250
225,541331,2405
226,531528,2351
227,507564,2235
228,549968,2412
229,537733,2348
230,530780,2307
231,559301,2421
232,550000,2370
233,538730,2312
234,571770,2443
235,581635,2475
236,561049,2377
237,575746,2429
238,564083,2370
239,558540,2336
240,552292,2301
241,587800,2439
