MB,Read Time (ns),Read Time / Number (ns)
1,2255,2255
2,3927,1963
3,6504,2168
4,9166,2291
5,9368,1873
6,12328,2054
7,14537,2076
8,15829,1978
9,17748,1972
10,19042,1904
11,44021,4001
12,22927,1910
13,26535,2041
14,28894,2063
15,29281,1952
16,34037,2127
17,34356,2020
18,37246,2069
19,50480,2656
20,47863,2393
21,43599,2076
22,48485,2203
23,50512,2196
24,53499,2229
25,53873,2154
26,62591,2407
27,59635,2208
28,61794,2206
29,63975,2206
30,63126,2104
31,79349,2559
32,75773,2367
33,80805,2448
34,72618,2135
35,86393,2468
36,90160,2504
37,87845,2374
38,92772,2441
39,95165,2440
40,99928,2498
41,91151,2223
42,93939,2236
43,101350,2356
44,95062,2160
45,99323,2207
46,108826,2365
47,98206,2089
48,104704,2181
49,119625,2441
50,108593,2171
51,120121,2355
52,131320,2525
53,157363,2969
54,127058,2352
55,122519,2227
56,134321,2398
57,134714,2363
58,137124,2364
59,136727,2317
60,155589,2593
61,158890,2604
62,138627,2235
63,147531,2341
64,149882,2341
65,154389,2375
66,169958,2575
67,145677,2174
68,150604,2214
69,181585,2631
70,170946,2442
71,173895,2449
72,169902,2359
73,234326,3209
74,180699,2441
75,182754,2436
76,195187,2568
77,185272,2406
78,183514,2352
79,185286,2345
80,180133,2251
81,221844,2738
82,190998,2329
83,197754,2382
84,200599,2388
85,206432,2428
86,204964,2383
87,204079,2345
88,207129,2353
89,209403,2352
90,215168,2390
91,211565,2324
92,211488,2298
93,212876,2288
94,223045,2372
95,221043,2326
96,219566,2287
97,218701,2254
98,227418,2320
99,235404,2377
100,230955,2309
101,233204,2308
102,230073,2255
103,243928,2368
104,244400,2350
105,241644,2301
106,240969,2273
107,254826,2381
108,243056,2250
109,253745,2327
110,257803,2343
111,273946,2467
112,266667,2380
113,264681,2342
114,272527,2390
115,276889,2407
116,264425,2279
117,272470,2328
118,271001,2296
119,291563,2450
120,272953,2274
121,282078,2331
122,288066,2361
123,291583,2370
124,823446,6640
125,295627,2365
126,296488,2353
127,315678,2485
128,328136,2563
129,307811,2386
130,310049,2384
131,305373,2331
132,313489,2374
133,314157,2362
134,298692,2229
135,327318,2424
136,319607,2350
137,312817,2283
138,325949,2361
139,314901,2265
140,346836,2477
141,330787,2346
142,323809,2280
143,330673,2312
144,332226,2307
145,335374,2312
146,344395,2358
147,352025,2394
148,354913,2398
149,344682,2313
150,344001,2293
151,355630,2355
152,353400,2325
153,354092,2314
154,354576,2302
155,356672,2301
156,361594,2317
157,363008,2312
158,354946,2246
159,369695,2325
160,399485,2496
161,379615,2357
162,370509,2287
163,382669,2347
164,386434,2356
165,388325,2353
166,422634,2545
167,397122,2377
168,398056,2369
169,394027,2331
170,391921,2305
171,421359,2464
172,430795,2504
173,394082,2277
174,405093,2328
175,410359,2344
176,417306,2371
177,427774,2416
178,440675,2475
179,439167,2453
180,432512,2402
181,429412,2372
182,436475,2398
183,432972,2365
184,433442,2355
185,444974,2405
186,448129,2409
187,448294,2397
188,446514,2375
189,461461,2441
190,460385,2423
191,451637,2364
192,475144,2474
193,447906,2320
194,471609,2430
195,465409,2386
196,458914,2341
197,477009,2421
198,472741,2387
199,491385,2469
200,485316,2426
201,480560,2390
202,486981,2410
203,477596,2352
204,491224,2407
205,492518,2402
206,500888,2431
207,499338,2412
208,497683,2392
209,492661,2357
210,488167,2324
211,507273,2404
212,508865,2400
213,500749,2350
214,510096,2383
215,515439,2397
216,512596,2373
217,542015,2497
218,516092,2367
219,527796,2410
220,520951,2367
221,527506,2386
222,534553,2407
223,559150,2507
224,525282,2345
225,534045,2373
226,544022,2407
227,525704,2315
228,552809,2424
229,535012,2336
230,583782,2538
231,547396,2369
232,544559,2347
233,548745,2355
234,564039,2410
235,551142,2345
236,574547,2434
237,575860,2429
238,566949,2382
239,558023,2334
240,558710,2327
241,553867,2298
242,579694,2395
243,569841,2345
244,602202,2468
245,577048,2355
246,591849,2405
247,600916,2432
248,623512,2514
249,581499,2335
250,582908,2331
251,589861,2350
252,569774,2261
253,611483,2416
254,577835,2274
255,610044,2392
256,602036,2351
257,605268,2355
258,606761,2351
259,634371,2449
260,610376,2347
261,601131,2303
262,609664,2326
263,623639,2371
264,621345,2353
265,627005,2366
266,624500,2347
267,623237,2334
268,634768,2368
269,614100,2282
270,635020,2351
271,625906,2309
272,683738,2513
273,650555,2382
274,653515,2385
275,638733,2322
276,654019,2369
277,650176,2347
278,668130,2403
279,664267,2380
280,696306,2486
281,687521,2446
282,676428,2398
283,686452,2425
284,660875,2327
285,681057,2389
286,676925,2366
287,681242,2373
288,671098,2330
289,670993,2321
290,677191,2335
291,681699,2342
292,687693,2355
293,700437,2390
294,680986,2316
295,693915,2352
296,699053,2361
297,678801,2285
298,1153477,3870
299,703528,2352
300,708824,2362
301,714218,2372
302,719710,2383
303,721178,2380
304,725929,2387
305,707763,2320
306,711321,2324
307,732083,2384
308,713678,2317
309,724463,2344
310,739307,2384
311,735865,2366
312,749278,2401
313,766507,2448
314,736173,2344
315,744090,2362
316,854341,2703
317,755601,2383
318,736456,2315
319,739042,2316
320,736839,2302
321,752503,2344
322,744521,2312
323,751707,2327
324,784389,2420
325,781422,2404
326,748520,2296
327,779084,2382
328,761972,2323
