MB,Read Time (ns),Read Time / Number (ns)
1,2440,2440
2,4087,2043
3,6073,2024
4,10661,2665
5,9717,1943
6,11823,1970
7,30256,4322
8,15498,1937
9,17551,1950
10,20682,2068
11,21290,1935
12,24167,2013
13,36529,2809
14,28460,2032
15,31223,2081
16,73348,4584
17,35734,2102
18,51847,2880
19,51877,2730
20,52539,2626
21,64539,3073
22,50477,2294
23,76111,3309
24,53840,2243
25,57066,2282
26,58954,2267
27,84155,3116
28,63099,2253
29,61675,2126
30,67813,2260
31,64428,2078
32,97837,3057
33,75302,2281
34,85051,2501
35,74736,2135
36,84494,2347
37,93293,2521
38,81710,2150
39,88319,2264
40,94659,2366
41,100966,2462
42,94663,2253
43,102053,2373
44,107079,2433
45,108227,2405
46,111229,2418
47,113882,2423
48,119946,2498
49,111610,2277
50,111943,2238
51,119675,2346
52,119257,2293
53,115183,2173
54,131747,2439
55,126275,2295
56,124845,2229
57,183283,3215
58,140649,2424
59,140806,2386
60,141001,2350
61,189775,3111
62,142246,2294
63,145859,2315
64,148376,2318
65,142235,2188
66,155726,2359
67,158485,2365
68,154677,2274
69,183854,2664
70,151496,2164
71,153026,2155
72,195889,2720
73,222830,3052
74,171309,2314
75,183897,2451
76,190816,2510
77,176785,2295
78,173943,2230
79,187316,2371
80,180243,2253
81,184806,2281
82,186704,2276
83,188758,2274
84,202256,2407
85,198808,2338
86,213823,2486
87,203368,2337
88,218901,2487
89,209362,2352
90,208529,2316
91,216165,2375
92,205196,2230
93,213747,2298
94,228917,2435
95,226988,2389
96,218979,2281
97,296209,3053
98,234451,2392
99,225371,2276
100,228022,2280
101,238764,2364
102,242243,2374
103,230777,2240
104,246421,2369
105,239708,2282
106,263745,2488
107,255608,2388
108,258140,2390
109,262314,2406
110,270891,2462
111,261387,2354
112,265521,2370
113,259293,2294
114,267575,2347
115,265103,2305
116,253909,2188
117,275677,2356
118,281267,2383
119,273875,2301
120,288957,2407
121,285733,2361
122,314317,2576
123,298661,2428
124,285889,2305
125,299583,2396
126,299605,2377
127,299396,2357
128,301030,2351
129,302176,2342
130,300510,2311
131,309533,2362
132,314741,2384
133,305174,2294
134,309329,2308
135,310075,2296
136,318077,2338
137,326440,2382
138,327133,2370
139,320341,2304
140,313084,2236
141,342106,2426
142,324167,2282
143,342957,2398
144,337514,2343
145,317504,2189
146,340754,2333
147,338527,2302
148,329345,2225
149,339049,2275
150,324171,2161
151,350913,2323
152,352462,2318
153,372309,2433
154,357208,2319
155,381340,2460
156,362621,2324
157,377766,2406
158,368826,2334
159,376442,2367
160,378066,2362
161,391805,2433
162,372203,2297
163,390724,2397
164,392550,2393
165,380359,2305
166,397938,2397
167,396325,2373
168,392990,2339
169,410031,2426
170,392134,2306
171,411987,2409
172,409081,2378
173,397063,2295
174,393761,2262
175,422879,2416
176,1004093,5705
177,450362,2544
178,422064,2371
179,429598,2399
180,428361,2379
181,430352,2377
182,422055,2318
183,422241,2307
184,432231,2349
185,485787,2625
186,447593,2406
187,459450,2456
188,435497,2316
189,449770,2379
190,456444,2402
191,461349,2415
192,461688,2404
193,451127,2337
194,449286,2315
195,463881,2378
196,472663,2411
197,459342,2331
198,471846,2383
199,464958,2336
200,468394,2341
201,474965,2363
202,492244,2436
203,482294,2375
204,491686,2410
205,490895,2394
206,474150,2301
207,490074,2367
208,504718,2426
209,514601,2462
210,497862,2370
211,500746,2373
212,502413,2369
213,502189,2357
214,520881,2434
215,517886,2408
216,507879,2351
217,501250,2309
218,514917,2362
219,510586,2331
220,529060,2404
221,525654,2378
222,516597,2327
223,532778,2389
224,525172,2344
225,520376,2312
226,508491,2249
227,538554,2372
228,534104,2342
229,536492,2342
230,555092,2413
231,556979,2411
232,549684,2369
233,539465,2315
234,565634,2417
235,550202,2341
236,555898,2355
237,547427,2309
238,582461,2447
239,579946,2426
240,576767,2403
241,565592,2346
242,574030,2372
243,573326,2359
244,597155,2447
245,667391,2724
246,586349,2383
247,587119,2377
248,571768,2305
249,593722,2384
250,606229,2424
251,640077,2550
252,594954,2360
253,599015,2367
254,588381,2316
255,590162,2314
256,604049,2359
257,603276,2347
258,598236,2318
259,607190,2344
260,603529,2321
261,604997,2317
262,604907,2308
263,620163,2358
264,606338,2296
265,633495,2390
266,623905,2345
267,620991,2325
268,619264,2310
269,642149,2387
270,626887,2321
271,635506,2345
272,674810,2480
273,645103,2363
274,640564,2337
275,637190,2317
276,629237,2279
277,667990,2411
278,657921,2366
279,651137,2333
280,664246,2372
281,673044,2395
282,659234,2337
283,651470,2302
284,670588,2361
285,681725,2392
286,692509,2421
287,693759,2417
288,678905,2357
289,673623,2330
290,677864,2337
291,687780,2363
292,683664,2341
293,658927,2248
294,680795,2315
295,680292,2306
296,719990,2432
297,709015,2387
298,698283,2343
299,689012,2304
300,699011,2330
301,720842,2394
302,727460,2408
303,697123,2300
304,709928,2335
305,724754,2376
306,714319,2334
307,751596,2448
308,715754,2323
309,718203,2324
310,737348,2378
311,720133,2315
312,719765,2306
313,731719,2337
314,754872,2404
315,784225,2489
316,784157,2481
317,729108,2300
318,747899,2351
319,771239,2417
320,751406,2348
321,750659,2338
322,761816,2365
323,775580,2401
324,772897,2385
325,755700,2325
326,787297,2415
327,769944,2354
328,774228,2360
329,755291,2295
330,773826,2344
331,779165,2353
332,826387,2489
333,778517,2337
334,766374,2294
335,819024,2444
336,785535,2337
337,789563,2342
338,855529,2531
339,805341,2375
340,792164,2329
341,873328,2561
342,804019,2350
343,793221,2312
344,832329,2419
345,840433,2436
346,795764,2299
347,864542,2491
348,818751,2352
349,815487,2336
350,887543,2535
351,839591,2391
352,822001,2335
353,869089,2462
354,824950,2330
355,841909,2371
356,891726,2504
357,841861,2358
358,849782,2373
359,848272,2362
360,901617,2504
361,821488,2275
362,898992,2483
363,846769,2332
364,840122,2308
365,915041,2506
366,856744,2340
367,882459,2404
368,853323,2318
369,899632,2438
370,875000,2364
371,931033,2509
372,893722,2402
373,855024,2292
374,894990,2393
375,870763,2322
376,870218,2314
377,927903,2461
378,904315,2392
379,883792,2331
380,923803,2431
381,887015,2328
382,913188,2390
383,933599,2437
384,911675,2374
385,915336,2377
386,943438,2444
387,899443,2324
388,921666,2375
389,931226,2393
