KB,Read Time (ns),Read Time / Number (ns)
1,2337,2337
2,2089,1044
3,2454,818
4,2332,583
5,3957,791
6,3780,630
7,3544,506
8,3849,481
9,5268,585
10,15714,1571
11,5816,528
12,5481,456
13,7287,560
14,16652,1189
15,7305,487
16,7306,456
17,8373,492
18,8507,472
19,7905,416
20,8575,428
21,19027,906
22,10338,469
23,10256,445
24,10032,418
25,12766,510
26,11651,448
27,11675,432
28,12233,436
29,12692,437
30,13285,442
31,13522,436
32,22367,698
33,15115,458
34,14686,431
35,16752,478
36,17127,475
37,18511,500
38,15135,398
39,25630,657
40,16797,419
41,20084,489
42,17749,422
43,18453,429
44,18740,425
45,19890,442
46,20594,447
47,19255,409
48,20339,423
49,23250,474
50,22920,458
51,22018,431
52,22311,429
53,24231,457
54,23316,431
55,24185,439
56,24765,442
57,33394,585
58,24815,427
59,32850,556
60,25529,425
61,28144,461
62,35131,566
63,34650,550
64,27342,427
65,28555,439
66,29683,449
67,28645,427
68,28846,424
69,39597,573
70,30065,429
71,28816,405
72,30151,418
73,40669,557
74,31802,429
75,33422,445
76,31091,409
77,32046,416
78,32657,418
79,44009,557
80,44133,551
81,35407,437
82,42844,522
83,39106,471
84,34873,415
85,39175,460
86,45135,524
87,38442,441
88,36942,419
89,41428,465
90,36260,402
91,47655,523
92,38189,415
93,37887,407
94,42081,447
95,42936,451
96,40426,421
97,40833,420
98,42275,431
99,41704,421
100,48419,484
101,42114,416
102,168041,1647
103,51048,495
104,42926,412
105,46171,439
106,52136,491
107,46101,430
108,51829,479
109,55487,509
110,48321,439
111,45493,409
112,46796,417
113,57451,508
114,48129,422
115,52057,452
116,52843,455
117,60424,516
118,54912,465
119,51901,436
120,54839,456
121,50714,419
122,49212,403
123,52688,428
124,51957,419
125,58541,468
126,54148,429
127,52121,410
128,47505,371
129,57131,442
130,61902,476
131,57226,436
132,62577,474
133,62734,471
134,57480,428
135,66171,490
136,60225,442
137,68978,503
138,66367,480
139,58822,423
140,62470,446
141,63471,450
142,56917,400
143,67818,474
144,59744,414
145,65206,449
146,59322,406
147,73673,501
148,59554,402
149,66461,446
150,66086,440
151,63660,421
152,68862,453
153,64294,420
154,77336,502
155,64446,415
156,68666,440
157,65756,418
158,69429,439
159,65894,414
160,67968,424
161,74470,462
162,82986,512
163,67171,412
164,78868,480
165,86532,524
166,69708,419
167,78595,470
168,67060,399
169,76918,455
170,69501,408
171,71738,419
172,84085,488
173,74127,428
174,88524,508
175,75071,428
176,83960,477
177,72005,406
178,78048,438
179,74477,416
180,75717,420
181,87664,484
182,76488,420
183,85685,468
184,85406,464
185,77596,419
186,88081,473
187,80632,431
188,81964,435
189,85906,454
190,92237,485
191,92044,481
192,89198,464
193,77324,400
194,77903,401
195,79064,405
196,94231,480
197,85085,431
198,89425,451
199,90050,452
200,81373,406
201,94931,472
202,86763,429
203,87701,432
204,88292,432
205,85802,418
206,88680,430
207,100369,484
208,94555,454
209,97011,464
210,89570,426
211,85796,406
212,86415,407
213,83533,392
214,104291,487
215,86293,401
216,87774,406
217,103908,478
218,86199,395
219,92032,420
220,106529,484
221,105882,479
222,108418,488
223,100831,452
224,95578,426
225,99845,443
226,95269,421
227,119639,527
228,104194,456
229,102217,446
230,102985,447
231,93783,405
232,100229,432
233,109270,468
234,102105,436
235,96145,409
236,105118,445
237,110153,464
238,109019,458
239,94070,393
240,94741,394
241,103552,429
242,110836,458
243,103251,424
244,103305,423
245,108449,442
246,101088,410
247,116094,470
248,112514,453
249,110981,445
250,117105,468
251,106530,424
252,101920,404
253,118316,467
254,107629,423
255,105088,412
256,112711,440
257,109958,427
258,108327,419
259,118444,457
260,102930,395
261,124059,475
262,124112,473
263,103671,394
264,109968,416
265,122387,461
266,120003,451
267,117231,439
268,108992,406
269,105105,390
270,124024,459
271,118743,438
272,113850,418
273,111365,407
274,119771,437
275,120205,437
276,123810,448
277,130666,471
278,127552,458
279,106076,380
280,124789,445
281,119866,426
282,130267,461
283,112573,397
284,111485,392
285,166566,584
286,116462,407
287,116231,404
288,142538,494
289,131372,454
290,118488,408
291,133507,458
292,130680,447
293,134324,458
294,124943,424
295,134832,457
296,143115,483
297,140916,474
298,153214,514
299,130620,436
300,119456,398
301,126548,420
302,123156,407
303,130840,431
304,135908,447
305,130782,428
306,140449,458
307,133413,434
308,125934,408
309,146437,473
310,137000,441
311,133796,430
312,134993,432
313,149714,478
314,132014,420
315,141853,450
316,136787,432
317,134526,424
318,149375,469
319,134455,421
320,139026,434
321,143239,446
322,144057,447
323,151910,470
324,147384,454
325,133761,411
326,142430,436
327,155227,474
328,136692,416
329,147964,449
330,149255,452
331,139138,420
332,133846,403
333,138060,414
334,157220,470
335,139537,416
336,169941,505
337,160259,475
338,155986,461
339,161661,476
340,158749,466
341,155520,456
342,134958,394
343,153352,447
344,150798,438
345,155905,451
346,150708,435
347,161768,466
348,158939,456
349,157513,451
350,161441,461
351,147528,420
352,161042,457
353,173208,490
354,149144,421
355,152906,430
356,142170,399
357,160997,450
358,162812,454
359,176718,492
360,161272,447
361,155487,430
362,165050,455
363,174411,480
364,145629,400
365,164674,451
366,184753,504
367,172285,469
368,149866,407
369,170280,461
370,160867,434
371,160641,432
372,158297,425
373,163715,438
374,175334,468
375,159404,425
376,178804,475
377,155664,412
378,186530,493
379,176776,466
380,184939,486
381,171448,449
382,165625,433
383,172730,450
384,166385,433
385,165476,429
386,148690,385
387,170677,441
388,192650,496
389,170675,438
390,175239,449
391,166627,426
392,168214,429
393,163731,416
394,209171,530
395,165658,419
396,171679,433
397,172249,433
398,162126,407
399,162477,407
400,178767,446
401,170526,425
402,170600,424
403,167903,416
404,193371,478
405,175410,433
406,176078,433
407,192809,473
408,177270,434
409,193314,472
410,169866,414
411,173697,422
412,166357,403
413,177489,429
414,183968,444
415,188621,454
416,194061,466
417,173965,417
418,196825,470
419,171902,410
420,189832,451
421,164008,389
422,184134,436
423,174962,413
424,223605,527
425,191517,450
426,165629,388
427,175764,411
428,225085,525
429,187187,436
430,184802,429
431,169722,393
432,177441,410
433,195652,451
434,196164,451
435,190594,438
436,183582,421
437,236173,540
438,194507,444
439,176682,402
440,180980,411
441,186887,423
442,200607,453
443,188698,425
444,202273,455
445,189496,425
446,247666,555
447,194054,434
448,203650,454
449,201513,448
450,221290,491
451,209566,464
452,186888,413
453,187314,413
454,193346,425
455,185510,407
456,195208,428
457,183200,400
458,204345,446
459,201390,438
460,192364,418
461,206542,448
462,244607,529
463,204437,441
464,199401,429
465,199062,428
466,225615,484
467,188653,403
468,205666,439
469,202769,432
470,209735,446
471,193707,411
472,190212,402
473,209313,442
474,241147,508
475,197698,416
476,206293,433
477,203525,426
478,233904,489
479,200568,418
480,224789,468
481,227361,472
482,248870,516
483,212478,439
484,200723,414
485,208098,429
486,231514,476
487,206345,423
488,215893,442
489,215654,441
490,213420,435
491,199515,406
492,216067,439
493,208930,423
